name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Bagel and Schmear,{1},1.0,Artifact — Food,"Share — {W}, {T}, Sacrifice this artifact: Put a +1/+1 counter on up to one target creature. Draw a card. Activate only as a sorcery.
Nosh — {2}, {T}, Sacrifice this artifact: You gain 3 life and draw a card.",,W,common,SPM,Marvel's Spider-Man,161,,,,
Bagel and Schmear,{1},1.0,Artifact — Food,"Share — {W}, {T}, Sacrifice this artifact: Put a +1/+1 counter on up to one target creature. Draw a card. Activate only as a sorcery.
Nosh — {2}, {T}, Sacrifice this artifact: You gain 3 life and draw a card.",,W,common,OM1,Through the Omenpaths,170,,,,
"Balamb Garden, SeeD Academy // Balamb Garden, Airborne",,0.0,Land — Town // Legendary Artifact — Vehicle,,,"G,U",rare,FIN,Final Fantasy,272,,,,Flying;Transform;Crew
"Balamb Garden, SeeD Academy // Balamb Garden, Airborne",,0.0,Land — Town // Legendary Artifact — Vehicle,,,"G,U",rare,FIN,Final Fantasy,354,,,,Flying;Transform;Crew
"Balamb Garden, SeeD Academy // Balamb Garden, Airborne",,0.0,Land — Town // Legendary Artifact — Vehicle,,,"G,U",rare,PFIN,Final Fantasy Promos,272s,,,,Flying;Transform;Crew
Bandit's Haul,{3},3.0,Artifact,"Whenever you commit a crime, put a loot counter on this artifact. This ability triggers only once each turn. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)
{T}: Add one mana of any color.
{2}, {T}, Remove two loot counters from this artifact: Draw a card.",,,uncommon,OTJ,Outlaws of Thunder Junction,240,,,,
Banner of Kinship,{5},5.0,Artifact,"As this artifact enters, choose a creature type. This artifact enters with a fellowship counter on it for each creature you control of the chosen type.
Creatures you control of the chosen type get +1/+1 for each fellowship counter on this artifact.",,,rare,FDN,Foundations,352,,,,
Banner of Kinship,{5},5.0,Artifact,"As this artifact enters, choose a creature type. This artifact enters with a fellowship counter on it for each creature you control of the chosen type.
Creatures you control of the chosen type get +1/+1 for each fellowship counter on this artifact.",,,rare,FDN,Foundations,413,,,,
Banner of Kinship,{5},5.0,Artifact,"As this artifact enters, choose a creature type. This artifact enters with a fellowship counter on it for each creature you control of the chosen type.
Creatures you control of the chosen type get +1/+1 for each fellowship counter on this artifact.",,,rare,PFDN,Foundations Promos,127s,,,,
Banner of Kinship,{5},5.0,Artifact,"As this artifact enters, choose a creature type. This artifact enters with a fellowship counter on it for each creature you control of the chosen type.
Creatures you control of the chosen type get +1/+1 for each fellowship counter on this artifact.",,,rare,PFDN,Foundations Promos,127p,,,,
Banner of Kinship,{5},5.0,Artifact,"As this artifact enters, choose a creature type. This artifact enters with a fellowship counter on it for each creature you control of the chosen type.
Creatures you control of the chosen type get +1/+1 for each fellowship counter on this artifact.",,,rare,FDN,Foundations,127,,,,
Banner of Kinship,{5},5.0,Artifact,"As this artifact enters, choose a creature type. This artifact enters with a fellowship counter on it for each creature you control of the chosen type.
Creatures you control of the chosen type get +1/+1 for each fellowship counter on this artifact.",,,rare,FDN,Foundations,484,,,,
Barbed Bloodletter,{1}{B},2.0,Artifact — Equipment,"Flash
When this Equipment enters, attach it to target creature you control. That creature gains wither until end of turn. (It deals damage to creatures in the form of -1/-1 counters.)
Equipped creature gets +1/+2.
Equip {2}",B,B,common,ECL,Lorwyn Eclipsed,86,,,,Equip;Flash
Bard's Bow,{2}{G},3.0,Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.)
Equipped creature gets +2/+2, has reach, and is a Bard in addition to its other types.
Perseus's Bow — Equip {6} ({6}: Attach to target creature you control. Equip only as a sorcery.)",G,G,common,FIN,Final Fantasy,174,,,,Job select;Equip
Bark of Doran,{1}{W},2.0,Artifact — Equipment,"Equipped creature gets +0/+1.
As long as equipped creature's toughness is greater than its power, it assigns combat damage equal to its toughness rather than its power.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",W,W,uncommon,ECL,Lorwyn Eclipsed,6,,,,Equip
Barrels of Blasting Jelly,{1},1.0,Artifact,"{1}: Add one mana of any color. Activate only once each turn.
{5}, {T}, Sacrifice this artifact: It deals 5 damage to target creature.",,,common,TLA,Avatar: The Last Airbender,254,,,,
Baseball Bat,{G}{W},2.0,Artifact — Equipment,"When this Equipment enters, attach it to target creature you control.
Equipped creature gets +1/+1.
Whenever equipped creature attacks, tap up to one target creature.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)","G,W","G,W",uncommon,DSK,Duskmourn: House of Horror,209,,,,Equip
Basilisk Collar,{1},1.0,Artifact — Equipment,"Equipped creature has deathtouch and lifelink. (Any amount of damage it deals to a creature is enough to destroy it. Damage dealt by this creature also causes you to gain that much life.)
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",,,rare,CLB,Commander Legends: Battle for Baldur's Gate,595,,,,Equip
Basilisk Collar,{1},1.0,Artifact — Equipment,"Equipped creature has deathtouch and lifelink. (Any amount of damage it deals to a creature is enough to destroy it. Damage dealt by this creature also causes you to gain that much life.)
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",,,rare,AFC,Forgotten Realms Commander,199,,,,Equip
Basilisk Collar,{1},1.0,Artifact — Equipment,"Equipped creature has deathtouch and lifelink. (Any amount of damage it deals to a creature is enough to destroy it. Damage dealt by this creature also causes you to gain that much life.)
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",,,rare,SLD,Secret Lair Drop,1920,,,,Equip
Basilisk Collar,{1},1.0,Artifact — Equipment,"Equipped creature has deathtouch and lifelink. (Any amount of damage it deals to a creature is enough to destroy it. Damage dealt by this creature also causes you to gain that much life.)
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",,,rare,PIP,Fallout,1008,,,,Equip
Basilisk Collar,{1},1.0,Artifact — Equipment,"Equipped creature has deathtouch and lifelink. (Any amount of damage it deals to a creature is enough to destroy it. Damage dealt by this creature also causes you to gain that much life.)
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",,,rare,SLD,Secret Lair Drop,1925,,,,Equip
Basilisk Collar,{1},1.0,Artifact — Equipment,"Equipped creature has deathtouch and lifelink. (Any amount of damage it deals to a creature is enough to destroy it. Damage dealt by this creature also causes you to gain that much life.)
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",,,rare,2XM,Double Masters,233,,,,Equip
