name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Candlestick,{U},1.0,Artifact — Clue Equipment,"Equipped creature gets +1/+1 and has ""Whenever this creature attacks, surveil 2."" (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)
{2}, Sacrifice this Equipment: Draw a card.
Equip {2}",U,U,uncommon,MKM,Murders at Karlov Manor,43,,,,Surveil;Equip
Candlestick,{U},1.0,Artifact — Clue Equipment,"Equipped creature gets +1/+1 and has ""Whenever this creature attacks, surveil 2."" (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)
{2}, Sacrifice this Equipment: Draw a card.
Equip {2}",U,U,uncommon,CLU,Ravnica: Clue Edition,8,,,,Surveil;Equip
Candy Trail,{1},1.0,Artifact — Food Clue,"When this artifact enters, scry 2.
{2}, {T}, Sacrifice this artifact: You gain 3 life and draw a card.",,,common,WOE,Wilds of Eldraine,243,,,,Scry
Careening Mine Cart,{3},3.0,Artifact — Vehicle,"Whenever this Vehicle attacks, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",,,uncommon,LCI,The Lost Caverns of Ixalan,247,3,3,,Treasure;Crew
Cargo Ship,{1}{U},2.0,Artifact — Vehicle,"Flying, vigilance
{T}: Add {C}. Spend this mana only to cast an artifact spell or activate an ability of an artifact source.
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",U,U,uncommon,FIN,Final Fantasy,47,2,3,,Flying;Vigilance;Crew
Carnelian Orb of Dragonkind,{2}{R},3.0,Artifact,"{T}: Add {R}. If that mana is spent on a Dragon creature spell, it gains haste until end of turn.",R,R,uncommon,HBG,Alchemy Horizons: Baldur's Gate,177,,,,
Carnelian Orb of Dragonkind,{2}{R},3.0,Artifact,"{T}: Add {R}. If that mana is spent on a Dragon creature spell, it gains haste until end of turn.",R,R,common,J25,Foundations Jumpstart,131,,,,
Carnelian Orb of Dragonkind,{2}{R},3.0,Artifact,"{T}: Add {R}. If that mana is spent on a Dragon creature spell, it gains haste until end of turn.",R,R,common,CLB,Commander Legends: Battle for Baldur's Gate,166,,,,
Carnelian Orb of Dragonkind,{2}{R},3.0,Artifact,"{T}: Add {R}. If that mana is spent on a Dragon creature spell, it gains haste until end of turn.",R,R,common,FDN,Foundations,534,,,,
Carrion Cruiser,{2}{B},3.0,Artifact — Vehicle,"When this Vehicle enters, mill two cards. Then return a creature or Vehicle card from your graveyard to your hand. (To mill two cards, put the top two cards of your library into your graveyard.)
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",B,B,uncommon,DFT,Aetherdrift,305,3,2,,Crew;Mill
