name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Dark Knight's Greatsword,{2}{B},3.0,Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.)
Equipped creature gets +3/+0 and is a Knight in addition to its other types.
Chaosbringer — Equip—Pay 3 life. Activate only once each turn.",B,B,uncommon,FIN,Final Fantasy,95,,,,Chaosbringer;Job select;Equip
Dawn-Blessed Pennant,{1},1.0,Artifact,"As this artifact enters, choose Elemental, Elf, Faerie, Giant, Goblin, Kithkin, Merfolk, or Treefolk.
Whenever a permanent you control of the chosen type enters, you gain 1 life.
{2}, {T}, Sacrifice this artifact: Return target card of the chosen type from your graveyard to your hand.",,,uncommon,ECL,Lorwyn Eclipsed,254,,,,
"Dawnsire, Sunstar Dreadnought",{5},5.0,Legendary Artifact — Spacecraft,"Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 20+.)
10+ | Whenever you attack, Dawnsire deals 100 damage to up to one target creature or planeswalker.
20+ | Flying",,,mythic,EOE,Edge of Eternities,238,20,20,,Station
"Dawnsire, Sunstar Dreadnought",{5},5.0,Legendary Artifact — Spacecraft,"Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 20+.)
10+ | Whenever you attack, Dawnsire deals 100 damage to up to one target creature or planeswalker.
20+ | Flying",,,mythic,PEOE,Edge of Eternities Promos,238s,20,20,,Station
"Dawnsire, Sunstar Dreadnought",{5},5.0,Legendary Artifact — Spacecraft,"Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 20+.)
10+ | Whenever you attack, Dawnsire deals 100 damage to up to one target creature or planeswalker.
20+ | Flying",,,mythic,EOE,Edge of Eternities,351,20,20,,Station
"Dawnsire, Sunstar Dreadnought",{5},5.0,Legendary Artifact — Spacecraft,"Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 20+.)
10+ | Whenever you attack, Dawnsire deals 100 damage to up to one target creature or planeswalker.
20+ | Flying",,,mythic,PEOE,Edge of Eternities Promos,238p,20,20,,Station
Debris Beetle,{2}{B}{G},4.0,Artifact — Vehicle,"Trample
When this Vehicle enters, each opponent loses 3 life and you gain 3 life.
Crew 2","B,G","B,G",rare,PDFT,Aetherdrift Promos,199s,6,6,,Crew;Trample
Debris Beetle,{2}{B}{G},4.0,Artifact — Vehicle,"Trample
When this Vehicle enters, each opponent loses 3 life and you gain 3 life.
Crew 2","B,G","B,G",rare,DFT,Aetherdrift,199,6,6,,Crew;Trample
Debris Beetle,{2}{B}{G},4.0,Artifact — Vehicle,"Trample
When this Vehicle enters, each opponent loses 3 life and you gain 3 life.
Crew 2","B,G","B,G",rare,DFT,Aetherdrift,530,6,6,,Crew;Trample
Debris Beetle,{2}{B}{G},4.0,Artifact — Vehicle,"Trample
When this Vehicle enters, each opponent loses 3 life and you gain 3 life.
Crew 2","B,G","B,G",rare,DFT,Aetherdrift,478,6,6,,Crew;Trample
Debris Beetle,{2}{B}{G},4.0,Artifact — Vehicle,"Trample
When this Vehicle enters, each opponent loses 3 life and you gain 3 life.
Crew 2","B,G","B,G",rare,DFT,Aetherdrift,322,6,6,,Crew;Trample
Debris Beetle,{2}{B}{G},4.0,Artifact — Vehicle,"Trample
When this Vehicle enters, each opponent loses 3 life and you gain 3 life.
Crew 2","B,G","B,G",rare,PDFT,Aetherdrift Promos,199p,6,6,,Crew;Trample
Debris Field Crusher,{4}{R},5.0,Artifact — Spacecraft,"When this Spacecraft enters, it deals 3 damage to any target.
Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 8+.)
8+ | Flying
{1}{R}: This Spacecraft gets +2/+0 until end of turn.",R,R,uncommon,EOE,Edge of Eternities,131,1,5,,Station
Deconstruction Hammer,{W},1.0,Artifact — Equipment,"Equipped creature gets +1/+1 and has ""{3}, {T}, Sacrifice Deconstruction Hammer: Destroy target artifact or enchantment.""
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",W,W,common,LCI,The Lost Caverns of Ixalan,9,,,,Equip
Demonic Junker,{6}{B},7.0,Artifact — Vehicle,"Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)
When this Vehicle enters, for each player, destroy up to one target creature that player controls. If a creature you controlled was destroyed this way, put two +1/+1 counters on this Vehicle.
Crew 2",B,B,rare,DFT,Aetherdrift,83,4,3,,Affinity;Crew
Demonic Junker,{6}{B},7.0,Artifact — Vehicle,"Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)
When this Vehicle enters, for each player, destroy up to one target creature that player controls. If a creature you controlled was destroyed this way, put two +1/+1 counters on this Vehicle.
Crew 2",B,B,rare,DFT,Aetherdrift,524,4,3,,Affinity;Crew
Demonic Junker,{6}{B},7.0,Artifact — Vehicle,"Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)
When this Vehicle enters, for each player, destroy up to one target creature that player controls. If a creature you controlled was destroyed this way, put two +1/+1 counters on this Vehicle.
Crew 2",B,B,rare,DFT,Aetherdrift,448,4,3,,Affinity;Crew
Demonic Junker,{6}{B},7.0,Artifact — Vehicle,"Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)
When this Vehicle enters, for each player, destroy up to one target creature that player controls. If a creature you controlled was destroyed this way, put two +1/+1 counters on this Vehicle.
Crew 2",B,B,rare,DFT,Aetherdrift,307,4,3,,Affinity;Crew
Demonic Junker,{6}{B},7.0,Artifact — Vehicle,"Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)
When this Vehicle enters, for each player, destroy up to one target creature that player controls. If a creature you controlled was destroyed this way, put two +1/+1 counters on this Vehicle.
Crew 2",B,B,rare,PDFT,Aetherdrift Promos,83s,4,3,,Affinity;Crew
Demonic Junker,{6}{B},7.0,Artifact — Vehicle,"Affinity for artifacts (This spell costs {1} less to cast for each artifact you control.)
When this Vehicle enters, for each player, destroy up to one target creature that player controls. If a creature you controlled was destroyed this way, put two +1/+1 counters on this Vehicle.
Crew 2",B,B,rare,PDFT,Aetherdrift Promos,83p,4,3,,Affinity;Crew
Detective's Satchel,{2}{U}{R},4.0,Artifact,"When this artifact enters, investigate twice. (To investigate, create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
{T}: Create a 1/1 colorless Thopter artifact creature token with flying. Activate only if you've sacrificed an artifact this turn.","R,U","R,U",uncommon,MKM,Murders at Karlov Manor,196,,,,Investigate
Detention Chariot,{4}{W}{W},6.0,Artifact — Vehicle,"When this Vehicle enters, exile target artifact or creature an opponent controls until this Vehicle leaves the battlefield.
Crew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)
Cycling {W} ({W}, Discard this card: Draw a card.)",W,W,uncommon,DFT,Aetherdrift,294,6,6,,Crew;Cycling
Detention Chariot,{4}{W}{W},6.0,Artifact — Vehicle,"When this Vehicle enters, exile target artifact or creature an opponent controls until this Vehicle leaves the battlefield.
Crew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)
Cycling {W} ({W}, Discard this card: Draw a card.)",W,W,uncommon,DFT,Aetherdrift,12,6,6,,Crew;Cycling
Diamond Pick-Axe,{R},1.0,Artifact — Equipment,"Indestructible (Effects that say ""destroy"" don't destroy this Equipment.)
Equipped creature gets +1/+1 and has ""Whenever this creature attacks, create a Treasure token."" (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")
Equip {2}",R,R,uncommon,LCI,The Lost Caverns of Ixalan,143,,,,Indestructible;Treasure;Equip
Dire Flail // Dire Blunderbuss,,1.0,Artifact — Equipment // Artifact — Equipment,,,R,rare,LCI,The Lost Caverns of Ixalan,145,,,,Craft;Transform;Equip
Dire Flail // Dire Blunderbuss,,1.0,Artifact — Equipment // Artifact — Equipment,,,R,rare,LCI,The Lost Caverns of Ixalan,374,,,,Craft;Transform;Equip
Dissection Tools,{5},5.0,Artifact — Equipment,"When this Equipment enters, manifest dread, then attach this Equipment to that creature.
Equipped creature gets +2/+2 and has deathtouch and lifelink.
Equip—Sacrifice a creature.",,,rare,PDSK,Duskmourn: House of Horror Promos,245s,,,,Manifest;Manifest dread;Equip
Dissection Tools,{5},5.0,Artifact — Equipment,"When this Equipment enters, manifest dread, then attach this Equipment to that creature.
Equipped creature gets +2/+2 and has deathtouch and lifelink.
Equip—Sacrifice a creature.",,,rare,DSK,Duskmourn: House of Horror,245,,,,Manifest;Manifest dread;Equip
Dissection Tools,{5},5.0,Artifact — Equipment,"When this Equipment enters, manifest dread, then attach this Equipment to that creature.
Equipped creature gets +2/+2 and has deathtouch and lifelink.
Equip—Sacrifice a creature.",,,rare,DSK,Duskmourn: House of Horror,385,,,,Manifest;Manifest dread;Equip
Dissection Tools,{5},5.0,Artifact — Equipment,"When this Equipment enters, manifest dread, then attach this Equipment to that creature.
Equipped creature gets +2/+2 and has deathtouch and lifelink.
Equip—Sacrifice a creature.",,,rare,PDSK,Duskmourn: House of Horror Promos,245p,,,,Manifest;Manifest dread;Equip
Doc Ock's Tentacles,{1},1.0,Artifact — Equipment,"Whenever a creature you control with mana value 5 or greater enters, you may attach this Equipment to it.
Equipped creature gets +4/+4.
Equip {5}",,,rare,OM1,Through the Omenpaths,167,,,,Equip
Doc Ock's Tentacles,{1},1.0,Artifact — Equipment,"Whenever a creature you control with mana value 5 or greater enters, you may attach this Equipment to it.
Equipped creature gets +4/+4.
Equip {5}",,,rare,PSPM,Marvel's Spider-Man Promos,162s,,,,Equip
Doc Ock's Tentacles,{1},1.0,Artifact — Equipment,"Whenever a creature you control with mana value 5 or greater enters, you may attach this Equipment to it.
Equipped creature gets +4/+4.
Equip {5}",,,rare,SPM,Marvel's Spider-Man,277,,,,Equip
Doc Ock's Tentacles,{1},1.0,Artifact — Equipment,"Whenever a creature you control with mana value 5 or greater enters, you may attach this Equipment to it.
Equipped creature gets +4/+4.
Equip {5}",,,rare,SPM,Marvel's Spider-Man,162,,,,Equip
Dowsing Device // Geode Grotto,,2.0,Artifact // Land — Cave,,,R,uncommon,LCI,The Lost Caverns of Ixalan,146,,,,Transform
