name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Galvanizing Sawship,{5}{R},6.0,Artifact — Spacecraft,"Station (Tap another creature you control: Put charge counters equal to its power on this Spacecraft. Station only as a sorcery. It's an artifact creature at 3+.)
3+ | Flying, haste",R,R,uncommon,EOE,Edge of Eternities,136,6,5,,Station
Gastal Thrillroller,{2}{R},3.0,Artifact — Vehicle,"Trample, haste
When this Vehicle enters, it becomes an artifact creature until end of turn.
Crew 2
{2}{R}, Discard a card: Return this card from your graveyard to the battlefield with a finality counter on it. Activate only as a sorcery.",R,R,rare,DFT,Aetherdrift,313,4,2,,Haste;Crew;Trample
Gastal Thrillroller,{2}{R},3.0,Artifact — Vehicle,"Trample, haste
When this Vehicle enters, it becomes an artifact creature until end of turn.
Crew 2
{2}{R}, Discard a card: Return this card from your graveyard to the battlefield with a finality counter on it. Activate only as a sorcery.",R,R,rare,PDFT,Aetherdrift Promos,129p,4,2,,Haste;Crew;Trample
Gastal Thrillroller,{2}{R},3.0,Artifact — Vehicle,"Trample, haste
When this Vehicle enters, it becomes an artifact creature until end of turn.
Crew 2
{2}{R}, Discard a card: Return this card from your graveyard to the battlefield with a finality counter on it. Activate only as a sorcery.",R,R,rare,DFT,Aetherdrift,461,4,2,,Haste;Crew;Trample
Gastal Thrillroller,{2}{R},3.0,Artifact — Vehicle,"Trample, haste
When this Vehicle enters, it becomes an artifact creature until end of turn.
Crew 2
{2}{R}, Discard a card: Return this card from your graveyard to the battlefield with a finality counter on it. Activate only as a sorcery.",R,R,rare,DFT,Aetherdrift,527,4,2,,Haste;Crew;Trample
Gastal Thrillroller,{2}{R},3.0,Artifact — Vehicle,"Trample, haste
When this Vehicle enters, it becomes an artifact creature until end of turn.
Crew 2
{2}{R}, Discard a card: Return this card from your graveyard to the battlefield with a finality counter on it. Activate only as a sorcery.",R,R,rare,DFT,Aetherdrift,129,4,2,,Haste;Crew;Trample
Gastal Thrillroller,{2}{R},3.0,Artifact — Vehicle,"Trample, haste
When this Vehicle enters, it becomes an artifact creature until end of turn.
Crew 2
{2}{R}, Discard a card: Return this card from your graveyard to the battlefield with a finality counter on it. Activate only as a sorcery.",R,R,rare,PDFT,Aetherdrift Promos,129s,4,2,,Haste;Crew;Trample
Gathering Stone,{4},4.0,Artifact,"As this artifact enters, choose a creature type.
Spells you cast of the chosen type cost {1} less to cast.
When this artifact enters and at the beginning of your upkeep, look at the top card of your library. If it's a card of the chosen type, you may reveal it and put it into your hand. If you don't put the card into your hand, you may put it into your graveyard.",,,uncommon,ECL,Lorwyn Eclipsed,257,,,,
Genji Glove,{5},5.0,Artifact — Equipment,"Equipped creature has double strike.
Whenever equipped creature attacks, if it's the first combat phase of the turn, untap it. After this phase, there is an additional combat phase.
Equip {3}",,,rare,PFIN,Final Fantasy Promos,258s,,,,Equip
Genji Glove,{5},5.0,Artifact — Equipment,"Equipped creature has double strike.
Whenever equipped creature attacks, if it's the first combat phase of the turn, untap it. After this phase, there is an additional combat phase.
Equip {3}",,,rare,FIN,Final Fantasy,258,,,,Equip
Ghost Vacuum,{1},1.0,Artifact,"{T}: Exile target card from a graveyard.
{6}, {T}, Sacrifice this artifact: Put each creature card exiled with this artifact onto the battlefield under your control with a flying counter on it. Each of them is a 1/1 Spirit in addition to its other types. Activate only as a sorcery.",,,rare,PDSK,Duskmourn: House of Horror Promos,248s,,,,
Ghost Vacuum,{1},1.0,Artifact,"{T}: Exile target card from a graveyard.
{6}, {T}, Sacrifice this artifact: Put each creature card exiled with this artifact onto the battlefield under your control with a flying counter on it. Each of them is a 1/1 Spirit in addition to its other types. Activate only as a sorcery.",,,rare,PDSK,Duskmourn: House of Horror Promos,248p,,,,
Ghost Vacuum,{1},1.0,Artifact,"{T}: Exile target card from a graveyard.
{6}, {T}, Sacrifice this artifact: Put each creature card exiled with this artifact onto the battlefield under your control with a flying counter on it. Each of them is a 1/1 Spirit in addition to its other types. Activate only as a sorcery.",,,rare,DSK,Duskmourn: House of Horror,248,,,,
Ghost Vacuum,{1},1.0,Artifact,"{T}: Exile target card from a graveyard.
{6}, {T}, Sacrifice this artifact: Put each creature card exiled with this artifact onto the battlefield under your control with a flying counter on it. Each of them is a 1/1 Spirit in addition to its other types. Activate only as a sorcery.",,,rare,DSK,Duskmourn: House of Horror,326,,,,
Gilded Lotus,{5},5.0,Artifact,{T}: Add three mana of any one color.,,,rare,PDOM,Dominaria Promos,215s,,,,
Gilded Lotus,{5},5.0,Artifact,{T}: Add three mana of any one color.,,,rare,BRR,The Brothers' War Retro Artifacts,80,,,,
Gilded Lotus,{5},5.0,Artifact,{T}: Add three mana of any one color.,,,rare,M13,Magic 2013,206,,,,
Gilded Lotus,{5},5.0,Artifact,{T}: Add three mana of any one color.,,,rare,40K,"Warhammer 40,000 Commander",239,,,,
Gilded Lotus,{5},5.0,Artifact,{T}: Add three mana of any one color.,,,rare,SLD,Secret Lair Drop,205,,,,
Gilded Lotus,{5},5.0,Artifact,{T}: Add three mana of any one color.,,,rare,BRR,The Brothers' War Retro Artifacts,17,,,,
Gilded Lotus,{5},5.0,Artifact,{T}: Add three mana of any one color.,,,rare,BRR,The Brothers' War Retro Artifacts,80z,,,,
Gilded Lotus,{5},5.0,Artifact,{T}: Add three mana of any one color.,,,rare,40K,"Warhammer 40,000 Commander",239★,,,,
Gilded Lotus,{5},5.0,Artifact,{T}: Add three mana of any one color.,,,rare,BLC,Bloomburrow Commander,271,,,,
Gilded Lotus,{5},5.0,Artifact,{T}: Add three mana of any one color.,,,rare,PW26,Wizards Play Network 2026,3,,,,
Gilded Lotus,{5},5.0,Artifact,{T}: Add three mana of any one color.,,,rare,CMM,Commander Masters,605,,,,
Gilded Lotus,{5},5.0,Artifact,{T}: Add three mana of any one color.,,,rare,MRD,Mirrodin,175,,,,
Gilded Lotus,{5},5.0,Artifact,{T}: Add three mana of any one color.,,,rare,DOM,Dominaria,215,,,,
