name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Racers' Scoreboard,{4},4.0,Artifact,"Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)
When this artifact enters, draw two cards, then discard a card.
Max speed — Spells you cast cost {1} less to cast.",,,uncommon,DFT,Aetherdrift,239,,,,Max speed;Start your engines!
Radiant Lotus,{6},6.0,Artifact,"{T}, Sacrifice one or more artifacts: Choose a color. Target player adds three mana of the chosen color for each artifact sacrificed this way.",,,mythic,DFT,Aetherdrift,500,,,,
Radiant Lotus,{6},6.0,Artifact,"{T}, Sacrifice one or more artifacts: Choose a color. Target player adds three mana of the chosen color for each artifact sacrificed this way.",,,mythic,PDFT,Aetherdrift Promos,240p,,,,
Radiant Lotus,{6},6.0,Artifact,"{T}, Sacrifice one or more artifacts: Choose a color. Target player adds three mana of the chosen color for each artifact sacrificed this way.",,,mythic,DFT,Aetherdrift,416,,,,
Radiant Lotus,{6},6.0,Artifact,"{T}, Sacrifice one or more artifacts: Choose a color. Target player adds three mana of the chosen color for each artifact sacrificed this way.",,,mythic,DFT,Aetherdrift,406,,,,
Radiant Lotus,{6},6.0,Artifact,"{T}, Sacrifice one or more artifacts: Choose a color. Target player adds three mana of the chosen color for each artifact sacrificed this way.",,,mythic,DFT,Aetherdrift,395,,,,
Radiant Lotus,{6},6.0,Artifact,"{T}, Sacrifice one or more artifacts: Choose a color. Target player adds three mana of the chosen color for each artifact sacrificed this way.",,,mythic,PDFT,Aetherdrift Promos,240s,,,,
Radiant Lotus,{6},6.0,Artifact,"{T}, Sacrifice one or more artifacts: Choose a color. Target player adds three mana of the chosen color for each artifact sacrificed this way.",,,mythic,DFT,Aetherdrift,240,,,,
Rangers' Aetherhive,{1}{G}{U},3.0,Artifact — Vehicle,"Vigilance
Whenever you activate an exhaust ability, create a 1/1 colorless Thopter artifact creature token with flying.
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)","G,U","G,U",uncommon,DFT,Aetherdrift,217,3,5,,Vigilance;Crew
Rangers' Aetherhive,{1}{G}{U},3.0,Artifact — Vehicle,"Vigilance
Whenever you activate an exhaust ability, create a 1/1 colorless Thopter artifact creature token with flying.
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)","G,U","G,U",uncommon,DFT,Aetherdrift,326,3,5,,Vigilance;Crew
Rangers' Refueler,{1}{U},2.0,Artifact — Vehicle,"Whenever you activate an exhaust ability, draw a card.
Exhaust — {4}: This Vehicle becomes an artifact creature. Put a +1/+1 counter on it. (Activate each exhaust ability only once.)
Crew 2",U,U,uncommon,DFT,Aetherdrift,303,3,3,,Crew;Exhaust
Rangers' Refueler,{1}{U},2.0,Artifact — Vehicle,"Whenever you activate an exhaust ability, draw a card.
Exhaust — {4}: This Vehicle becomes an artifact creature. Put a +1/+1 counter on it. (Activate each exhaust ability only once.)
Crew 2",U,U,uncommon,DFT,Aetherdrift,55,3,3,,Crew;Exhaust
Ravenous Amulet,{2},2.0,Artifact,"{1}, {T}, Sacrifice a creature: Draw a card and put a soul counter on this artifact. Activate only as a sorcery.
{4}, {T}, Sacrifice this artifact: Each opponent loses life equal to the number of soul counters on this artifact.",,,uncommon,FDN,Foundations,131,,,,
Red Mage's Rapier,{1}{R},2.0,Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.)
Equipped creature has ""Whenever you cast a noncreature spell, this creature gets +2/+0 until end of turn"" and is a Wizard in addition to its other types.
Equip {3}",R,R,common,FIN,Final Fantasy,152,,,,Job select;Equip
Repurposing Bay,{2}{U},3.0,Artifact,"{2}, {T}, Sacrifice another artifact: Search your library for an artifact card with mana value equal to 1 plus the sacrificed artifact's mana value, put that card onto the battlefield, then shuffle. Activate only as a sorcery.",U,U,rare,DFT,Aetherdrift,56,,,,
Repurposing Bay,{2}{U},3.0,Artifact,"{2}, {T}, Sacrifice another artifact: Search your library for an artifact card with mana value equal to 1 plus the sacrificed artifact's mana value, put that card onto the battlefield, then shuffle. Activate only as a sorcery.",U,U,rare,DFT,Aetherdrift,380,,,,
Repurposing Bay,{2}{U},3.0,Artifact,"{2}, {T}, Sacrifice another artifact: Search your library for an artifact card with mana value equal to 1 plus the sacrificed artifact's mana value, put that card onto the battlefield, then shuffle. Activate only as a sorcery.",U,U,rare,DFT,Aetherdrift,439,,,,
Repurposing Bay,{2}{U},3.0,Artifact,"{2}, {T}, Sacrifice another artifact: Search your library for an artifact card with mana value equal to 1 plus the sacrificed artifact's mana value, put that card onto the battlefield, then shuffle. Activate only as a sorcery.",U,U,rare,PDFT,Aetherdrift Promos,56s,,,,
Repurposing Bay,{2}{U},3.0,Artifact,"{2}, {T}, Sacrifice another artifact: Search your library for an artifact card with mana value equal to 1 plus the sacrificed artifact's mana value, put that card onto the battlefield, then shuffle. Activate only as a sorcery.",U,U,rare,PDFT,Aetherdrift Promos,56p,,,,
Requiem Monolith,{2}{B},3.0,Artifact,"{T}: Until end of turn, target creature gains ""Whenever this creature is dealt damage, you draw that many cards and lose that much life."" That creature's controller may have this artifact deal 1 damage to it. Activate only as a sorcery.",B,B,rare,PEOE,Edge of Eternities Promos,113s,,,,
