name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Sage's Nouliths,{1}{U},2.0,Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.)
Equipped creature gets +1/+0, has ""Whenever this creature attacks, untap target attacking creature,"" and is a Cleric in addition to its other types.
Hagneia — Equip {3}",U,U,common,FIN,Final Fantasy,70,,,,Hagneia;Job select;Equip
Sage's Nouliths,{1}{U},2.0,Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.)
Equipped creature gets +1/+0, has ""Whenever this creature attacks, untap target attacking creature,"" and is a Cleric in addition to its other types.
Hagneia — Equip {3}",U,U,common,FIN,Final Fantasy,582,,,,Hagneia;Job select;Equip
Salvation Engine,{4}{W},5.0,Artifact — Vehicle,"Other artifact creatures you control get +2/+2.
Whenever this Vehicle attacks, return up to one target artifact card from your graveyard to the battlefield.
Crew 6",W,W,mythic,DFT,Aetherdrift,407,6,10,,Crew
Salvation Engine,{4}{W},5.0,Artifact — Vehicle,"Other artifact creatures you control get +2/+2.
Whenever this Vehicle attacks, return up to one target artifact card from your graveyard to the battlefield.
Crew 6",W,W,mythic,DFT,Aetherdrift,27,6,10,,Crew
Salvation Engine,{4}{W},5.0,Artifact — Vehicle,"Other artifact creatures you control get +2/+2.
Whenever this Vehicle attacks, return up to one target artifact card from your graveyard to the battlefield.
Crew 6",W,W,mythic,DFT,Aetherdrift,295,6,10,,Crew
Salvation Engine,{4}{W},5.0,Artifact — Vehicle,"Other artifact creatures you control get +2/+2.
Whenever this Vehicle attacks, return up to one target artifact card from your graveyard to the battlefield.
Crew 6",W,W,mythic,PDFT,Aetherdrift Promos,27p,6,10,,Crew
Salvation Engine,{4}{W},5.0,Artifact — Vehicle,"Other artifact creatures you control get +2/+2.
Whenever this Vehicle attacks, return up to one target artifact card from your graveyard to the battlefield.
Crew 6",W,W,mythic,DFT,Aetherdrift,431,6,10,,Crew
Salvation Engine,{4}{W},5.0,Artifact — Vehicle,"Other artifact creatures you control get +2/+2.
Whenever this Vehicle attacks, return up to one target artifact card from your graveyard to the battlefield.
Crew 6",W,W,mythic,DFT,Aetherdrift,397,6,10,,Crew
Salvation Engine,{4}{W},5.0,Artifact — Vehicle,"Other artifact creatures you control get +2/+2.
Whenever this Vehicle attacks, return up to one target artifact card from your graveyard to the battlefield.
Crew 6",W,W,mythic,PDFT,Aetherdrift Promos,27s,6,10,,Crew
Salvation Engine,{4}{W},5.0,Artifact — Vehicle,"Other artifact creatures you control get +2/+2.
Whenever this Vehicle attacks, return up to one target artifact card from your graveyard to the battlefield.
Crew 6",W,W,mythic,DFT,Aetherdrift,517,6,10,,Crew
Samurai's Katana,{2}{R},3.0,Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.)
Equipped creature gets +2/+2, has trample and haste, and is a Samurai in addition to its other types.
Murasame — Equip {5}",R,R,uncommon,FIN,Final Fantasy,154,,,,Murasame;Job select;Equip
Saw,{2},2.0,Artifact — Equipment,"Equipped creature gets +2/+0.
Whenever equipped creature attacks, you may sacrifice a permanent other than that creature or this Equipment. If you do, draw a card.
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",,,uncommon,DSK,Duskmourn: House of Horror,254,,,,Equip
Scene of the Crime,,0.0,Artifact Land — Clue,"This land enters tapped.
{T}: Add {C}.
{T}, Tap an untapped creature you control: Add one mana of any color.
{2}, Sacrifice this land: Draw a card.",,,uncommon,MKM,Murders at Karlov Manor,267,,,,
