name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Cackling Prowler,{3}{G},4.0,Creature — Hyena Rogue,"Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
Morbid — At the beginning of your end step, if a creature died this turn, put a +1/+1 counter on this creature.",G,G,common,FDN,Foundations,101,4,3,,Ward;Morbid
Cackling Slasher,{3}{B},4.0,Creature — Human Assassin,"Deathtouch
This creature enters with a +1/+1 counter on it if a creature died this turn.",B,B,common,DSK,Duskmourn: House of Horror,85,3,3,,Deathtouch
Cactarantula,{4}{G}{G},6.0,Creature — Plant Spider,"This spell costs {1} less to cast if you control a Desert.
Reach
Whenever this creature becomes the target of a spell or ability an opponent controls, you may draw a card.",G,G,common,OTJ,Outlaws of Thunder Junction,158,6,5,,Reach
Cactuar,{G},1.0,Creature — Plant,"Trample
At the beginning of your end step, if this creature didn't enter the battlefield this turn, return it to its owner's hand.",G,G,uncommon,FIN,Final Fantasy,177,3,3,,Trample
Cactusfolk Sureshot,{2}{R}{G},4.0,Creature — Plant Mercenary,"Reach
Ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
At the beginning of combat on your turn, other creatures you control with power 4 or greater gain trample and haste until end of turn.","G,R","G,R",uncommon,OTJ,Outlaws of Thunder Junction,199,4,4,,Reach;Ward
"Caelorna, Coral Tyrant",{1}{U},2.0,Legendary Creature — Octopus,,U,U,uncommon,DFT,Aetherdrift,40,0,8,,
"Calamity, Galloping Inferno",{4}{R}{R},6.0,Legendary Creature — Horse Mount,"Haste
Whenever Calamity attacks while saddled, choose a nonlegendary creature that saddled it this turn and create a tapped and attacking token that's a copy of it. Sacrifice that token at the beginning of the next end step. Repeat this process once.
Saddle 1",R,R,rare,OTJ,Outlaws of Thunder Junction,330,4,6,,Saddle;Haste
"Calamity, Galloping Inferno",{4}{R}{R},6.0,Legendary Creature — Horse Mount,"Haste
Whenever Calamity attacks while saddled, choose a nonlegendary creature that saddled it this turn and create a tapped and attacking token that's a copy of it. Sacrifice that token at the beginning of the next end step. Repeat this process once.
Saddle 1",R,R,rare,PL26,Year of the Horse 2026,4,4,6,,Saddle;Haste
"Calamity, Galloping Inferno",{4}{R}{R},6.0,Legendary Creature — Horse Mount,"Haste
Whenever Calamity attacks while saddled, choose a nonlegendary creature that saddled it this turn and create a tapped and attacking token that's a copy of it. Sacrifice that token at the beginning of the next end step. Repeat this process once.
Saddle 1",R,R,rare,POTJ,Outlaws of Thunder Junction Promos,116s,4,6,,Saddle;Haste
"Calamity, Galloping Inferno",{4}{R}{R},6.0,Legendary Creature — Horse Mount,"Haste
Whenever Calamity attacks while saddled, choose a nonlegendary creature that saddled it this turn and create a tapped and attacking token that's a copy of it. Sacrifice that token at the beginning of the next end step. Repeat this process once.
Saddle 1",R,R,rare,POTJ,Outlaws of Thunder Junction Promos,116p,4,6,,Saddle;Haste
"Calamity, Galloping Inferno",{4}{R}{R},6.0,Legendary Creature — Horse Mount,"Haste
Whenever Calamity attacks while saddled, choose a nonlegendary creature that saddled it this turn and create a tapped and attacking token that's a copy of it. Sacrifice that token at the beginning of the next end step. Repeat this process once.
Saddle 1",R,R,rare,OTJ,Outlaws of Thunder Junction,116,4,6,,Saddle;Haste
Callous Inspector,{B},1.0,Creature — Human Soldier,"Menace (This creature can't be blocked except by two or more creatures.)
When this creature dies, it deals 1 damage to you. Create a Clue token. (It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",B,B,common,TLA,Avatar: The Last Airbender,89,1,1,,Menace
Callous Sell-Sword // Burn Together,{1}{B} // {R},2.0,Creature — Human Soldier // Sorcery — Adventure,,B,"B,R",uncommon,WOE,Wilds of Eldraine,221,2,2,,
"Camellia, the Seedmiser",{1}{B}{G},3.0,Legendary Creature — Squirrel Warlock,"Menace
Other Squirrels you control have menace.
Whenever you sacrifice one or more Foods, create a 1/1 green Squirrel creature token.
{2}, Forage: Put a +1/+1 counter on each other Squirrel you control. (To forage, exile three cards from your graveyard or sacrifice a Food.)","B,G","B,G",rare,BLB,Bloomburrow,207,3,3,,Forage;Menace
"Camellia, the Seedmiser",{1}{B}{G},3.0,Legendary Creature — Squirrel Warlock,"Menace
Other Squirrels you control have menace.
Whenever you sacrifice one or more Foods, create a 1/1 green Squirrel creature token.
{2}, Forage: Put a +1/+1 counter on each other Squirrel you control. (To forage, exile three cards from your graveyard or sacrifice a Food.)","B,G","B,G",rare,BLB,Bloomburrow,346,3,3,,Forage;Menace
"Camellia, the Seedmiser",{1}{B}{G},3.0,Legendary Creature — Squirrel Warlock,"Menace
Other Squirrels you control have menace.
Whenever you sacrifice one or more Foods, create a 1/1 green Squirrel creature token.
{2}, Forage: Put a +1/+1 counter on each other Squirrel you control. (To forage, exile three cards from your graveyard or sacrifice a Food.)","B,G","B,G",rare,BLB,Bloomburrow,328,3,3,,Forage;Menace
"Camellia, the Seedmiser",{1}{B}{G},3.0,Legendary Creature — Squirrel Warlock,"Menace
Other Squirrels you control have menace.
Whenever you sacrifice one or more Foods, create a 1/1 green Squirrel creature token.
{2}, Forage: Put a +1/+1 counter on each other Squirrel you control. (To forage, exile three cards from your graveyard or sacrifice a Food.)","B,G","B,G",rare,PBLB,Bloomburrow Promos,207p,3,3,,Forage;Menace
"Camellia, the Seedmiser",{1}{B}{G},3.0,Legendary Creature — Squirrel Warlock,"Menace
Other Squirrels you control have menace.
Whenever you sacrifice one or more Foods, create a 1/1 green Squirrel creature token.
{2}, Forage: Put a +1/+1 counter on each other Squirrel you control. (To forage, exile three cards from your graveyard or sacrifice a Food.)","B,G","B,G",rare,PBLB,Bloomburrow Promos,207s,3,3,,Forage;Menace
Camera Launcher,{3},3.0,Artifact Creature — Construct,Exhaust — {3}: Put a +1/+1 counter on this creature. Create a 1/1 colorless Thopter artifact creature token with flying. (Activate each exhaust ability only once.),,,common,DFT,Aetherdrift,232,2,2,,Exhaust
Campus Guide,{2},2.0,Artifact Creature — Golem,"When this creature enters, you may search your library for a basic land card, reveal it, then shuffle and put that card on top.",,,common,FDN,Foundations,251,2,1,,
Campus Guide,{2},2.0,Artifact Creature — Golem,"When this creature enters, you may search your library for a basic land card, reveal it, then shuffle and put that card on top.",,,common,STX,Strixhaven: School of Mages,252,2,1,,
Campus Guide,{2},2.0,Artifact Creature — Golem,"When this creature enters, you may search your library for a basic land card, reveal it, then shuffle and put that card on top.",,,common,J22,Jumpstart 2022,758,2,1,,
Canyon Crab,{1}{U},2.0,Creature — Crab,"{1}{U}: This creature gets +2/-2 until end of turn.
At the beginning of your end step, if you haven't cast a spell from your hand this turn, draw a card, then discard a card.",U,U,uncommon,OTJ,Outlaws of Thunder Junction,40,0,5,,
Canyon Crawler,{4}{B}{B},6.0,Creature — Spider Beast,"Deathtouch
When this creature enters, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
Swampcycling {2} ({2}, Discard this card: Search your library for a Swamp card, reveal it, put it into your hand, then shuffle.)",B,B,common,TLA,Avatar: The Last Airbender,90,6,6,,Landcycling;Food;Typecycling;Cycling;Swampcycling;Deathtouch
Canyon Vaulter,{1}{W},2.0,Creature — Kor Pilot,"Whenever this creature saddles a Mount or crews a Vehicle during your main phase, that Mount or Vehicle gains flying until end of turn.",W,W,uncommon,DFT,Aetherdrift,8,3,1,,
Caparocti Sunborn,{2}{R}{W},4.0,Legendary Creature — Human Soldier,"Whenever Caparocti Sunborn attacks, you may tap two untapped artifacts and/or creatures you control. If you do, discover 3. (Exile cards from the top of your library until you exile a nonland card with mana value 3 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)","R,W","R,W",uncommon,LCI,The Lost Caverns of Ixalan,302,4,4,,Discover
Caparocti Sunborn,{2}{R}{W},4.0,Legendary Creature — Human Soldier,"Whenever Caparocti Sunborn attacks, you may tap two untapped artifacts and/or creatures you control. If you do, discover 3. (Exile cards from the top of your library until you exile a nonland card with mana value 3 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)","R,W","R,W",uncommon,LCI,The Lost Caverns of Ixalan,226,4,4,,Discover
"Captain Howler, Sea Scourge",{2}{U}{R},4.0,Legendary Creature — Shark Pirate,"Ward—{2}, Pay 2 life.
Whenever you discard one or more cards, target creature gets +2/+0 until end of turn for each card discarded this way. Whenever that creature deals combat damage to a player this turn, you draw a card.","R,U","R,U",rare,DFT,Aetherdrift,194,5,4,,Ward
"Captain Howler, Sea Scourge",{2}{U}{R},4.0,Legendary Creature — Shark Pirate,"Ward—{2}, Pay 2 life.
Whenever you discard one or more cards, target creature gets +2/+0 until end of turn for each card discarded this way. Whenever that creature deals combat damage to a player this turn, you draw a card.","R,U","R,U",rare,PDFT,Aetherdrift Promos,194p,5,4,,Ward
"Captain Howler, Sea Scourge",{2}{U}{R},4.0,Legendary Creature — Shark Pirate,"Ward—{2}, Pay 2 life.
Whenever you discard one or more cards, target creature gets +2/+0 until end of turn for each card discarded this way. Whenever that creature deals combat damage to a player this turn, you draw a card.","R,U","R,U",rare,DFT,Aetherdrift,361,5,4,,Ward
"Captain Howler, Sea Scourge",{2}{U}{R},4.0,Legendary Creature — Shark Pirate,"Ward—{2}, Pay 2 life.
Whenever you discard one or more cards, target creature gets +2/+0 until end of turn for each card discarded this way. Whenever that creature deals combat damage to a player this turn, you draw a card.","R,U","R,U",rare,DFT,Aetherdrift,475,5,4,,Ward
"Captain Howler, Sea Scourge",{2}{U}{R},4.0,Legendary Creature — Shark Pirate,"Ward—{2}, Pay 2 life.
Whenever you discard one or more cards, target creature gets +2/+0 until end of turn for each card discarded this way. Whenever that creature deals combat damage to a player this turn, you draw a card.","R,U","R,U",rare,PDFT,Aetherdrift Promos,194s,5,4,,Ward
"Captain Storm, Cosmium Raider",{U}{R},2.0,Legendary Creature — Human Pirate,"Whenever an artifact you control enters, put a +1/+1 counter on target Pirate you control.","R,U","R,U",uncommon,LCI,The Lost Caverns of Ixalan,227,2,2,,
"Captain Storm, Cosmium Raider",{U}{R},2.0,Legendary Creature — Human Pirate,"Whenever an artifact you control enters, put a +1/+1 counter on target Pirate you control.","R,U","R,U",uncommon,LCI,The Lost Caverns of Ixalan,303,2,2,,
"Caradora, Heart of Alacria",{2}{G}{W},4.0,Legendary Creature — Human Knight,"When Caradora enters, you may search your library for a Mount or Vehicle card, reveal it, put it into your hand, then shuffle.
If one or more +1/+1 counters would be put on a creature or Vehicle you control, that many plus one +1/+1 counters are put on it instead.","G,W","G,W",rare,PDFT,Aetherdrift Promos,195p,4,2,,
"Caradora, Heart of Alacria",{2}{G}{W},4.0,Legendary Creature — Human Knight,"When Caradora enters, you may search your library for a Mount or Vehicle card, reveal it, put it into your hand, then shuffle.
If one or more +1/+1 counters would be put on a creature or Vehicle you control, that many plus one +1/+1 counters are put on it instead.","G,W","G,W",rare,DFT,Aetherdrift,195,4,2,,
"Caradora, Heart of Alacria",{2}{G}{W},4.0,Legendary Creature — Human Knight,"When Caradora enters, you may search your library for a Mount or Vehicle card, reveal it, put it into your hand, then shuffle.
If one or more +1/+1 counters would be put on a creature or Vehicle you control, that many plus one +1/+1 counters are put on it instead.","G,W","G,W",rare,PDFT,Aetherdrift Promos,195s,4,2,,
"Caradora, Heart of Alacria",{2}{G}{W},4.0,Legendary Creature — Human Knight,"When Caradora enters, you may search your library for a Mount or Vehicle card, reveal it, put it into your hand, then shuffle.
If one or more +1/+1 counters would be put on a creature or Vehicle you control, that many plus one +1/+1 counters are put on it instead.","G,W","G,W",rare,DFT,Aetherdrift,476,4,2,,
"Caradora, Heart of Alacria",{2}{G}{W},4.0,Legendary Creature — Human Knight,"When Caradora enters, you may search your library for a Mount or Vehicle card, reveal it, put it into your hand, then shuffle.
If one or more +1/+1 counters would be put on a creature or Vehicle you control, that many plus one +1/+1 counters are put on it instead.","G,W","G,W",rare,DFT,Aetherdrift,362,4,2,,
"Carnage, Crimson Chaos",{2}{B}{R},4.0,Legendary Creature — Symbiote Villain,"Trample
When Carnage enters, return target creature card with mana value 3 or less from your graveyard to the battlefield. It gains ""This creature attacks each combat if able"" and ""When this creature deals combat damage to a player, sacrifice it.""
Mayhem {B}{R}","B,R","B,R",rare,PW25,Wizards Play Network 2025,13,4,3,,Mayhem;Trample
"Carnage, Crimson Chaos",{2}{B}{R},4.0,Legendary Creature — Symbiote Villain,"Trample
When Carnage enters, return target creature card with mana value 3 or less from your graveyard to the battlefield. It gains ""This creature attacks each combat if able"" and ""When this creature deals combat damage to a player, sacrifice it.""
Mayhem {B}{R}","B,R","B,R",rare,SPM,Marvel's Spider-Man,227,4,3,,Mayhem;Trample
"Carnage, Crimson Chaos",{2}{B}{R},4.0,Legendary Creature — Symbiote Villain,"Trample
When Carnage enters, return target creature card with mana value 3 or less from your graveyard to the battlefield. It gains ""This creature attacks each combat if able"" and ""When this creature deals combat damage to a player, sacrifice it.""
Mayhem {B}{R}","B,R","B,R",rare,SPM,Marvel's Spider-Man,125,4,3,,Mayhem;Trample
