name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Ice Cream Kitty,{1}{B/G},2.0,Artifact Creature — Food Cat Mutant,"{2}, Sacrifice another creature or token: Draw a card. Activate only as a sorcery.
{2}, {T}, Sacrifice this creature: You gain 3 life.","B,G","B,G",common,TMT,Teenage Mutant Ninja Turtles,150,1,3,,
Ice Flan,{4}{U}{U},6.0,Creature — Elemental Ooze,"When this creature enters, tap target artifact or creature an opponent controls. Put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)
Islandcycling {2} ({2}, Discard this card: Search your library for an Island card, reveal it, put it into your hand, then shuffle.)",U,U,common,FIN,Final Fantasy,55,5,4,,Islandcycling;Landcycling;Typecycling;Cycling
Icecave Crasher,{3}{G},4.0,Creature — Beast,"Trample
Landfall — Whenever a land you control enters, this creature gets +1/+0 until end of turn.",G,G,common,EOE,Edge of Eternities,191,4,4,,Trample;Landfall
Iceridge Serpent,{4}{U},5.0,Creature — Serpent,"When this creature enters, return target creature an opponent controls to its owner's hand.",U,U,common,TDM,Tarkir: Dragonstorm,49,3,3,,
Icetill Explorer,{2}{G}{G},4.0,Creature — Insect Scout,"You may play an additional land on each of your turns.
You may play lands from your graveyard.
Landfall — Whenever a land you control enters, mill a card.",G,G,rare,PEOE,Edge of Eternities Promos,192p,2,4,,Mill;Landfall
Icetill Explorer,{2}{G}{G},4.0,Creature — Insect Scout,"You may play an additional land on each of your turns.
You may play lands from your graveyard.
Landfall — Whenever a land you control enters, mill a card.",G,G,mythic,EOE,Edge of Eternities,362,2,4,,Mill;Landfall
Icetill Explorer,{2}{G}{G},4.0,Creature — Insect Scout,"You may play an additional land on each of your turns.
You may play lands from your graveyard.
Landfall — Whenever a land you control enters, mill a card.",G,G,mythic,EOE,Edge of Eternities,388,2,4,,Mill;Landfall
Icetill Explorer,{2}{G}{G},4.0,Creature — Insect Scout,"You may play an additional land on each of your turns.
You may play lands from your graveyard.
Landfall — Whenever a land you control enters, mill a card.",G,G,rare,EOE,Edge of Eternities,192,2,4,,Mill;Landfall
Icetill Explorer,{2}{G}{G},4.0,Creature — Insect Scout,"You may play an additional land on each of your turns.
You may play lands from your graveyard.
Landfall — Whenever a land you control enters, mill a card.",G,G,rare,PEOE,Edge of Eternities Promos,192s,2,4,,Mill;Landfall
Icetill Explorer,{2}{G}{G},4.0,Creature — Insect Scout,"You may play an additional land on each of your turns.
You may play lands from your graveyard.
Landfall — Whenever a land you control enters, mill a card.",G,G,rare,EOE,Edge of Eternities,343,2,4,,Mill;Landfall
Icewind Elemental,{4}{U},5.0,Creature — Elemental,"Flying
When this creature enters, draw a card, then discard a card.",U,U,common,FDN,Foundations,42,3,4,,Flying
Icewrought Sentry,{2}{U},3.0,Creature — Elemental Soldier,"Vigilance
Whenever this creature attacks, you may pay {1}{U}. When you do, tap target creature an opponent controls.
Whenever you tap an untapped creature an opponent controls, this creature gets +2/+1 until end of turn.",U,U,uncommon,WOE,Wilds of Eldraine,55,2,3,,Vigilance
Ignis Scientia,{1}{G}{U},3.0,Legendary Creature — Human Advisor,"When Ignis Scientia enters, look at the top six cards of your library. You may put a land card from among them onto the battlefield tapped. Put the rest on the bottom of your library in a random order.
I've Come Up with a New Recipe! — {1}{G}{U}, {T}: Exile target card from a graveyard. If a creature card was exiled this way, create a Food token.","G,U","G,U",uncommon,FIN,Final Fantasy,492,2,2,,Food
Ignis Scientia,{1}{G}{U},3.0,Legendary Creature — Human Advisor,"When Ignis Scientia enters, look at the top six cards of your library. You may put a land card from among them onto the battlefield tapped. Put the rest on the bottom of your library in a random order.
I've Come Up with a New Recipe! — {1}{G}{U}, {T}: Exile target card from a graveyard. If a creature card was exiled this way, create a Food token.","G,U","G,U",uncommon,FIN,Final Fantasy,227,2,2,,Food
Iguana Parrot,{2}{U},3.0,Creature — Lizard Bird Pirate,"Flying, vigilance
Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)",U,U,common,TLA,Avatar: The Last Airbender,56,2,2,,Flying;Prowess;Vigilance
Il Mheg Pixie,{1}{U},2.0,Creature — Faerie,"Flying
Whenever this creature attacks, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",U,U,uncommon,FIN,Final Fantasy,57,2,1,,Flying;Surveil
Illusion Spinners,{4}{U},5.0,Creature — Faerie Wizard,"You may cast this spell as though it had flash if you control a Faerie.
Flying
This creature has hexproof as long as it's untapped. (It can't be the target of spells or abilities your opponents control.)",U,U,uncommon,ECL,Lorwyn Eclipsed,55,4,3,,Flying
Illvoi Galeblade,{U},1.0,Creature — Jellyfish Warrior,"Flash
Flying
{2}, Sacrifice this creature: Draw a card.",U,U,common,EOE,Edge of Eternities,58,1,1,,Flying;Flash
Illvoi Infiltrator,{2}{U},3.0,Creature — Jellyfish Rogue,"This creature can't be blocked if you've cast two or more spells this turn.
Whenever this creature deals combat damage to a player, draw a card.",U,U,uncommon,EOE,Edge of Eternities,59,1,3,,
