name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Naga Fleshcrafter,{3}{U},4.0,Creature — Snake Shapeshifter,"You may have this creature enter as a copy of any creature on the battlefield.
Renew — {2}{U}, Exile this card from your graveyard: Put a +1/+1 counter on target nonlegendary creature you control. Each other creature you control becomes a copy of that creature until end of turn. Activate only as a sorcery.",U,U,rare,TDM,Tarkir: Dragonstorm,52,0,0,,Renew
Naga Fleshcrafter,{3}{U},4.0,Creature — Snake Shapeshifter,"You may have this creature enter as a copy of any creature on the battlefield.
Renew — {2}{U}, Exile this card from your graveyard: Put a +1/+1 counter on target nonlegendary creature you control. Each other creature you control becomes a copy of that creature until end of turn. Activate only as a sorcery.",U,U,rare,PTDM,Tarkir: Dragonstorm Promos,52s,0,0,,Renew
Naga Fleshcrafter,{3}{U},4.0,Creature — Snake Shapeshifter,"You may have this creature enter as a copy of any creature on the battlefield.
Renew — {2}{U}, Exile this card from your graveyard: Put a +1/+1 counter on target nonlegendary creature you control. Each other creature you control becomes a copy of that creature until end of turn. Activate only as a sorcery.",U,U,rare,TDM,Tarkir: Dragonstorm,333,0,0,,Renew
Naga Fleshcrafter,{3}{U},4.0,Creature — Snake Shapeshifter,"You may have this creature enter as a copy of any creature on the battlefield.
Renew — {2}{U}, Exile this card from your graveyard: Put a +1/+1 counter on target nonlegendary creature you control. Each other creature you control becomes a copy of that creature until end of turn. Activate only as a sorcery.",U,U,rare,PTDM,Tarkir: Dragonstorm Promos,52p,0,0,,Renew
Namazu Trader,{3}{B},4.0,Creature — Fish Citizen,"When this creature enters, you lose 1 life and create a Treasure token.
Whenever this creature attacks, you may sacrifice another creature or artifact. If you do, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",B,B,common,FIN,Final Fantasy,107,3,4,,Surveil;Treasure
Nanoform Sentinel,{2}{U},3.0,Artifact Creature — Robot,"Whenever this creature becomes tapped, untap another target permanent. This ability triggers only once each turn.",U,U,common,EOE,Edge of Eternities,71,3,2,,
"Narset, Jeskai Waymaster",{U}{R}{W},3.0,Legendary Creature — Human Monk,"At the beginning of your end step, you may discard your hand. If you do, draw cards equal to the number of spells you've cast this turn.","R,U,W","R,U,W",rare,PTDM,Tarkir: Dragonstorm Promos,209s,3,4,,
"Narset, Jeskai Waymaster",{U}{R}{W},3.0,Legendary Creature — Human Monk,"At the beginning of your end step, you may discard your hand. If you do, draw cards equal to the number of spells you've cast this turn.","R,U,W","R,U,W",mythic,TDM,Tarkir: Dragonstorm,407,3,4,,
"Narset, Jeskai Waymaster",{U}{R}{W},3.0,Legendary Creature — Human Monk,"At the beginning of your end step, you may discard your hand. If you do, draw cards equal to the number of spells you've cast this turn.","R,U,W","R,U,W",rare,TDM,Tarkir: Dragonstorm,209,3,4,,
"Narset, Jeskai Waymaster",{U}{R}{W},3.0,Legendary Creature — Human Monk,"At the beginning of your end step, you may discard your hand. If you do, draw cards equal to the number of spells you've cast this turn.","R,U,W","R,U,W",mythic,TDM,Tarkir: Dragonstorm,417,3,4,,
"Narset, Jeskai Waymaster",{U}{R}{W},3.0,Legendary Creature — Human Monk,"At the beginning of your end step, you may discard your hand. If you do, draw cards equal to the number of spells you've cast this turn.","R,U,W","R,U,W",rare,PTDM,Tarkir: Dragonstorm Promos,209p,3,4,,
"Narset, Jeskai Waymaster",{U}{R}{W},3.0,Legendary Creature — Human Monk,"At the beginning of your end step, you may discard your hand. If you do, draw cards equal to the number of spells you've cast this turn.","R,U,W","R,U,W",rare,TDM,Tarkir: Dragonstorm,365,3,4,,
"Nashi, Searcher in the Dark",{U}{B},2.0,Legendary Creature — Rat Ninja Wizard,"Menace
Whenever Nashi deals combat damage to a player, you mill that many cards. You may put any number of legendary and/or enchantment cards from among them into your hand. If you put no cards into your hand this way, put a +1/+1 counter on Nashi.","B,U","B,U",rare,DSK,Duskmourn: House of Horror,223,2,2,,Menace;Mill
"Nashi, Searcher in the Dark",{U}{B},2.0,Legendary Creature — Rat Ninja Wizard,"Menace
Whenever Nashi deals combat damage to a player, you mill that many cards. You may put any number of legendary and/or enchantment cards from among them into your hand. If you put no cards into your hand this way, put a +1/+1 counter on Nashi.","B,U","B,U",rare,DSK,Duskmourn: House of Horror,361,2,2,,Menace;Mill
"Nashi, Searcher in the Dark",{U}{B},2.0,Legendary Creature — Rat Ninja Wizard,"Menace
Whenever Nashi deals combat damage to a player, you mill that many cards. You may put any number of legendary and/or enchantment cards from among them into your hand. If you put no cards into your hand this way, put a +1/+1 counter on Nashi.","B,U","B,U",rare,PDSK,Duskmourn: House of Horror Promos,223s,2,2,,Menace;Mill
"Nashi, Searcher in the Dark",{U}{B},2.0,Legendary Creature — Rat Ninja Wizard,"Menace
Whenever Nashi deals combat damage to a player, you mill that many cards. You may put any number of legendary and/or enchantment cards from among them into your hand. If you put no cards into your hand this way, put a +1/+1 counter on Nashi.","B,U","B,U",rare,PDSK,Duskmourn: House of Horror Promos,223p,2,2,,Menace;Mill
Nebula Dragon,{6}{R},7.0,Creature — Dragon,"Flying
When this creature enters, it deals 3 damage to any target.",R,R,common,EOE,Edge of Eternities,147,4,4,,Flying
Needletooth Pack,{3}{G}{G},5.0,Creature — Dinosaur,"Morbid — At the beginning of your end step, if a creature died this turn, put two +1/+1 counters on target creature you control.",G,G,uncommon,FDN,Foundations,108,4,5,,Morbid
Neighborhood Guardian,{1}{W},2.0,Creature — Unicorn,"Whenever another creature you control with power 2 or less enters, target creature you control gets +1/+1 until end of turn.",W,W,uncommon,MKM,Murders at Karlov Manor,26,2,2,,
Neighborhood Guardian,{1}{W},2.0,Creature — Unicorn,"Whenever another creature you control with power 2 or less enters, target creature you control gets +1/+1 until end of turn.",W,W,uncommon,MKM,Murders at Karlov Manor,339,2,2,,
"Neriv, Heart of the Storm",{1}{R}{W}{B},4.0,Legendary Creature — Spirit Dragon,"Flying
If a creature you control that entered this turn would deal damage, it deals twice that much damage instead.","B,R,W","B,R,W",mythic,TDM,Tarkir: Dragonstorm,314,4,5,,Flying
"Neriv, Heart of the Storm",{1}{R}{W}{B},4.0,Legendary Creature — Spirit Dragon,"Flying
If a creature you control that entered this turn would deal damage, it deals twice that much damage instead.","B,R,W","B,R,W",mythic,PTDM,Tarkir: Dragonstorm Promos,210p,4,5,,Flying
"Neriv, Heart of the Storm",{1}{R}{W}{B},4.0,Legendary Creature — Spirit Dragon,"Flying
If a creature you control that entered this turn would deal damage, it deals twice that much damage instead.","B,R,W","B,R,W",mythic,TDM,Tarkir: Dragonstorm,210,4,5,,Flying
"Neriv, Heart of the Storm",{1}{R}{W}{B},4.0,Legendary Creature — Spirit Dragon,"Flying
If a creature you control that entered this turn would deal damage, it deals twice that much damage instead.","B,R,W","B,R,W",mythic,PTDM,Tarkir: Dragonstorm Promos,210s,4,5,,Flying
"Neriv, Heart of the Storm",{1}{R}{W}{B},4.0,Legendary Creature — Spirit Dragon,"Flying
If a creature you control that entered this turn would deal damage, it deals twice that much damage instead.","B,R,W","B,R,W",mythic,TDM,Tarkir: Dragonstorm,366,4,5,,Flying
Nervous Gardener,{1}{G},2.0,Creature — Dryad,"Disguise {G} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)
When this creature is turned face up, search your library for a land card with a basic land type, reveal it, put it into your hand, then shuffle.",G,G,common,MKM,Murders at Karlov Manor,169,2,2,,Disguise
Nessian Hornbeetle,{1}{G},2.0,Creature — Insect,"At the beginning of combat on your turn, if you control another creature with power 4 or greater, put a +1/+1 counter on this creature.",G,G,uncommon,FDN,Foundations,229,2,2,,
Nessian Hornbeetle,{1}{G},2.0,Creature — Insect,"At the beginning of combat on your turn, if you control another creature with power 4 or greater, put a +1/+1 counter on this creature.",G,G,uncommon,J22,Jumpstart 2022,695,2,2,,
Nessian Hornbeetle,{1}{G},2.0,Creature — Insect,"At the beginning of combat on your turn, if you control another creature with power 4 or greater, put a +1/+1 counter on this creature.",G,G,uncommon,THB,Theros Beyond Death,182,2,2,,
Nessian Hornbeetle,{1}{G},2.0,Creature — Insect,"At the beginning of combat on your turn, if you control another creature with power 4 or greater, put a +1/+1 counter on this creature.",G,G,uncommon,JMP,Jumpstart,413,2,2,,
Nesting Bot,{W},1.0,Artifact Creature — Robot,"Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)
When this creature dies, create a 1/1 colorless Servo artifact creature token.
Max speed — This creature gets +1/+0.",W,W,uncommon,DFT,Aetherdrift,22,1,1,,Max speed;Start your engines!
Nettle Guard,{1}{W},2.0,Creature — Mouse Soldier,"Valiant — Whenever this creature becomes the target of a spell or ability you control for the first time each turn, it gets +0/+2 until end of turn.
{1}, Sacrifice this creature: Destroy target artifact or enchantment.",W,W,common,BLB,Bloomburrow,23,3,1,,Valiant
"Neva, Stalked by Nightmares",{2}{W}{B},4.0,Legendary Creature — Human Noble,"Menace
When Neva enters, return target creature or enchantment card from your graveyard to your hand.
Whenever an enchantment you control is put into a graveyard from the battlefield, put a +1/+1 counter on Neva, then scry 1.","B,W","B,W",uncommon,WOE,Wilds of Eldraine,209,2,2,,Menace;Scry
News Helicopter,{3},3.0,Artifact Creature — Construct,"Flying
When this creature enters, create a 1/1 green and white Human Citizen creature token.",,,common,SPM,Marvel's Spider-Man,169,1,1,,Flying
News Helicopter,{3},3.0,Artifact Creature — Construct,"Flying
When this creature enters, create a 1/1 green and white Human Citizen creature token.",,,common,OM1,Through the Omenpaths,169,1,1,,Flying
Nezumi Linkbreaker,{B},1.0,Creature — Rat Warlock,"When this creature dies, create a 1/1 red Mercenary creature token with ""{T}: Target creature you control gets +1/+0 until end of turn. Activate only as a sorcery.""",B,B,common,OTJ,Outlaws of Thunder Junction,96,1,1,,
"Nicanzil, Current Conductor",{G}{U},2.0,Legendary Creature — Merfolk Scout,"Whenever a creature you control explores a land card, you may put a land card from your hand onto the battlefield tapped.
Whenever a creature you control explores a nonland card, put a +1/+1 counter on Nicanzil.","G,U","G,U",uncommon,LCI,The Lost Caverns of Ixalan,236,2,3,,Explore
