name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
"Uchbenbak, the Great Mistake",{3}{U}{B},5.0,Legendary Creature — Skeleton Horror,"Vigilance, menace
Descend 8 — {4}{U}{B}: Return this card from your graveyard to the battlefield with a finality counter on it. Activate only if there are eight or more permanent cards in your graveyard and only as a sorcery. (If a creature with a finality counter on it would die, exile it instead.)","B,U","B,U",uncommon,LCI,The Lost Caverns of Ixalan,242,6,4,,Vigilance;Descend;Menace
"Uchbenbak, the Great Mistake",{3}{U}{B},5.0,Legendary Creature — Skeleton Horror,"Vigilance, menace
Descend 8 — {4}{U}{B}: Return this card from your graveyard to the battlefield with a finality counter on it. Activate only if there are eight or more permanent cards in your graveyard and only as a sorcery. (If a creature with a finality counter on it would die, exile it instead.)","B,U","B,U",uncommon,LCI,The Lost Caverns of Ixalan,310,6,4,,Vigilance;Descend;Menace
"Ultima, Origin of Oblivion",{5},5.0,Legendary Creature — God,"Flying
Whenever Ultima attacks, put a blight counter on target land. For as long as that land has a blight counter on it, it loses all land types and abilities and has ""{T}: Add {C}.""
Whenever you tap a land for {C}, add an additional {C}.",,,rare,FIN,Final Fantasy,324,4,4,,Flying
"Ultima, Origin of Oblivion",{5},5.0,Legendary Creature — God,"Flying
Whenever Ultima attacks, put a blight counter on target land. For as long as that land has a blight counter on it, it loses all land types and abilities and has ""{T}: Add {C}.""
Whenever you tap a land for {C}, add an additional {C}.",,,rare,PFIN,Final Fantasy Promos,2s,4,4,,Flying
"Ultima, Origin of Oblivion",{5},5.0,Legendary Creature — God,"Flying
Whenever Ultima attacks, put a blight counter on target land. For as long as that land has a blight counter on it, it loses all land types and abilities and has ""{T}: Add {C}.""
Whenever you tap a land for {C}, add an additional {C}.",,,rare,FIN,Final Fantasy,2,4,4,,Flying
"Ultima, Origin of Oblivion",{5},5.0,Legendary Creature — God,"Flying
Whenever Ultima attacks, put a blight counter on target land. For as long as that land has a blight counter on it, it loses all land types and abilities and has ""{T}: Add {C}.""
Whenever you tap a land for {C}, add an additional {C}.",,,rare,FIN,Final Fantasy,421,4,4,,Flying
Ultimate Green Goblin,{1}{B/R}{B/R},3.0,Legendary Creature — Goblin Villain,"At the beginning of your upkeep, discard a card, then create a Treasure token.
Mayhem {2}{B/R} (You may cast this card from your graveyard for {2}{B/R} if you discarded it this turn. Timing rules still apply.)","B,R","B,R",rare,PW25,Wizards Play Network 2025,12,5,4,,Mayhem;Treasure
Ultimate Green Goblin,{1}{B/R}{B/R},3.0,Legendary Creature — Goblin Villain,"At the beginning of your upkeep, discard a card, then create a Treasure token.
Mayhem {2}{B/R} (You may cast this card from your graveyard for {2}{B/R} if you discarded it this turn. Timing rules still apply.)","B,R","B,R",rare,SPM,Marvel's Spider-Man,276,5,4,,Mayhem;Treasure
Ultimate Green Goblin,{1}{B/R}{B/R},3.0,Legendary Creature — Goblin Villain,"At the beginning of your upkeep, discard a card, then create a Treasure token.
Mayhem {2}{B/R} (You may cast this card from your graveyard for {2}{B/R} if you discarded it this turn. Timing rules still apply.)","B,R","B,R",rare,OM1,Through the Omenpaths,153,5,4,,Mayhem;Treasure
Ultimate Green Goblin,{1}{B/R}{B/R},3.0,Legendary Creature — Goblin Villain,"At the beginning of your upkeep, discard a card, then create a Treasure token.
Mayhem {2}{B/R} (You may cast this card from your graveyard for {2}{B/R} if you discarded it this turn. Timing rules still apply.)","B,R","B,R",rare,PSPM,Marvel's Spider-Man Promos,157s,5,4,,Mayhem;Treasure
