name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Walking Sarcophagus,{2},2.0,Artifact Creature — Zombie Cat,"Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)
Max speed — This creature gets +1/+2.",,,common,DFT,Aetherdrift,246,2,1,,Max speed;Start your engines!
Walltop Sentries,{2}{G},3.0,Creature — Human Soldier Ally,"Reach, deathtouch
When this creature dies, if there's a Lesson card in your graveyard, you gain 2 life.",G,G,common,TLA,Avatar: The Last Airbender,202,2,3,,Reach;Deathtouch
"Wan Shi Tong, Librarian",{X}{U}{U},2.0,Legendary Creature — Bird Spirit,"Flash
Flying, vigilance
When Wan Shi Tong enters, put X +1/+1 counters on him. Then draw half X cards, rounded down.
Whenever an opponent searches their library, put a +1/+1 counter on Wan Shi Tong and draw a card.",U,U,mythic,PTLA,Avatar: The Last Airbender Promos,78s,1,1,,Flying;Vigilance;Flash
"Wan Shi Tong, Librarian",{X}{U}{U},2.0,Legendary Creature — Bird Spirit,"Flash
Flying, vigilance
When Wan Shi Tong enters, put X +1/+1 counters on him. Then draw half X cards, rounded down.
Whenever an opponent searches their library, put a +1/+1 counter on Wan Shi Tong and draw a card.",U,U,mythic,TLA,Avatar: The Last Airbender,320,1,1,,Flying;Vigilance;Flash
"Wan Shi Tong, Librarian",{X}{U}{U},2.0,Legendary Creature — Bird Spirit,"Flash
Flying, vigilance
When Wan Shi Tong enters, put X +1/+1 counters on him. Then draw half X cards, rounded down.
Whenever an opponent searches their library, put a +1/+1 counter on Wan Shi Tong and draw a card.",U,U,mythic,TLA,Avatar: The Last Airbender,78,1,1,,Flying;Vigilance;Flash
Wanderbrine Preacher,{1}{W},2.0,Creature — Merfolk Cleric,"Whenever this creature becomes tapped, you gain 2 life.",W,W,common,ECL,Lorwyn Eclipsed,41,2,2,,
Wanderbrine Trapper,{W},1.0,Creature — Merfolk Scout,"{1}, {T}, Tap another untapped creature you control: Tap target creature an opponent controls.",W,W,uncommon,ECL,Lorwyn Eclipsed,42,2,1,,
Wandering Musicians,{3}{R/W},4.0,Creature — Human Bard Ally,"Whenever this creature attacks, creatures you control get +1/+0 until end of turn.","R,W","R,W",common,TLA,Avatar: The Last Airbender,250,2,5,,
Wandertale Mentor,{R}{G},2.0,Creature — Raccoon Bard,"Whenever you expend 4, put a +1/+1 counter on this creature. (You expend 4 as you spend your fourth total mana to cast spells during a turn.)
{T}: Add {R} or {G}.","G,R","G,R",uncommon,BLB,Bloomburrow,240,2,2,,
Wanderwine Distracter,{3}{U},4.0,Creature — Merfolk Wizard,"Whenever this creature becomes tapped, target creature an opponent controls gets -3/-0 until end of turn.",U,U,common,ECL,Lorwyn Eclipsed,82,4,3,,
Wanted Griffin,{3}{W},4.0,Creature — Griffin,"Flying
When this creature dies, create a 1/1 red Mercenary creature token with ""{T}: Target creature you control gets +1/+0 until end of turn. Activate only as a sorcery.""",W,W,common,OTJ,Outlaws of Thunder Junction,38,3,2,,Flying
Warden of the Grove,{2}{G},3.0,Creature — Hydra,"At the beginning of your end step, put a +1/+1 counter on this creature.
Whenever another nontoken creature you control enters, it endures X, where X is the number of counters on this creature. (Put X +1/+1 counters on the creature that entered or create an X/X white Spirit creature token.)",G,G,rare,TDM,Tarkir: Dragonstorm,166,2,2,,Endure
Warden of the Grove,{2}{G},3.0,Creature — Hydra,"At the beginning of your end step, put a +1/+1 counter on this creature.
Whenever another nontoken creature you control enters, it endures X, where X is the number of counters on this creature. (Put X +1/+1 counters on the creature that entered or create an X/X white Spirit creature token.)",G,G,rare,TDM,Tarkir: Dragonstorm,351,2,2,,Endure
Warden of the Grove,{2}{G},3.0,Creature — Hydra,"At the beginning of your end step, put a +1/+1 counter on this creature.
Whenever another nontoken creature you control enters, it endures X, where X is the number of counters on this creature. (Put X +1/+1 counters on the creature that entered or create an X/X white Spirit creature token.)",G,G,rare,PTDM,Tarkir: Dragonstorm Promos,166p,2,2,,Endure
Warden of the Grove,{2}{G},3.0,Creature — Hydra,"At the beginning of your end step, put a +1/+1 counter on this creature.
Whenever another nontoken creature you control enters, it endures X, where X is the number of counters on this creature. (Put X +1/+1 counters on the creature that entered or create an X/X white Spirit creature token.)",G,G,rare,PTDM,Tarkir: Dragonstorm Promos,166s,2,2,,Endure
Warden of the Inner Sky,{W},1.0,Creature — Human Soldier,"As long as this creature has three or more counters on it, it has flying and vigilance.
Tap three untapped artifacts and/or creatures you control: Put a +1/+1 counter on this creature. Scry 1. Activate only as a sorcery.",W,W,rare,PLCI,The Lost Caverns of Ixalan Promos,43s,1,2,,Scry
Warden of the Inner Sky,{W},1.0,Creature — Human Soldier,"As long as this creature has three or more counters on it, it has flying and vigilance.
Tap three untapped artifacts and/or creatures you control: Put a +1/+1 counter on this creature. Scry 1. Activate only as a sorcery.",W,W,rare,LCI,The Lost Caverns of Ixalan,43,1,2,,Scry
Warden of the Inner Sky,{W},1.0,Creature — Human Soldier,"As long as this creature has three or more counters on it, it has flying and vigilance.
Tap three untapped artifacts and/or creatures you control: Put a +1/+1 counter on this creature. Scry 1. Activate only as a sorcery.",W,W,rare,PLCI,The Lost Caverns of Ixalan Promos,43p,1,2,,Scry
Warden of the Inner Sky,{W},1.0,Creature — Human Soldier,"As long as this creature has three or more counters on it, it has flying and vigilance.
Tap three untapped artifacts and/or creatures you control: Put a +1/+1 counter on this creature. Scry 1. Activate only as a sorcery.",W,W,rare,LCI,The Lost Caverns of Ixalan,359,1,2,,Scry
Wardens of the Cycle,{1}{B}{G}{G},4.0,Creature — Elf Warlock,"Morbid — At the beginning of your end step, if a creature died this turn, choose one —
• You gain 2 life.
• You draw a card and you lose 1 life.","B,G","B,G",uncommon,FDN,Foundations,125,3,4,,Morbid
Warehouse Tabby,{B},1.0,Creature — Cat,"Whenever an enchantment you control is put into a graveyard from the battlefield, create a 1/1 black Rat creature token with ""This token can't block.""
{1}{B}: This creature gains deathtouch until end of turn.",B,B,common,WOE,Wilds of Eldraine,117,1,1,,
Warren Elder,{1}{W},2.0,Creature — Rabbit Cleric,{3}{W}: Creatures you control get +1/+1 until end of turn.,W,W,common,BLB,Bloomburrow,37,2,2,,
Warren Torchmaster,{1}{R},2.0,Creature — Goblin Warrior,"At the beginning of combat on your turn, you may blight 1. When you do, target creature gains haste until end of turn. (To blight 1, put a -1/-1 counter on a creature you control.)",R,R,uncommon,ECL,Lorwyn Eclipsed,163,2,2,,Blight
Warren Warleader,{2}{W}{W},4.0,Creature — Rabbit Knight,"Offspring {2} (You may pay an additional {2} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
Whenever you attack, choose one —
• Create a 1/1 white Rabbit creature token that's tapped and attacking.
• Attacking creatures you control get +1/+1 until end of turn.",W,W,mythic,BLB,Bloomburrow,300,4,4,,Offspring
Warren Warleader,{2}{W}{W},4.0,Creature — Rabbit Knight,"Offspring {2} (You may pay an additional {2} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
Whenever you attack, choose one —
• Create a 1/1 white Rabbit creature token that's tapped and attacking.
• Attacking creatures you control get +1/+1 until end of turn.",W,W,mythic,PBLB,Bloomburrow Promos,38p,4,4,,Offspring
Warren Warleader,{2}{W}{W},4.0,Creature — Rabbit Knight,"Offspring {2} (You may pay an additional {2} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
Whenever you attack, choose one —
• Create a 1/1 white Rabbit creature token that's tapped and attacking.
• Attacking creatures you control get +1/+1 until end of turn.",W,W,mythic,PBLB,Bloomburrow Promos,38s,4,4,,Offspring
Warren Warleader,{2}{W}{W},4.0,Creature — Rabbit Knight,"Offspring {2} (You may pay an additional {2} as you cast this spell. If you do, when this creature enters, create a 1/1 token copy of it.)
Whenever you attack, choose one —
• Create a 1/1 white Rabbit creature token that's tapped and attacking.
• Attacking creatures you control get +1/+1 until end of turn.",W,W,mythic,BLB,Bloomburrow,38,4,4,,Offspring
Wartime Protestors,{3}{R},4.0,Creature — Human Rebel Ally,"Haste
Whenever another Ally you control enters, put a +1/+1 counter on that creature and it gains haste until end of turn.",R,R,rare,TLA,Avatar: The Last Airbender,375,4,4,,Haste
Wartime Protestors,{3}{R},4.0,Creature — Human Rebel Ally,"Haste
Whenever another Ally you control enters, put a +1/+1 counter on that creature and it gains haste until end of turn.",R,R,rare,PTLA,Avatar: The Last Airbender Promos,160s,4,4,,Haste
Wartime Protestors,{3}{R},4.0,Creature — Human Rebel Ally,"Haste
Whenever another Ally you control enters, put a +1/+1 counter on that creature and it gains haste until end of turn.",R,R,rare,TLA,Avatar: The Last Airbender,160,4,4,,Haste
Wary Farmer,{1}{G/W}{G/W},3.0,Creature — Kithkin Citizen,"At the beginning of your end step, if another creature entered the battlefield under your control this turn, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)","G,W","G,W",common,ECL,Lorwyn Eclipsed,251,3,3,,Surveil
Wary Thespian,{1}{G},2.0,Creature — Cat Druid,"When this creature enters or dies, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",G,G,common,MOM,March of the Machine,215,3,1,,Surveil
Wary Thespian,{1}{G},2.0,Creature — Cat Druid,"When this creature enters or dies, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",G,G,common,FDN,Foundations,235,3,1,,Surveil
Wary Watchdog,{1}{G},2.0,Creature — Dog,"When this creature enters or dies, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",G,G,common,DSK,Duskmourn: House of Horror,206,3,1,,Surveil
Watcher of the Wayside,{3},3.0,Artifact Creature — Golem,"When this creature enters, target player mills two cards. You gain 2 life. (To mill two cards, a player puts the top two cards of their library into their graveyard.)",,,common,TDM,Tarkir: Dragonstorm,249,3,2,,Mill
Water Tribe Captain,{2}{W},3.0,Creature — Human Soldier Ally,{5}: Creatures you control get +1/+1 until end of turn.,W,W,common,TLA,Avatar: The Last Airbender,41,3,3,,
Water Tribe Rallier,{1}{W},2.0,Creature — Human Soldier Ally,"Waterbend {5}: Look at the top four cards of your library. You may reveal a creature card with power 3 or less from among them and put it into your hand. Put the rest on the bottom of your library in a random order. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)",W,W,uncommon,TLA,Avatar: The Last Airbender,42,2,2,,Waterbend
Waterspout Warden,{2}{U},3.0,Creature — Frog Soldier,"Whenever this creature attacks, if another creature entered the battlefield under your control this turn, this creature gains flying until end of turn.",U,U,common,BLB,Bloomburrow,80,3,2,,
Waterwind Scout,{2}{U},3.0,Creature — Merfolk Scout,"Flying
When this creature enters, create a Map token. (It's an artifact with ""{1}, {T}, Sacrifice this token: Target creature you control explores. Activate only as a sorcery."")",U,U,common,LCI,The Lost Caverns of Ixalan,84,2,2,,Flying;Explore
Wax-Wane Witness,{3}{W},4.0,Creature — Bat Cleric,"Flying, vigilance
Whenever you gain or lose life during your turn, this creature gets +1/+0 until end of turn.",W,W,common,BLB,Bloomburrow,39,2,4,,Flying;Vigilance
Waxen Shapethief,{3}{U},4.0,Creature — Shapeshifter,"Flash
You may have this creature enter as a copy of an artifact or creature you control.
Cycling {2} ({2}, Discard this card: Draw a card.)",U,U,rare,DFT,Aetherdrift,74,0,0,,Flash;Cycling
Waxen Shapethief,{3}{U},4.0,Creature — Shapeshifter,"Flash
You may have this creature enter as a copy of an artifact or creature you control.
Cycling {2} ({2}, Discard this card: Draw a card.)",U,U,rare,PDFT,Aetherdrift Promos,74p,0,0,,Flash;Cycling
Waxen Shapethief,{3}{U},4.0,Creature — Shapeshifter,"Flash
You may have this creature enter as a copy of an artifact or creature you control.
Cycling {2} ({2}, Discard this card: Draw a card.)",U,U,rare,DFT,Aetherdrift,336,0,0,,Flash;Cycling
Waxen Shapethief,{3}{U},4.0,Creature — Shapeshifter,"Flash
You may have this creature enter as a copy of an artifact or creature you control.
Cycling {2} ({2}, Discard this card: Draw a card.)",U,U,rare,DFT,Aetherdrift,444,0,0,,Flash;Cycling
Waxen Shapethief,{3}{U},4.0,Creature — Shapeshifter,"Flash
You may have this creature enter as a copy of an artifact or creature you control.
Cycling {2} ({2}, Discard this card: Draw a card.)",U,U,rare,DFT,Aetherdrift,535,0,0,,Flash;Cycling
Waxen Shapethief,{3}{U},4.0,Creature — Shapeshifter,"Flash
You may have this creature enter as a copy of an artifact or creature you control.
Cycling {2} ({2}, Discard this card: Draw a card.)",U,U,rare,PDFT,Aetherdrift Promos,74s,0,0,,Flash;Cycling
Waylaying Pirates,{3}{U},4.0,Creature — Human Pirate,"When this creature enters, if you control an artifact, tap target artifact or creature an opponent controls and put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)",U,U,common,LCI,The Lost Caverns of Ixalan,85,3,3,,
Wayspeaker Bodyguard,{3}{W},4.0,Creature — Orc Monk,"When this creature enters, return target nonland permanent card with mana value 2 or less from your graveyard to your hand.
Flurry — Whenever you cast your second spell each turn, tap target creature an opponent controls.",W,W,uncommon,TDM,Tarkir: Dragonstorm,34,3,4,,Flurry
Weapons Vendor,{3}{W},4.0,Creature — Human Artificer,"When this creature enters, draw a card.
At the beginning of combat on your turn, if you control an Equipment, you may pay {1}. When you do, attach target Equipment you control to target creature you control.",W,W,common,FIN,Final Fantasy,40,2,2,,
Web-Warriors,{4}{G/W},5.0,Creature — Spider Hero,"When this creature enters, put a +1/+1 counter on each other creature you control.","G,W","G,W",uncommon,SPM,Marvel's Spider-Man,159,4,3,,
Web-Warriors,{4}{G/W},5.0,Creature — Spider Hero,"When this creature enters, put a +1/+1 counter on each other creature you control.","G,W","G,W",uncommon,SPM,Marvel's Spider-Man,203,4,3,,
