name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Zack Fair,{W},1.0,Legendary Creature — Human Soldier,"Zack Fair enters with a +1/+1 counter on it.
{1}, Sacrifice Zack Fair: Target creature you control gains indestructible until end of turn. Put Zack Fair's counters on that creature and attach an Equipment that was attached to Zack Fair to that creature.",W,W,rare,PMEI,Media and Collaboration Promos,2026-03,0,1,,
Zack Fair,{W},1.0,Legendary Creature — Human Soldier,"Zack Fair enters with a +1/+1 counter on it.
{1}, Sacrifice Zack Fair: Target creature you control gains indestructible until end of turn. Put Zack Fair's counters on that creature and attach an Equipment that was attached to Zack Fair to that creature.",W,W,uncommon,FIN,Final Fantasy,580,0,1,,
Zack Fair,{W},1.0,Legendary Creature — Human Soldier,"Zack Fair enters with a +1/+1 counter on it.
{1}, Sacrifice Zack Fair: Target creature you control gains indestructible until end of turn. Put Zack Fair's counters on that creature and attach an Equipment that was attached to Zack Fair to that creature.",W,W,uncommon,FIN,Final Fantasy,45,0,1,,
Zack Fair,{W},1.0,Legendary Creature — Human Soldier,"Zack Fair enters with a +1/+1 counter on it.
{1}, Sacrifice Zack Fair: Target creature you control gains indestructible until end of turn. Put Zack Fair's counters on that creature and attach an Equipment that was attached to Zack Fair to that creature.",W,W,uncommon,FIN,Final Fantasy,435,0,1,,
"Zahur, Glory's Past",{W}{B},2.0,Legendary Creature — Zombie Cat Warrior,"Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)
Sacrifice another creature: Surveil 1. Activate only once each turn.
Max speed — Whenever a nontoken creature you control dies, create a tapped 2/2 black Zombie creature token.","B,W","B,W",rare,DFT,Aetherdrift,229,3,2,,Surveil;Max speed;Start your engines!
"Zahur, Glory's Past",{W}{B},2.0,Legendary Creature — Zombie Cat Warrior,"Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)
Sacrifice another creature: Surveil 1. Activate only once each turn.
Max speed — Whenever a nontoken creature you control dies, create a tapped 2/2 black Zombie creature token.","B,W","B,W",rare,DFT,Aetherdrift,370,3,2,,Surveil;Max speed;Start your engines!
"Zahur, Glory's Past",{W}{B},2.0,Legendary Creature — Zombie Cat Warrior,"Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)
Sacrifice another creature: Surveil 1. Activate only once each turn.
Max speed — Whenever a nontoken creature you control dies, create a tapped 2/2 black Zombie creature token.","B,W","B,W",rare,DFT,Aetherdrift,495,3,2,,Surveil;Max speed;Start your engines!
"Zahur, Glory's Past",{W}{B},2.0,Legendary Creature — Zombie Cat Warrior,"Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)
Sacrifice another creature: Surveil 1. Activate only once each turn.
Max speed — Whenever a nontoken creature you control dies, create a tapped 2/2 black Zombie creature token.","B,W","B,W",rare,PDFT,Aetherdrift Promos,229s,3,2,,Surveil;Max speed;Start your engines!
"Zahur, Glory's Past",{W}{B},2.0,Legendary Creature — Zombie Cat Warrior,"Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)
Sacrifice another creature: Surveil 1. Activate only once each turn.
Max speed — Whenever a nontoken creature you control dies, create a tapped 2/2 black Zombie creature token.","B,W","B,W",rare,PDFT,Aetherdrift Promos,229p,3,2,,Surveil;Max speed;Start your engines!
Zell Dincht,{2}{R},3.0,Legendary Creature — Human Monk,"You may play an additional land on each of your turns.
Zell Dincht gets +1/+0 for each land you control.
At the beginning of your end step, return a land you control to its owner's hand.",R,R,rare,FIN,Final Fantasy,170,0,3,,
