name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Earthbender Ascension,{2}{G},3.0,Enchantment,"When this enchantment enters, earthbend 2. Then search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
Landfall — Whenever a land you control enters, put a quest counter on this enchantment. When you do, if it has four or more quest counters on it, put a +1/+1 counter on target creature you control. It gains trample until end of turn.",G,G,rare,PTLA,Avatar: The Last Airbender Promos,175s,,,,Earthbend;Landfall
Earthbender Ascension,{2}{G},3.0,Enchantment,"When this enchantment enters, earthbend 2. Then search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
Landfall — Whenever a land you control enters, put a quest counter on this enchantment. When you do, if it has four or more quest counters on it, put a +1/+1 counter on target creature you control. It gains trample until end of turn.",G,G,rare,TLA,Avatar: The Last Airbender,175,,,,Earthbend;Landfall
Earthbender Ascension,{2}{G},3.0,Enchantment,"When this enchantment enters, earthbend 2. Then search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
Landfall — Whenever a land you control enters, put a quest counter on this enchantment. When you do, if it has four or more quest counters on it, put a +1/+1 counter on target creature you control. It gains trample until end of turn.",G,G,rare,TLA,Avatar: The Last Airbender,307,,,,Earthbend;Landfall
Eaten by Piranhas,{1}{U},2.0,Enchantment — Aura,"Flash (You may cast this spell any time you could cast an instant.)
Enchant creature
Enchanted creature loses all abilities and is a black Skeleton creature with base power and toughness 1/1. (It loses all other colors, card types, and creature types.)",U,U,uncommon,FDN,Foundations,507,,,,Enchant;Flash
Eaten by Piranhas,{1}{U},2.0,Enchantment — Aura,"Flash (You may cast this spell any time you could cast an instant.)
Enchant creature
Enchanted creature loses all abilities and is a black Skeleton creature with base power and toughness 1/1. (It loses all other colors, card types, and creature types.)",U,U,uncommon,LCI,The Lost Caverns of Ixalan,54,,,,Enchant;Flash
Emergent Haunting,{1}{U},2.0,Enchantment,"At the beginning of your end step, if you haven't cast a spell from your hand this turn and this enchantment isn't a creature, it becomes a 3/3 Spirit creature with flying in addition to its other types.
{2}{U}: Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",U,U,uncommon,OTJ,Outlaws of Thunder Junction,46,,,,Surveil
Encroaching Dragonstorm,{3}{G},4.0,Enchantment,"When this enchantment enters, search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.
When a Dragon you control enters, return this enchantment to its owner's hand.",G,G,uncommon,TDM,Tarkir: Dragonstorm,142,,,,
Encroaching Dragonstorm,{3}{G},4.0,Enchantment,"When this enchantment enters, search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.
When a Dragon you control enters, return this enchantment to its owner's hand.",G,G,uncommon,TDM,Tarkir: Dragonstorm,305,,,,
Encroaching Dragonstorm,{3}{G},4.0,Enchantment,"When this enchantment enters, search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.
When a Dragon you control enters, return this enchantment to its owner's hand.",G,G,uncommon,TDM,Tarkir: Dragonstorm,424,,,,
Etali's Favor,{2}{R},3.0,Enchantment — Aura,"Enchant creature you control
When this Aura enters, discover 3. (Exile cards from the top of your library until you exile a nonland card with mana value 3 or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)
Enchanted creature gets +1/+1 and has trample.",R,R,common,LCI,The Lost Caverns of Ixalan,149,,,,Discover;Enchant
Ethereal Armor,{W},1.0,Enchantment — Aura,"Enchant creature
Enchanted creature gets +1/+1 for each enchantment you control and has first strike.",W,W,common,WOC,Wilds of Eldraine Commander,67,,,,Enchant
Ethereal Armor,{W},1.0,Enchantment — Aura,"Enchant creature
Enchanted creature gets +1/+1 for each enchantment you control and has first strike.",W,W,common,Q06,Pioneer Challenger Decks 2021,2,,,,Enchant
Ethereal Armor,{W},1.0,Enchantment — Aura,"Enchant creature
Enchanted creature gets +1/+1 for each enchantment you control and has first strike.",W,W,special,TSR,Time Spiral Remastered,293,,,,Enchant
Ethereal Armor,{W},1.0,Enchantment — Aura,"Enchant creature
Enchanted creature gets +1/+1 for each enchantment you control and has first strike.",W,W,common,PLST,The List,Q06-2,,,,Enchant
