name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Fae Flight,{1}{U},2.0,Enchantment — Aura,"Flash
Enchant creature
When this Aura enters, enchanted creature gains hexproof until end of turn.
Enchanted creature gets +1/+0 and has flying.",U,U,uncommon,MKM,Murders at Karlov Manor,295,,,,Enchant;Flash
Fae Flight,{1}{U},2.0,Enchantment — Aura,"Flash
Enchant creature
When this Aura enters, enchanted creature gains hexproof until end of turn.
Enchanted creature gets +1/+0 and has flying.",U,U,uncommon,MKM,Murders at Karlov Manor,56,,,,Enchant;Flash
Fated Firepower,{X}{R}{R}{R},3.0,Enchantment,"Flash
This enchantment enters with X fire counters on it.
If a source you control would deal damage to an opponent or a permanent an opponent controls, it deals that much damage plus an amount of damage equal to the number of fire counters on this enchantment instead.",R,R,mythic,TLA,Avatar: The Last Airbender,341,,,,Flash
Fated Firepower,{X}{R}{R}{R},3.0,Enchantment,"Flash
This enchantment enters with X fire counters on it.
If a source you control would deal damage to an opponent or a permanent an opponent controls, it deals that much damage plus an amount of damage equal to the number of fire counters on this enchantment instead.",R,R,mythic,TLA,Avatar: The Last Airbender,132,,,,Flash
Fated Firepower,{X}{R}{R}{R},3.0,Enchantment,"Flash
This enchantment enters with X fire counters on it.
If a source you control would deal damage to an opponent or a permanent an opponent controls, it deals that much damage plus an amount of damage equal to the number of fire counters on this enchantment instead.",R,R,mythic,TLA,Avatar: The Last Airbender,297,,,,Flash
Fated Firepower,{X}{R}{R}{R},3.0,Enchantment,"Flash
This enchantment enters with X fire counters on it.
If a source you control would deal damage to an opponent or a permanent an opponent controls, it deals that much damage plus an amount of damage equal to the number of fire counters on this enchantment instead.",R,R,mythic,PTLA,Avatar: The Last Airbender Promos,132s,,,,Flash
Feather of Flight,{1}{W},2.0,Enchantment — Aura,"Flash
Enchant creature
When this Aura enters, draw a card.
Enchanted creature gets +1/+0 and has flying.",W,W,uncommon,BLB,Bloomburrow,13,,,,Enchant;Flash
Felidar Retreat,{3}{W},4.0,Enchantment,"Landfall — Whenever a land you control enters, choose one —
• Create a 2/2 white Cat Beast creature token.
• Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn.",W,W,rare,J22,Jumpstart 2022,184,,,,Landfall
Felidar Retreat,{3}{W},4.0,Enchantment,"Landfall — Whenever a land you control enters, choose one —
• Create a 2/2 white Cat Beast creature token.
• Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn.",W,W,rare,ZNR,Zendikar Rising,16,,,,Landfall
Felidar Retreat,{3}{W},4.0,Enchantment,"Landfall — Whenever a land you control enters, choose one —
• Create a 2/2 white Cat Beast creature token.
• Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn.",W,W,rare,NCC,New Capenna Commander,199,,,,Landfall
Felidar Retreat,{3}{W},4.0,Enchantment,"Landfall — Whenever a land you control enters, choose one —
• Create a 2/2 white Cat Beast creature token.
• Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn.",W,W,rare,PLST,The List,ZNR-16,,,,Landfall
Felidar Retreat,{3}{W},4.0,Enchantment,"Landfall — Whenever a land you control enters, choose one —
• Create a 2/2 white Cat Beast creature token.
• Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn.",W,W,rare,SLD,Secret Lair Drop,2378,,,,Landfall
Felidar Retreat,{3}{W},4.0,Enchantment,"Landfall — Whenever a land you control enters, choose one —
• Create a 2/2 white Cat Beast creature token.
• Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn.",W,W,rare,SCD,Starter Commander Decks,22,,,,Landfall
