name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Sapling Nursery,{6}{G}{G},8.0,Enchantment,"Affinity for Forests (This spell costs {1} less to cast for each Forest you control.)
Landfall — Whenever a land you control enters, create a 3/4 green Treefolk creature token with reach.
{1}{G}, Exile this enchantment: Treefolk and Forests you control gain indestructible until end of turn.",G,G,rare,PECL,Lorwyn Eclipsed Promos,192p,,,,Affinity;Landfall
Sapling Nursery,{6}{G}{G},8.0,Enchantment,"Affinity for Forests (This spell costs {1} less to cast for each Forest you control.)
Landfall — Whenever a land you control enters, create a 3/4 green Treefolk creature token with reach.
{1}{G}, Exile this enchantment: Treefolk and Forests you control gain indestructible until end of turn.",G,G,rare,ECL,Lorwyn Eclipsed,192,,,,Affinity;Landfall
Sapling Nursery,{6}{G}{G},8.0,Enchantment,"Affinity for Forests (This spell costs {1} less to cast for each Forest you control.)
Landfall — Whenever a land you control enters, create a 3/4 green Treefolk creature token with reach.
{1}{G}, Exile this enchantment: Treefolk and Forests you control gain indestructible until end of turn.",G,G,rare,ECL,Lorwyn Eclipsed,328,,,,Affinity;Landfall
Scavenger's Talent,{B},1.0,Enchantment — Class,"(Gain the next level as a sorcery to add its ability.)
Whenever one or more creatures you control die, create a Food token. This ability triggers only once each turn.
{1}{B}: Level 2
Whenever you sacrifice a permanent, target player mills two cards.
{2}{B}: Level 3
At the beginning of your end step, you may sacrifice three other nonland permanents. If you do, return a creature card from your graveyard to the battlefield with a finality counter on it.",B,B,rare,BLB,Bloomburrow,111,,,,Food;Mill
Scavenger's Talent,{B},1.0,Enchantment — Class,"(Gain the next level as a sorcery to add its ability.)
Whenever one or more creatures you control die, create a Food token. This ability triggers only once each turn.
{1}{B}: Level 2
Whenever you sacrifice a permanent, target player mills two cards.
{2}{B}: Level 3
At the beginning of your end step, you may sacrifice three other nonland permanents. If you do, return a creature card from your graveyard to the battlefield with a finality counter on it.",B,B,rare,PBLB,Bloomburrow Promos,111s,,,,Food;Mill
Scavenger's Talent,{B},1.0,Enchantment — Class,"(Gain the next level as a sorcery to add its ability.)
Whenever one or more creatures you control die, create a Food token. This ability triggers only once each turn.
{1}{B}: Level 2
Whenever you sacrifice a permanent, target player mills two cards.
{2}{B}: Level 3
At the beginning of your end step, you may sacrifice three other nonland permanents. If you do, return a creature card from your graveyard to the battlefield with a finality counter on it.",B,B,rare,PBLB,Bloomburrow Promos,111p,,,,Food;Mill
Seam Rip,{W},1.0,Enchantment,"When this enchantment enters, exile target nonland permanent an opponent controls with mana value 2 or less until this enchantment leaves the battlefield.",W,W,uncommon,EOE,Edge of Eternities,34,,,,
Shadow of the Goblin,{1}{R},2.0,Enchantment,"Unreliable Visions — At the beginning of your first main phase, discard a card. If you do, draw a card.
Undying Vengeance — Whenever you play a land or cast a spell from anywhere other than your hand, this enchantment deals 1 damage to each opponent.",R,R,rare,SPM,Marvel's Spider-Man,87,,,,Undying
Shadow of the Goblin,{1}{R},2.0,Enchantment,"Unreliable Visions — At the beginning of your first main phase, discard a card. If you do, draw a card.
Undying Vengeance — Whenever you play a land or cast a spell from anywhere other than your hand, this enchantment deals 1 damage to each opponent.",R,R,rare,PSPM,Marvel's Spider-Man Promos,87s,,,,Undying
Shadow of the Goblin,{1}{R},2.0,Enchantment,"Unreliable Visions — At the beginning of your first main phase, discard a card. If you do, draw a card.
Undying Vengeance — Whenever you play a land or cast a spell from anywhere other than your hand, this enchantment deals 1 damage to each opponent.",R,R,rare,OM1,Through the Omenpaths,90,,,,Undying
Shadow of the Goblin,{1}{R},2.0,Enchantment,"Unreliable Visions — At the beginning of your first main phase, discard a card. If you do, draw a card.
Undying Vengeance — Whenever you play a land or cast a spell from anywhere other than your hand, this enchantment deals 1 damage to each opponent.",R,R,rare,SPM,Marvel's Spider-Man,262,,,,Undying
Shardmage's Rescue,{W},1.0,Enchantment — Aura,"Flash
Enchant creature you control
As long as this Aura entered this turn, enchanted creature has hexproof.
Enchanted creature gets +1/+1.",W,W,uncommon,DSK,Duskmourn: House of Horror,411,,,,Enchant;Flash
Shardmage's Rescue,{W},1.0,Enchantment — Aura,"Flash
Enchant creature you control
As long as this Aura entered this turn, enchanted creature has hexproof.
Enchanted creature gets +1/+1.",W,W,uncommon,DSK,Duskmourn: House of Horror,29,,,,Enchant;Flash
Sheltered by Ghosts,{1}{W},2.0,Enchantment — Aura,"Enchant creature you control
When this Aura enters, exile target nonland permanent an opponent controls until this Aura leaves the battlefield.
Enchanted creature gets +1/+0 and has lifelink and ward {2}.",W,W,rare,PJSC,Japan Standard Cup,2026-1,,,,Enchant
Sheltered by Ghosts,{1}{W},2.0,Enchantment — Aura,"Enchant creature you control
When this Aura enters, exile target nonland permanent an opponent controls until this Aura leaves the battlefield.
Enchanted creature gets +1/+0 and has lifelink and ward {2}.",W,W,uncommon,DSK,Duskmourn: House of Horror,30,,,,Enchant
Shimmerwilds Growth,{1}{G},2.0,Enchantment — Aura,"Enchant land
As this Aura enters, choose a color.
Enchanted land is the chosen color.
Whenever enchanted land is tapped for mana, its controller adds an additional one mana of the chosen color.",G,G,uncommon,ECL,Lorwyn Eclipsed,194,,,,Enchant
Sidequest: Catch a Fish // Cooking Campsite,,3.0,Enchantment // Land,,,W,uncommon,FIN,Final Fantasy,31,,,,Transform;Food
Silken Strength,{1}{G},2.0,Enchantment — Aura,"Flash
Enchant creature or Vehicle
When this Aura enters, untap enchanted permanent.
Enchanted permanent gets +1/+2 and has reach.",G,G,common,DFT,Aetherdrift,180,,,,Enchant;Flash
Sleep Magic,{U},1.0,Enchantment — Aura,"Enchant creature
When this Aura enters, tap enchanted creature.
Enchanted creature doesn't untap during its controller's untap step.
When enchanted creature is dealt damage, sacrifice this Aura.",U,U,uncommon,FIN,Final Fantasy,74,,,,Enchant
Smile at Death,{3}{W}{W},5.0,Enchantment,"At the beginning of your upkeep, return up to two target creature cards with power 2 or less from your graveyard to the battlefield. Put a +1/+1 counter on each of those creatures.",W,W,mythic,PTDM,Tarkir: Dragonstorm Promos,24s,,,,
Smile at Death,{3}{W}{W},5.0,Enchantment,"At the beginning of your upkeep, return up to two target creature cards with power 2 or less from your graveyard to the battlefield. Put a +1/+1 counter on each of those creatures.",W,W,mythic,PTDM,Tarkir: Dragonstorm Promos,24p,,,,
Smile at Death,{3}{W}{W},5.0,Enchantment,"At the beginning of your upkeep, return up to two target creature cards with power 2 or less from your graveyard to the battlefield. Put a +1/+1 counter on each of those creatures.",W,W,mythic,TDM,Tarkir: Dragonstorm,329,,,,
Smile at Death,{3}{W}{W},5.0,Enchantment,"At the beginning of your upkeep, return up to two target creature cards with power 2 or less from your graveyard to the battlefield. Put a +1/+1 counter on each of those creatures.",W,W,mythic,TDM,Tarkir: Dragonstorm,24,,,,
Smoky Lounge // Misty Salon,{2}{R} // {3}{U},7.0,Enchantment — Room // Enchantment — Room,,"R,U","R,U",uncommon,DSK,Duskmourn: House of Horror,235,,,,
Solitary Sanctuary,{2}{W},3.0,Enchantment,"When this enchantment enters, tap target creature an opponent controls and put a stun counter on it. (If a permanent with a stun counter would become untapped, remove one from it instead.)
Whenever you tap an untapped creature an opponent controls, put a +1/+1 counter on target creature you control.",W,W,uncommon,WOE,Wilds of Eldraine,30,,,,
Song of Stupefaction,{1}{U},2.0,Enchantment — Aura,"Enchant creature or Vehicle
When this Aura enters, you may mill two cards. (You may put the top two cards of your library into your graveyard.)
Fathomless descent — Enchanted permanent gets -X/-0, where X is the number of permanent cards in your graveyard.",U,U,common,LCI,The Lost Caverns of Ixalan,77,,,,Fathomless descent;Enchant;Mill
"Sothera, the Supervoid",{2}{B}{B},4.0,Legendary Enchantment,"Whenever a creature you control dies, each opponent chooses a creature they control and exiles it.
At the beginning of your end step, if a player controls no creatures, sacrifice Sothera, then put a creature card exiled with it onto the battlefield under your control with two additional +1/+1 counters on it.",B,B,mythic,EOE,Edge of Eternities,382,,,,
"Sothera, the Supervoid",{2}{B}{B},4.0,Legendary Enchantment,"Whenever a creature you control dies, each opponent chooses a creature they control and exiles it.
At the beginning of your end step, if a player controls no creatures, sacrifice Sothera, then put a creature card exiled with it onto the battlefield under your control with two additional +1/+1 counters on it.",B,B,mythic,EOE,Edge of Eternities,386,,,,
"Sothera, the Supervoid",{2}{B}{B},4.0,Legendary Enchantment,"Whenever a creature you control dies, each opponent chooses a creature they control and exiles it.
At the beginning of your end step, if a player controls no creatures, sacrifice Sothera, then put a creature card exiled with it onto the battlefield under your control with two additional +1/+1 counters on it.",B,B,mythic,PEOE,Edge of Eternities Promos,115s,,,,
