name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Valgavoth's Lair,,0.0,Enchantment Land,"Hexproof
This land enters tapped. As it enters, choose a color.
{T}: Add one mana of the chosen color.",,,rare,PDSK,Duskmourn: House of Horror Promos,271s,,,,Hexproof
Valgavoth's Lair,,0.0,Enchantment Land,"Hexproof
This land enters tapped. As it enters, choose a color.
{T}: Add one mana of the chosen color.",,,rare,DSK,Duskmourn: House of Horror,271,,,,Hexproof
Valgavoth's Lair,,0.0,Enchantment Land,"Hexproof
This land enters tapped. As it enters, choose a color.
{T}: Add one mana of the chosen color.",,,rare,DSK,Duskmourn: House of Horror,327,,,,Hexproof
Valgavoth's Lair,,0.0,Enchantment Land,"Hexproof
This land enters tapped. As it enters, choose a color.
{T}: Add one mana of the chosen color.",,,rare,PDSK,Duskmourn: House of Horror Promos,271p,,,,Hexproof
Valkyrie's Call,{3}{W}{W},5.0,Enchantment,"Whenever a nontoken, non-Angel creature you control dies, return that card to the battlefield under its owner's control with a +1/+1 counter on it. It has flying and is an Angel in addition to its other types.",W,W,mythic,FDN,Foundations,27,,,,
Valkyrie's Call,{3}{W}{W},5.0,Enchantment,"Whenever a nontoken, non-Angel creature you control dies, return that card to the battlefield under its owner's control with a +1/+1 counter on it. It has flying and is an Angel in addition to its other types.",W,W,mythic,FDN,Foundations,302,,,,
Valkyrie's Call,{3}{W}{W},5.0,Enchantment,"Whenever a nontoken, non-Angel creature you control dies, return that card to the battlefield under its owner's control with a +1/+1 counter on it. It has flying and is an Angel in addition to its other types.",W,W,mythic,FDN,Foundations,449,,,,
Valkyrie's Call,{3}{W}{W},5.0,Enchantment,"Whenever a nontoken, non-Angel creature you control dies, return that card to the battlefield under its owner's control with a +1/+1 counter on it. It has flying and is an Angel in addition to its other types.",W,W,mythic,FDN,Foundations,371,,,,
Valkyrie's Call,{3}{W}{W},5.0,Enchantment,"Whenever a nontoken, non-Angel creature you control dies, return that card to the battlefield under its owner's control with a +1/+1 counter on it. It has flying and is an Angel in addition to its other types.",W,W,mythic,PFDN,Foundations Promos,27s,,,,
Vampiric Rites,{B},1.0,Enchantment,"{1}{B}, Sacrifice a creature: You gain 1 life and draw a card.",B,B,uncommon,BFZ,Battle for Zendikar,124,,,,
Vampiric Rites,{B},1.0,Enchantment,"{1}{B}, Sacrifice a creature: You gain 1 life and draw a card.",B,B,uncommon,WOT,Wilds of Eldraine: Enchanting Tales,37,,,,
Vampiric Rites,{B},1.0,Enchantment,"{1}{B}, Sacrifice a creature: You gain 1 life and draw a card.",B,B,uncommon,FDN,Foundations,615,,,,
Vampiric Rites,{B},1.0,Enchantment,"{1}{B}, Sacrifice a creature: You gain 1 life and draw a card.",B,B,uncommon,SCD,Starter Commander Decks,116,,,,
Vampiric Rites,{B},1.0,Enchantment,"{1}{B}, Sacrifice a creature: You gain 1 life and draw a card.",B,B,uncommon,2X2,Double Masters 2022,98,,,,
Vampiric Rites,{B},1.0,Enchantment,"{1}{B}, Sacrifice a creature: You gain 1 life and draw a card.",B,B,uncommon,J22,Jumpstart 2022,484,,,,
Vraska Joins Up,{B}{G},2.0,Legendary Enchantment,"When Vraska Joins Up enters, put a deathtouch counter on each creature you control.
Whenever a legendary creature you control deals combat damage to a player, draw a card.","B,G","B,G",rare,OTJ,Outlaws of Thunder Junction,236,,,,
Vraska Joins Up,{B}{G},2.0,Legendary Enchantment,"When Vraska Joins Up enters, put a deathtouch counter on each creature you control.
Whenever a legendary creature you control deals combat damage to a player, draw a card.","B,G","B,G",rare,OTJ,Outlaws of Thunder Junction,366,,,,
Vraska Joins Up,{B}{G},2.0,Legendary Enchantment,"When Vraska Joins Up enters, put a deathtouch counter on each creature you control.
Whenever a legendary creature you control deals combat damage to a player, draw a card.","B,G","B,G",rare,POTJ,Outlaws of Thunder Junction Promos,236s,,,,
Vraska Joins Up,{B}{G},2.0,Legendary Enchantment,"When Vraska Joins Up enters, put a deathtouch counter on each creature you control.
Whenever a legendary creature you control deals combat damage to a player, draw a card.","B,G","B,G",rare,POTJ,Outlaws of Thunder Junction Promos,236p,,,,
