name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Walk-In Closet // Forgotten Cellar,{2}{G} // {3}{G}{G},8.0,Enchantment — Room // Enchantment — Room,,G,G,mythic,DSK,Duskmourn: House of Horror,205,,,,
Walk-In Closet // Forgotten Cellar,{2}{G} // {3}{G}{G},8.0,Enchantment — Room // Enchantment — Room,,G,G,mythic,PDSK,Duskmourn: House of Horror Promos,205p,,,,
Walk-In Closet // Forgotten Cellar,{2}{G} // {3}{G}{G},8.0,Enchantment — Room // Enchantment — Room,,G,G,mythic,PDSK,Duskmourn: House of Horror Promos,205s,,,,
Walk-In Closet // Forgotten Cellar,{2}{G} // {3}{G}{G},8.0,Enchantment — Room // Enchantment — Room,,G,G,mythic,DSK,Duskmourn: House of Horror,341,,,,
Wall Crawl,{3}{G},4.0,Enchantment,"When this enchantment enters, create a 2/1 green Spider creature token with reach, then you gain 1 life for each Spider you control.
Spiders you control get +1/+1 and can't be blocked by creatures with defender.",G,G,uncommon,SPM,Marvel's Spider-Man,121,,,,
Wall Crawl,{3}{G},4.0,Enchantment,"When this enchantment enters, create a 2/1 green Spider creature token with reach, then you gain 1 life for each Spider you control.
Spiders you control get +1/+1 and can't be blocked by creatures with defender.",G,G,uncommon,OM1,Through the Omenpaths,112,,,,
War Effort,{3}{R},4.0,Enchantment,"Creatures you control get +1/+0.
Whenever you attack, create a 1/1 red Warrior creature token that's tapped and attacking. Sacrifice it at the beginning of the next end step.",R,R,uncommon,TDM,Tarkir: Dragonstorm,131,,,,
War Squeak,{R},1.0,Enchantment — Aura,"Enchant creature
When this Aura enters, target creature an opponent controls can't block this turn.
Enchanted creature gets +1/+1 and has haste.",R,R,common,BLB,Bloomburrow,160,,,,Enchant
Warleader's Call,{1}{R}{W},3.0,Enchantment,"Creatures you control get +1/+1.
Whenever a creature you control enters, this enchantment deals 1 damage to each opponent.","R,W","R,W",rare,PMKM,Murders at Karlov Manor Promos,242p,,,,
Warleader's Call,{1}{R}{W},3.0,Enchantment,"Creatures you control get +1/+1.
Whenever a creature you control enters, this enchantment deals 1 damage to each opponent.","R,W","R,W",rare,PMKM,Murders at Karlov Manor Promos,242s,,,,
Warleader's Call,{1}{R}{W},3.0,Enchantment,"Creatures you control get +1/+1.
Whenever a creature you control enters, this enchantment deals 1 damage to each opponent.","R,W","R,W",rare,MKM,Murders at Karlov Manor,242,,,,
Warleader's Call,{1}{R}{W},3.0,Enchantment,"Creatures you control get +1/+1.
Whenever a creature you control enters, this enchantment deals 1 damage to each opponent.","R,W","R,W",rare,MKM,Murders at Karlov Manor,315,,,,
Waterbender Ascension,{1}{U},2.0,Enchantment,"Whenever a creature you control deals combat damage to a player, put a quest counter on this enchantment. Then if it has four or more quest counters on it, draw a card.
Waterbend {4}: Target creature can't be blocked this turn. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)",U,U,rare,TLA,Avatar: The Last Airbender,79,,,,Waterbend
Waterbender Ascension,{1}{U},2.0,Enchantment,"Whenever a creature you control deals combat damage to a player, put a quest counter on this enchantment. Then if it has four or more quest counters on it, draw a card.
Waterbend {4}: Target creature can't be blocked this turn. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)",U,U,rare,PTLA,Avatar: The Last Airbender Promos,79s,,,,Waterbend
Waterbender Ascension,{1}{U},2.0,Enchantment,"Whenever a creature you control deals combat damage to a player, put a quest counter on this enchantment. Then if it has four or more quest counters on it, draw a card.
Waterbend {4}: Target creature can't be blocked this turn. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)",U,U,rare,TLA,Avatar: The Last Airbender,310,,,,Waterbend
Watery Grasp,{U},1.0,Enchantment — Aura,"Enchant creature
Enchanted creature doesn't untap during its controller's untap step.
Waterbend {5}: Enchanted creature's owner shuffles it into their library. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)",U,U,common,TLA,Avatar: The Last Airbender,82,,,,Enchant;Waterbend
Weapons Manufacturing,{1}{R},2.0,Enchantment,"Whenever a nontoken artifact you control enters, create a colorless artifact token named Munitions with ""When this token leaves the battlefield, it deals 2 damage to any target.""",R,R,rare,PEOE,Edge of Eternities Promos,168s,,,,
Weapons Manufacturing,{1}{R},2.0,Enchantment,"Whenever a nontoken artifact you control enters, create a colorless artifact token named Munitions with ""When this token leaves the battlefield, it deals 2 damage to any target.""",R,R,rare,PEOE,Edge of Eternities Promos,168p,,,,
Weapons Manufacturing,{1}{R},2.0,Enchantment,"Whenever a nontoken artifact you control enters, create a colorless artifact token named Munitions with ""When this token leaves the battlefield, it deals 2 damage to any target.""",R,R,rare,EOE,Edge of Eternities,168,,,,
Weapons Manufacturing,{1}{R},2.0,Enchantment,"Whenever a nontoken artifact you control enters, create a colorless artifact token named Munitions with ""When this token leaves the battlefield, it deals 2 damage to any target.""",R,R,rare,EOE,Edge of Eternities,311,,,,
