name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Early Winter,{4}{B},5.0,Instant,"Choose one —
• Exile target creature.
• Target opponent exiles an enchantment they control.",B,B,common,BLB,Bloomburrow,93,,,,
Eerie Interference,{2}{W},3.0,Instant,Prevent all damage that would be dealt to you and creatures you control this turn by creatures.,W,W,uncommon,WOE,Wilds of Eldraine,12,,,,
Eject,{3}{U},4.0,Instant,"This spell can't be countered.
Return target nonland permanent to its owner's hand.
Draw a card.",U,U,uncommon,FIN,Final Fantasy,52,,,,
Elemental Teachings,{4}{G},5.0,Instant — Lesson,"Search your library for up to four land cards with different names and reveal them. An opponent chooses two of those cards. Put the chosen cards into your graveyard and the rest onto the battlefield tapped, then shuffle.",G,G,rare,PTLA,Avatar: The Last Airbender Promos,178s,,,,
Elemental Teachings,{4}{G},5.0,Instant — Lesson,"Search your library for up to four land cards with different names and reveal them. An opponent chooses two of those cards. Put the chosen cards into your graveyard and the rest onto the battlefield tapped, then shuffle.",G,G,rare,TLA,Avatar: The Last Airbender,378,,,,
Elemental Teachings,{4}{G},5.0,Instant — Lesson,"Search your library for up to four land cards with different names and reveal them. An opponent chooses two of those cards. Put the chosen cards into your graveyard and the rest onto the battlefield tapped, then shuffle.",G,G,rare,TLA,Avatar: The Last Airbender,178,,,,
Eliminate the Impossible,{1}{U},2.0,Instant,"Investigate. Creatures your opponents control get -2/-0 until end of turn. If any of them are suspected, they're no longer suspected. (To investigate, create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",U,U,uncommon,MKM,Murders at Karlov Manor,54,,,,Investigate
Elspeth's Smite,{W},1.0,Instant,"Elspeth's Smite deals 3 damage to target attacking or blocking creature. If that creature would die this turn, exile it instead.",W,W,uncommon,PLST,The List,MOM-13,,,,
Elspeth's Smite,{W},1.0,Instant,"Elspeth's Smite deals 3 damage to target attacking or blocking creature. If that creature would die this turn, exile it instead.",W,W,uncommon,FDN,Foundations,493,,,,
Elspeth's Smite,{W},1.0,Instant,"Elspeth's Smite deals 3 damage to target attacking or blocking creature. If that creature would die this turn, exile it instead.",W,W,uncommon,MOM,March of the Machine,13,,,,
Emergency Eject,{2}{W},3.0,Instant,"Destroy target nonland permanent. Its controller creates a Lander token. (It's an artifact with ""{2}, {T}, Sacrifice this token: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle."")",W,W,uncommon,EOE,Edge of Eternities,14,,,,
End-Blaze Epiphany,{X}{R},1.0,Instant,"End-Blaze Epiphany deals X damage to target creature. When that creature dies this turn, exile a number of cards from the top of your library equal to its power, then choose a card exiled this way. Until the end of your next turn, you may play that card.",R,R,rare,ECL,Lorwyn Eclipsed,134,,,,
