name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Gallant Strike,{1}{W},2.0,Instant,"Destroy target creature with toughness 4 or greater.
Cycling {2} ({2}, Discard this card: Draw a card.)",W,W,uncommon,DFT,Aetherdrift,13,,,,Cycling
Galuf's Final Act,{1}{G},2.0,Instant,"Until end of turn, target creature gets +1/+0 and gains ""When this creature dies, put a number of +1/+1 counters equal to its power on up to one target creature.""",G,G,uncommon,FIN,Final Fantasy,186,,,,
Galvanize,{1}{R},2.0,Instant,"Galvanize deals 3 damage to target creature. If you've drawn two or more cards this turn, Galvanize deals 5 damage to that creature instead.",R,R,common,MKM,Murders at Karlov Manor,128,,,,
Get a Leg Up,{G},1.0,Instant,"Until end of turn, target creature gets +1/+1 for each creature you control and gains reach.",G,G,uncommon,MKM,Murders at Karlov Manor,161,,,,
Get Lost,{1}{W},2.0,Instant,"Destroy target creature, enchantment, or planeswalker. Its controller creates two Map tokens. (They're artifacts with ""{1}, {T}, Sacrifice this token: Target creature you control explores. Activate only as a sorcery."")",W,W,rare,PLCI,The Lost Caverns of Ixalan Promos,14p,,,,Explore
Get Lost,{1}{W},2.0,Instant,"Destroy target creature, enchantment, or planeswalker. Its controller creates two Map tokens. (They're artifacts with ""{1}, {T}, Sacrifice this token: Target creature you control explores. Activate only as a sorcery."")",W,W,rare,PSPL,Spotlight Series,5,,,,Explore
Get Lost,{1}{W},2.0,Instant,"Destroy target creature, enchantment, or planeswalker. Its controller creates two Map tokens. (They're artifacts with ""{1}, {T}, Sacrifice this token: Target creature you control explores. Activate only as a sorcery."")",W,W,rare,LCI,The Lost Caverns of Ixalan,14,,,,Explore
Get Lost,{1}{W},2.0,Instant,"Destroy target creature, enchantment, or planeswalker. Its controller creates two Map tokens. (They're artifacts with ""{1}, {T}, Sacrifice this token: Target creature you control explores. Activate only as a sorcery."")",W,W,rare,LCI,The Lost Caverns of Ixalan,333,,,,Explore
Get Lost,{1}{W},2.0,Instant,"Destroy target creature, enchantment, or planeswalker. Its controller creates two Map tokens. (They're artifacts with ""{1}, {T}, Sacrifice this token: Target creature you control explores. Activate only as a sorcery."")",W,W,rare,PWCS,Planeswalker Championship Promos,2025-1,,,,Explore
Get Lost,{1}{W},2.0,Instant,"Destroy target creature, enchantment, or planeswalker. Its controller creates two Map tokens. (They're artifacts with ""{1}, {T}, Sacrifice this token: Target creature you control explores. Activate only as a sorcery."")",W,W,rare,PLCI,The Lost Caverns of Ixalan Promos,14s,,,,Explore
Get Out,{U}{U},2.0,Instant,"Choose one —
• Counter target creature or enchantment spell.
• Return one or two target creatures and/or enchantments you own to your hand.",U,U,uncommon,DSK,Duskmourn: House of Horror,60,,,,
Getaway Glamer,{W},1.0,Instant,"Spree (Choose one or more additional costs.)
+ {1} — Exile target nontoken creature. Return it to the battlefield under its owner's control at the beginning of the next end step.
+ {2} — Destroy target creature if no other creature has greater power.",W,W,uncommon,OTJ,Outlaws of Thunder Junction,14,,,,Spree
Giant Growth,{G},1.0,Instant,Target creature gets +3/+3 until end of turn.,G,G,common,WAR,War of the Spark,162,,,,
Giant Growth,{G},1.0,Instant,Target creature gets +3/+3 until end of turn.,G,G,common,5ED,Fifth Edition,299,,,,
Giant Growth,{G},1.0,Instant,Target creature gets +3/+3 until end of turn.,G,G,common,PRM,Magic Online Promos,32557,,,,
Giant Growth,{G},1.0,Instant,Target creature gets +3/+3 until end of turn.,G,G,common,CEI,Intl. Collectors' Edition,198,,,,
Giant Growth,{G},1.0,Instant,Target creature gets +3/+3 until end of turn.,G,G,common,8ED,Eighth Edition,254,,,,
Giant Growth,{G},1.0,Instant,Target creature gets +3/+3 until end of turn.,G,G,rare,PJJT,Japan Junior Tournament,1N04,,,,
Giant Growth,{G},1.0,Instant,Target creature gets +3/+3 until end of turn.,G,G,common,WC97,World Championship Decks 1997,sg299,,,,
Giant Growth,{G},1.0,Instant,Target creature gets +3/+3 until end of turn.,G,G,common,PRM,Magic Online Promos,35824,,,,
Giant Growth,{G},1.0,Instant,Target creature gets +3/+3 until end of turn.,G,G,common,2ED,Unlimited Edition,198,,,,
Giant Growth,{G},1.0,Instant,Target creature gets +3/+3 until end of turn.,G,G,common,PLST,The List,WAR-162,,,,
Giant Growth,{G},1.0,Instant,Target creature gets +3/+3 until end of turn.,G,G,common,ATH,Anthologies,55,,,,
Giant Growth,{G},1.0,Instant,Target creature gets +3/+3 until end of turn.,G,G,common,M11,Magic 2011,178,,,,
Giant Growth,{G},1.0,Instant,Target creature gets +3/+3 until end of turn.,G,G,common,LEA,Limited Edition Alpha,197,,,,
Giant Growth,{G},1.0,Instant,Target creature gets +3/+3 until end of turn.,G,G,common,4BB,Fourth Edition Foreign Black Border,248,,,,
Giant Growth,{G},1.0,Instant,Target creature gets +3/+3 until end of turn.,G,G,common,M10,Magic 2010,184,,,,
Giant Growth,{G},1.0,Instant,Target creature gets +3/+3 until end of turn.,G,G,common,ICE,Ice Age,246,,,,
Giant Growth,{G},1.0,Instant,Target creature gets +3/+3 until end of turn.,G,G,common,GVL,Duel Decks Anthology: Garruk vs. Liliana,14,,,,
Giant Growth,{G},1.0,Instant,Target creature gets +3/+3 until end of turn.,G,G,common,DDD,Duel Decks: Garruk vs. Liliana,14,,,,
Giant Growth,{G},1.0,Instant,Target creature gets +3/+3 until end of turn.,G,G,rare,FNM,Friday Night Magic 2000,8,,,,
Giant Growth,{G},1.0,Instant,Target creature gets +3/+3 until end of turn.,G,G,common,7ED,Seventh Edition,248★,,,,
Giant Growth,{G},1.0,Instant,Target creature gets +3/+3 until end of turn.,G,G,rare,SLD,Secret Lair Drop,717,,,,
Giant Growth,{G},1.0,Instant,Target creature gets +3/+3 until end of turn.,G,G,common,A25,Masters 25,172,,,,
Giant Growth,{G},1.0,Instant,Target creature gets +3/+3 until end of turn.,G,G,common,BRB,Battle Royale Box Set,29,,,,
Giant Growth,{G},1.0,Instant,Target creature gets +3/+3 until end of turn.,G,G,common,LEB,Limited Edition Beta,198,,,,
Giant Growth,{G},1.0,Instant,Target creature gets +3/+3 until end of turn.,G,G,common,DPA,Duels of the Planeswalkers,66,,,,
Giant Growth,{G},1.0,Instant,Target creature gets +3/+3 until end of turn.,G,G,common,RTR,Return to Ravnica,125,,,,
Giant Growth,{G},1.0,Instant,Target creature gets +3/+3 until end of turn.,G,G,common,8ED,Eighth Edition,254★,,,,
Giant Growth,{G},1.0,Instant,Target creature gets +3/+3 until end of turn.,G,G,rare,PSUS,Junior Super Series,8,,,,
Giant Growth,{G},1.0,Instant,Target creature gets +3/+3 until end of turn.,G,G,common,J21,Jumpstart: Historic Horizons,790,,,,
Giant Growth,{G},1.0,Instant,Target creature gets +3/+3 until end of turn.,G,G,common,DD1,Duel Decks: Elves vs. Goblins,21,,,,
