name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Hamato Guardian Stance,{W},1.0,Instant,Target creature gets +1/+3 and gains flying until end of turn. Scry 1. (Look at the top card of your library. You may put that card on the bottom.),W,W,common,TMT,Teenage Mutant Ninja Turtles,8,,,,Scry
Harmonized Crescendo,{4}{U}{U},6.0,Instant,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Choose a creature type. Draw a card for each permanent you control of that type.",U,U,rare,ECL,Lorwyn Eclipsed,54,,,,Convoke
Harmonized Crescendo,{4}{U}{U},6.0,Instant,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Choose a creature type. Draw a card for each permanent you control of that type.",U,U,rare,ECL,Lorwyn Eclipsed,408,,,,Convoke
Harmonized Crescendo,{4}{U}{U},6.0,Instant,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Choose a creature type. Draw a card for each permanent you control of that type.",U,U,mythic,ECL,Lorwyn Eclipsed,384,,,,Convoke
Harmonized Crescendo,{4}{U}{U},6.0,Instant,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Choose a creature type. Draw a card for each permanent you control of that type.",U,U,rare,ECL,Lorwyn Eclipsed,357,,,,Convoke
Harmonized Crescendo,{4}{U}{U},6.0,Instant,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Choose a creature type. Draw a card for each permanent you control of that type.",U,U,mythic,ECL,Lorwyn Eclipsed,394,,,,Convoke
Harmonized Crescendo,{4}{U}{U},6.0,Instant,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Choose a creature type. Draw a card for each permanent you control of that type.",U,U,rare,PECL,Lorwyn Eclipsed Promos,54p,,,,Convoke
Haste Magic,{1}{R},2.0,Instant,Target creature gets +3/+1 and gains haste until end of turn. Exile the top card of your library. You may play it until your next end step.,R,R,common,FIN,Final Fantasy,140,,,,
Hazel's Nocturne,{3}{B},4.0,Instant,Return up to two target creature cards from your graveyard to your hand. Each opponent loses 2 life and you gain 2 life.,B,B,uncommon,BLB,Bloomburrow,97,,,,
Heartless Act,{1}{B},2.0,Instant,"Choose one —
• Destroy target creature with no counters on it.
• Remove up to three counters from target creature.",B,B,uncommon,IKO,Ikoria: Lair of Behemoths,366,,,,
