name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Laughing Mad,{2}{R},3.0,Instant,"As an additional cost to cast this spell, discard a card.
Draw two cards.
Flashback {3}{R} (You may cast this card from your graveyard for its flashback cost and any additional costs. Then exile it.)",R,R,common,FIN,Final Fantasy,585,,,,Flashback
Laughing Mad,{2}{R},3.0,Instant,"As an additional cost to cast this spell, discard a card.
Draw two cards.
Flashback {3}{R} (You may cast this card from your graveyard for its flashback cost and any additional costs. Then exile it.)",R,R,common,FIN,Final Fantasy,143,,,,Flashback
Leaping Ambush,{G},1.0,Instant,Target creature gets +1/+3 and gains reach until end of turn. Untap it.,G,G,common,WOE,Wilds of Eldraine,177,,,,
Light of Judgment,{4}{R},5.0,Instant,Light of Judgment deals 6 damage to target creature. Destroy up to one Equipment attached to that creature.,R,R,common,FIN,Final Fantasy,144,,,,
Lightfoot Technique,{1}{W},2.0,Instant,"Put a +1/+1 counter on target creature. It gains flying and indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",W,W,common,TDM,Tarkir: Dragonstorm,14,,,,
Lightning Helix,{R}{W},2.0,Instant,Lightning Helix deals 3 damage to any target and you gain 3 life.,"R,W","R,W",uncommon,RAV,Ravnica: City of Guilds,213,,,,
Lightning Helix,{R}{W},2.0,Instant,Lightning Helix deals 3 damage to any target and you gain 3 life.,"R,W","R,W",uncommon,RVR,Ravnica Remastered,372,,,,
Lightning Helix,{R}{W},2.0,Instant,Lightning Helix deals 3 damage to any target and you gain 3 life.,"R,W","R,W",rare,STA,Strixhaven Mystical Archive,62,,,,
Lightning Helix,{R}{W},2.0,Instant,Lightning Helix deals 3 damage to any target and you gain 3 life.,"R,W","R,W",uncommon,PLST,The List,GK1-90,,,,
Lightning Helix,{R}{W},2.0,Instant,Lightning Helix deals 3 damage to any target and you gain 3 life.,"R,W","R,W",uncommon,MKM,Murders at Karlov Manor,218,,,,
Lightning Helix,{R}{W},2.0,Instant,Lightning Helix deals 3 damage to any target and you gain 3 life.,"R,W","R,W",rare,STA,Strixhaven Mystical Archive,125,,,,
Lightning Helix,{R}{W},2.0,Instant,Lightning Helix deals 3 damage to any target and you gain 3 life.,"R,W","R,W",rare,P06,Magic Player Rewards 2006,7,,,,
Lightning Helix,{R}{W},2.0,Instant,Lightning Helix deals 3 damage to any target and you gain 3 life.,"R,W","R,W",uncommon,2X2,Double Masters 2022,243,,,,
Lightning Helix,{R}{W},2.0,Instant,Lightning Helix deals 3 damage to any target and you gain 3 life.,"R,W","R,W",uncommon,MMA,Modern Masters,179,,,,
Lightning Helix,{R}{W},2.0,Instant,Lightning Helix deals 3 damage to any target and you gain 3 life.,"R,W","R,W",uncommon,GK1,GRN Guild Kit,90,,,,
Lightning Helix,{R}{W},2.0,Instant,Lightning Helix deals 3 damage to any target and you gain 3 life.,"R,W","R,W",uncommon,DDH,Duel Decks: Ajani vs. Nicol Bolas,23,,,,
Lightning Helix,{R}{W},2.0,Instant,Lightning Helix deals 3 damage to any target and you gain 3 life.,"R,W","R,W",rare,SLC,Secret Lair Countdown,2005,,,,
Lightning Helix,{R}{W},2.0,Instant,Lightning Helix deals 3 damage to any target and you gain 3 life.,"R,W","R,W",uncommon,IMA,Iconic Masters,204,,,,
Lightning Helix,{R}{W},2.0,Instant,Lightning Helix deals 3 damage to any target and you gain 3 life.,"R,W","R,W",uncommon,PRM,Magic Online Promos,31487,,,,
Lightning Helix,{R}{W},2.0,Instant,Lightning Helix deals 3 damage to any target and you gain 3 life.,"R,W","R,W",uncommon,E02,Explorers of Ixalan,39,,,,
Lightning Helix,{R}{W},2.0,Instant,Lightning Helix deals 3 damage to any target and you gain 3 life.,"R,W","R,W",uncommon,MKM,Murders at Karlov Manor,426,,,,
Lightning Helix,{R}{W},2.0,Instant,Lightning Helix deals 3 damage to any target and you gain 3 life.,"R,W","R,W",uncommon,DDN,Duel Decks: Speed vs. Cunning,65,,,,
Lightning Helix,{R}{W},2.0,Instant,Lightning Helix deals 3 damage to any target and you gain 3 life.,"R,W","R,W",rare,PWCS,Planeswalker Championship Promos,2024-07,,,,
Lightning Helix,{R}{W},2.0,Instant,Lightning Helix deals 3 damage to any target and you gain 3 life.,"R,W","R,W",uncommon,RVR,Ravnica Remastered,197,,,,
Lightning Helix,{R}{W},2.0,Instant,Lightning Helix deals 3 damage to any target and you gain 3 life.,"R,W","R,W",uncommon,HOP,Planechase,90,,,,
Lightning Strike,{1}{R},2.0,Instant,Lightning Strike deals 3 damage to any target.,R,R,uncommon,M19,Core Set 2019,152,,,,
Lightning Strike,{1}{R},2.0,Instant,Lightning Strike deals 3 damage to any target.,R,R,common,GN2,Game Night 2019,42,,,,
Lightning Strike,{1}{R},2.0,Instant,Lightning Strike deals 3 damage to any target.,R,R,common,DFT,Aetherdrift,136,,,,
Lightning Strike,{1}{R},2.0,Instant,Lightning Strike deals 3 damage to any target.,R,R,common,TLA,Avatar: The Last Airbender,146,,,,
Lightning Strike,{1}{R},2.0,Instant,Lightning Strike deals 3 damage to any target.,R,R,common,DMU,Dominaria United,137,,,,
