name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Unauthorized Exit,{1}{U},2.0,Instant,Return target nonland permanent to its owner's hand. Surveil 1. (Look at the top card of your library. You may put it into your graveyard.),U,U,common,MKM,Murders at Karlov Manor,298,,,,Surveil
Unauthorized Exit,{1}{U},2.0,Instant,Return target nonland permanent to its owner's hand. Surveil 1. (Look at the top card of your library. You may put it into your graveyard.),U,U,common,MKM,Murders at Karlov Manor,74,,,,Surveil
Unbury,{1}{B},2.0,Instant,"Choose one —
• Return target creature card from your graveyard to your hand.
• Return two target creature cards that share a creature type from your graveyard to your hand.",B,B,uncommon,ECL,Lorwyn Eclipsed,123,,,,
Uncharted Voyage,{3}{U},4.0,Instant,"Target creature's owner puts it on their choice of the top or bottom of their library.
Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",U,U,common,FDN,Foundations,53,,,,Surveil
Undying Malice,{B},1.0,Instant,"Until end of turn, target creature gains ""When this creature dies, return it to the battlefield tapped under its owner's control with a +1/+1 counter on it.""",B,B,common,VOW,Innistrad: Crimson Vow,134,,,,
Undying Malice,{B},1.0,Instant,"Until end of turn, target creature gains ""When this creature dies, return it to the battlefield tapped under its owner's control with a +1/+1 counter on it.""",B,B,common,FDN,Foundations,528,,,,
Undying Malice,{B},1.0,Instant,"Until end of turn, target creature gains ""When this creature dies, return it to the battlefield tapped under its owner's control with a +1/+1 counter on it.""",B,B,common,DBL,Innistrad: Double Feature,401,,,,
Unexpected Assistance,{3}{U}{U},5.0,Instant,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Draw three cards, then discard a card.",U,U,common,ECL,Lorwyn Eclipsed,80,,,,Convoke
Unforgiving Aim,{2}{G},3.0,Instant,"Choose one —
• Destroy target creature with flying.
• Destroy target enchantment.
• Create a 2/2 black and green Elf creature token.",G,G,common,ECL,Lorwyn Eclipsed,200,,,,
Unfortunate Accident,{B},1.0,Instant,"Spree (Choose one or more additional costs.)
+ {2}{B} — Destroy target creature.
+ {1} — Create a 1/1 red Mercenary creature token with ""{T}: Target creature you control gets +1/+0 until end of turn. Activate only as a sorcery.""",B,B,uncommon,OTJ,Outlaws of Thunder Junction,111,,,,Spree
Unlucky Drop,{3}{U},4.0,Instant,Target artifact or creature's owner puts it on their choice of the top or bottom of their library.,U,U,common,LCI,The Lost Caverns of Ixalan,82,,,,
Unravel,{1}{U}{U},3.0,Instant,"Counter target spell. If the amount of mana spent to cast that spell was less than its mana value, you draw a card.",U,U,uncommon,EOE,Edge of Eternities,83,,,,
Unstable Experiment,{1}{U},2.0,Instant,"Target player draws a card, then up to one target creature you control connives. (Draw a card, then discard a card. If you discarded a nonland card, put a +1/+1 counter on that creature.)",U,U,common,OM1,Through the Omenpaths,45,,,,Connive
Unstable Experiment,{1}{U},2.0,Instant,"Target player draws a card, then up to one target creature you control connives. (Draw a card, then discard a card. If you discarded a nonland card, put a +1/+1 counter on that creature.)",U,U,common,SPM,Marvel's Spider-Man,47,,,,Connive
