name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Valley Rally,{2}{R},3.0,Instant,"Gift a Food (You may promise an opponent a gift as you cast this spell. If you do, they create a Food token before its other effects. It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
Creatures you control get +2/+0 until end of turn. If the gift was promised, target creature you control gains first strike until end of turn.",R,R,uncommon,BLB,Bloomburrow,159,,,,Gift;Food
Valorous Stance,{1}{W},2.0,Instant,"Choose one —
• Target creature gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)
• Destroy target creature with toughness 4 or greater.",W,W,uncommon,INR,Innistrad Remastered,48,,,,
Valorous Stance,{1}{W},2.0,Instant,"Choose one —
• Target creature gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)
• Destroy target creature with toughness 4 or greater.",W,W,uncommon,J22,Jumpstart 2022,263,,,,
Valorous Stance,{1}{W},2.0,Instant,"Choose one —
• Target creature gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)
• Destroy target creature with toughness 4 or greater.",W,W,uncommon,VOW,Innistrad: Crimson Vow,42,,,,
Valorous Stance,{1}{W},2.0,Instant,"Choose one —
• Target creature gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)
• Destroy target creature with toughness 4 or greater.",W,W,uncommon,PIP,Fallout,174,,,,
Valorous Stance,{1}{W},2.0,Instant,"Choose one —
• Target creature gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)
• Destroy target creature with toughness 4 or greater.",W,W,uncommon,INR,Innistrad Remastered,352,,,,
Valorous Stance,{1}{W},2.0,Instant,"Choose one —
• Target creature gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)
• Destroy target creature with toughness 4 or greater.",W,W,uncommon,JMP,Jumpstart,136,,,,
Valorous Stance,{1}{W},2.0,Instant,"Choose one —
• Target creature gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)
• Destroy target creature with toughness 4 or greater.",W,W,uncommon,J25,Foundations Jumpstart,277,,,,
Valorous Stance,{1}{W},2.0,Instant,"Choose one —
• Target creature gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)
• Destroy target creature with toughness 4 or greater.",W,W,uncommon,PRM,Magic Online Promos,57582,,,,
Valorous Stance,{1}{W},2.0,Instant,"Choose one —
• Target creature gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)
• Destroy target creature with toughness 4 or greater.",W,W,uncommon,DBL,Innistrad: Double Feature,309,,,,
Valorous Stance,{1}{W},2.0,Instant,"Choose one —
• Target creature gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)
• Destroy target creature with toughness 4 or greater.",W,W,uncommon,FRF,Fate Reforged,28,,,,
Valorous Stance,{1}{W},2.0,Instant,"Choose one —
• Target creature gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)
• Destroy target creature with toughness 4 or greater.",W,W,uncommon,PLST,The List,VOW-42,,,,
