name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),,G,common,PSAL,Salvat 2005,L24,,,,
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),,G,common,PCA,Planechase Anthology,152,,,,
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),,G,common,DD1,Duel Decks: Elves vs. Goblins,29,,,,
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),,G,common,J25,Foundations Jumpstart,95,,,,
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),,G,common,PSAL,Salvat 2005,I60,,,,
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),,G,common,TDM,Tarkir: Dragonstorm,291,,,,
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),,G,common,MOM,March of the Machine,290,,,,
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),,G,common,CEI,Intl. Collectors' Edition,302,,,,
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),,G,common,8ED,Eighth Edition,349,,,,
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),,G,common,XLN,Ixalan,276,,,,
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),,G,common,ANB,Arena Beginner Set,112,,,,
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),,G,common,DDG,Duel Decks: Knights vs. Dragons,46,,,,
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),,G,common,PSAL,Salvat 2005,K46,,,,
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),,G,common,PMPS10,Magic Premiere Shop 2010,5,,,,
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),,G,common,KLR,Kaladesh Remastered,299,,,,
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),,G,common,PSAL,Salvat 2005,J33,,,,
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),,G,common,MOM,March of the Machine,281,,,,
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),,G,common,AVR,Avacyn Restored,242,,,,
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),,G,common,TDM,Tarkir: Dragonstorm,285,,,,
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),,G,common,MKM,Murders at Karlov Manor,276,,,,
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),,G,common,TMT,Teenage Mutant Ninja Turtles,309,,,,
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),,G,common,SNC,Streets of New Capenna,271,,,,
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),,G,common,EOE,Edge of Eternities,266,,,,
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),,G,common,ONS,Onslaught,350,,,,
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),,G,common,8ED,Eighth Edition,350★,,,,
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),,G,common,RAV,Ravnica: City of Guilds,304,,,,
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),,G,common,M11,Magic 2011,249,,,,
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),,G,common,CMR,Commander Legends,510,,,,
Forest,,0.0,Basic Land — Forest,({T}: Add {G}.),,G,common,PTK,Portal Three Kingdoms,180,,,,
