name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Gloomlake Verge,,0.0,Land,"{T}: Add {U}.
{T}: Add {B}. Activate only if you control an Island or a Swamp.",,"B,U",rare,PDSK,Duskmourn: House of Horror Promos,260s,,,,
Gloomlake Verge,,0.0,Land,"{T}: Add {U}.
{T}: Add {B}. Activate only if you control an Island or a Swamp.",,"B,U",rare,DSK,Duskmourn: House of Horror,260,,,,
Gloomlake Verge,,0.0,Land,"{T}: Add {U}.
{T}: Add {B}. Activate only if you control an Island or a Swamp.",,"B,U",rare,DSK,Duskmourn: House of Horror,331,,,,
Gloomlake Verge,,0.0,Land,"{T}: Add {U}.
{T}: Add {B}. Activate only if you control an Island or a Swamp.",,"B,U",rare,PDSK,Duskmourn: House of Horror Promos,260p,,,,
Godless Shrine,,0.0,Land — Plains Swamp,"({T}: Add {W} or {B}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"B,W",rare,UNF,Unfinity,533,,,,
Godless Shrine,,0.0,Land — Plains Swamp,"({T}: Add {W} or {B}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"B,W",rare,PRNA,Ravnica Allegiance Promos,248p,,,,
Godless Shrine,,0.0,Land — Plains Swamp,"({T}: Add {W} or {B}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"B,W",rare,RVR,Ravnica Remastered,294,,,,
Godless Shrine,,0.0,Land — Plains Swamp,"({T}: Add {W} or {B}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"B,W",rare,GTC,Gatecrash,242,,,,
Godless Shrine,,0.0,Land — Plains Swamp,"({T}: Add {W} or {B}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"B,W",rare,EOE,Edge of Eternities,280,,,,
Godless Shrine,,0.0,Land — Plains Swamp,"({T}: Add {W} or {B}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"B,W",rare,PEOE,Edge of Eternities Promos,254p,,,,
Godless Shrine,,0.0,Land — Plains Swamp,"({T}: Add {W} or {B}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"B,W",rare,EOE,Edge of Eternities,254,,,,
Godless Shrine,,0.0,Land — Plains Swamp,"({T}: Add {W} or {B}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"B,W",rare,RVR,Ravnica Remastered,277,,,,
Godless Shrine,,0.0,Land — Plains Swamp,"({T}: Add {W} or {B}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"B,W",rare,UNF,Unfinity,282,,,,
Godless Shrine,,0.0,Land — Plains Swamp,"({T}: Add {W} or {B}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"B,W",rare,GPT,Guildpact,157,,,,
Godless Shrine,,0.0,Land — Plains Swamp,"({T}: Add {W} or {B}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"B,W",rare,PEOE,Edge of Eternities Promos,254s,,,,
Godless Shrine,,0.0,Land — Plains Swamp,"({T}: Add {W} or {B}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"B,W",rare,RNA,Ravnica Allegiance,248,,,,
Godless Shrine,,0.0,Land — Plains Swamp,"({T}: Add {W} or {B}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"B,W",rare,PRM,Magic Online Promos,72305,,,,
Godless Shrine,,0.0,Land — Plains Swamp,"({T}: Add {W} or {B}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"B,W",rare,EOE,Edge of Eternities,375,,,,
Godless Shrine,,0.0,Land — Plains Swamp,"({T}: Add {W} or {B}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"B,W",mythic,EXP,Zendikar Expeditions,11,,,,
Godless Shrine,,0.0,Land — Plains Swamp,"({T}: Add {W} or {B}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"B,W",rare,CLU,Ravnica: Clue Edition,276,,,,
