name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,STX,Strixhaven: School of Mages,369,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,M10,Magic 2010,237,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,WC97,World Championship Decks 1997,pm434,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,PMPS08,Magic Premiere Shop 2008,2,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,rare,PAL99,Arena League 1999,3†,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,WC04,World Championship Decks 2004,gn335,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,rare,PF19,MagicFest 2019,3,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,FDN,Foundations,284,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,PRM,Magic Online Promos,40052,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,HOP,Planechase,148,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,40K,"Warhammer 40,000 Commander",309,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,PTK,Portal Three Kingdoms,170,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,FRF,Fate Reforged,179,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,TSP,Time Spiral,288,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,WC01,World Championship Decks 2001,ar336a,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,INV,Invasion,335,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,10E,Tenth Edition,369,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,PRM,Magic Online Promos,239,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,BFZ,Battle for Zendikar,258a,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,DD2,Duel Decks: Jace vs. Chandra,33,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,SUM,Summer Magic / Edgar,295,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,PRM,Magic Online Promos,81880,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,DMU,Dominaria United,265,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,DDO,Duel Decks: Elspeth vs. Kiora,61,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,CM2,Commander Anthology Volume II,291,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,C15,Commander 2015,327,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,KLD,Kaladesh,253,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,BFZ,Battle for Zendikar,257a,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,C19,Commander 2019,292,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,AFR,Adventures in the Forgotten Realms,268,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,BTD,Beatdown Box Set,80,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,MID,Innistrad: Midnight Hunt,270,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,RTR,Return to Ravnica,256,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,SNC,Streets of New Capenna,265,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,WC98,World Championship Decks 1998,rb338,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,USG,Urza's Saga,335,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,BFZ,Battle for Zendikar,259a,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,NEO,Kamigawa: Neon Dynasty,286,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,HBG,Alchemy Horizons: Baldur's Gate,294,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,CMM,Commander Masters,788,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,LTR,The Lord of the Rings: Tales of Middle-earth,275,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,DOM,Dominaria,257,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,PELP,European Land Program,7,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,LEA,Limited Edition Alpha,288,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,PRM,Magic Online Promos,40042,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,PANA,MTG Arena Promos,207,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,2XM,Double Masters,375,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,M19,Core Set 2019,265,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,OTJ,Outlaws of Thunder Junction,280,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,ME1,Masters Edition,185,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,BTD,Beatdown Box Set,79,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,DDT,Duel Decks: Merfolk vs. Goblins,30,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,PCA,Planechase Anthology,138,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,USG,Urza's Saga,337,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,PRM,Magic Online Promos,32009,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,THB,Theros Beyond Death,280,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,M13,Magic 2013,236,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,rare,SLD,Secret Lair Drop,2145,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,PANA,MTG Arena Promos,202,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,PSAL,Salvat 2005,H22,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,PLST,The List,JMP-46,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,DSK,Duskmourn: House of Horror,279,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,M14,Magic 2014,234,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,C13,Commander 2013,342,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,DDN,Duel Decks: Speed vs. Cunning,75,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,M13,Magic 2013,237,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,PMPS09,Magic Premiere Shop 2009,2,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,PC2,Planechase 2012,137,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,MH2,Modern Horizons 2,484,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,FIC,Final Fantasy Commander,479,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,rare,PGPX,Grand Prix Promos,2018b,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,CLU,Ravnica: Clue Edition,259,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,PC2,Planechase 2012,140,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,DTK,Dragons of Tarkir,255,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,PRM,Magic Online Promos,283,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,UND,Unsanctioned,90,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,rare,SLD,Secret Lair Drop,1131,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,MOM,March of the Machine,278,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,SHM,Shadowmoor,286,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,CST,Coldsnap Theme Decks,372,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,PMPS,Magic Premiere Shop 2005,294,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,FRF,Fate Reforged,178,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,WC03,World Championship Decks 2003,dz335,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,rare,SLD,Secret Lair Drop,2146,,,,
Island,,0.0,Basic Land — Island,({T}: Add {U}.),,U,common,MMQ,Mercadian Masques,336,,,,
