name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
"Rabanastre, Royal City",,0.0,Land — Town,"This land enters tapped.
{T}: Add {R} or {W}.",,"R,W",common,FIN,Final Fantasy,287,,,,
Rakdos Guildgate,,0.0,Land — Gate,"This land enters tapped.
{T}: Add {B} or {R}.",,"B,R",common,DGM,Dragon's Maze,154,,,,
Rakdos Guildgate,,0.0,Land — Gate,"This land enters tapped.
{T}: Add {B} or {R}.",,"B,R",common,PIO,Pioneer Masters,272,,,,
Rakdos Guildgate,,0.0,Land — Gate,"This land enters tapped.
{T}: Add {B} or {R}.",,"B,R",common,RTR,Return to Ravnica,244,,,,
Rakdos Guildgate,,0.0,Land — Gate,"This land enters tapped.
{T}: Add {B} or {R}.",,"B,R",common,RNA,Ravnica Allegiance,255,,,,
Rakdos Guildgate,,0.0,Land — Gate,"This land enters tapped.
{T}: Add {B} or {R}.",,"B,R",common,PLST,The List,RNA-256,,,,
Rakdos Guildgate,,0.0,Land — Gate,"This land enters tapped.
{T}: Add {B} or {R}.",,"B,R",common,C19,Commander 2019,267,,,,
Rakdos Guildgate,,0.0,Land — Gate,"This land enters tapped.
{T}: Add {B} or {R}.",,"B,R",common,CLU,Ravnica: Clue Edition,244,,,,
Rakdos Guildgate,,0.0,Land — Gate,"This land enters tapped.
{T}: Add {B} or {R}.",,"B,R",common,MM3,Modern Masters 2017,242,,,,
Rakdos Guildgate,,0.0,Land — Gate,"This land enters tapped.
{T}: Add {B} or {R}.",,"B,R",common,C17,Commander 2017,271,,,,
Rakdos Guildgate,,0.0,Land — Gate,"This land enters tapped.
{T}: Add {B} or {R}.",,"B,R",common,RVR,Ravnica Remastered,408,,,,
Rakdos Guildgate,,0.0,Land — Gate,"This land enters tapped.
{T}: Add {B} or {R}.",,"B,R",common,RVR,Ravnica Remastered,284,,,,
Rakdos Guildgate,,0.0,Land — Gate,"This land enters tapped.
{T}: Add {B} or {R}.",,"B,R",common,RNA,Ravnica Allegiance,256,,,,
Rakdos Guildgate,,0.0,Land — Gate,"This land enters tapped.
{T}: Add {B} or {R}.",,"B,R",common,FDN,Foundations,693,,,,
Rakdos Guildgate,,0.0,Land — Gate,"This land enters tapped.
{T}: Add {B} or {R}.",,"B,R",common,C13,Commander 2013,314,,,,
Raucous Carnival,,0.0,Land,"This land enters tapped unless a player has 13 or less life.
{T}: Add {R} or {W}.",,"R,W",common,DSK,Duskmourn: House of Horror,266,,,,
Raucous Theater,,0.0,Land — Swamp Mountain,"({T}: Add {B} or {R}.)
This land enters tapped.
When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",,"B,R",rare,MKM,Murders at Karlov Manor,329,,,,Surveil
Raucous Theater,,0.0,Land — Swamp Mountain,"({T}: Add {B} or {R}.)
This land enters tapped.
When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",,"B,R",rare,PMKM,Murders at Karlov Manor Promos,266p,,,,Surveil
Raucous Theater,,0.0,Land — Swamp Mountain,"({T}: Add {B} or {R}.)
This land enters tapped.
When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",,"B,R",rare,MKM,Murders at Karlov Manor,266,,,,Surveil
Raucous Theater,,0.0,Land — Swamp Mountain,"({T}: Add {B} or {R}.)
This land enters tapped.
When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",,"B,R",rare,PMKM,Murders at Karlov Manor Promos,266s,,,,Surveil
Razortrap Gorge,,0.0,Land,"This land enters tapped unless a player has 13 or less life.
{T}: Add {B} or {R}.",,"B,R",common,DSK,Duskmourn: House of Horror,267,,,,
Realm of Koh,,0.0,Land,"This land enters tapped unless you control a basic land.
{T}: Add {B}.
{3}{B}, {T}: Create a 1/1 colorless Spirit creature token with ""This token can't block or be blocked by non-Spirit creatures.""",,B,rare,TLA,Avatar: The Last Airbender,276,,,,
Realm of Koh,,0.0,Land,"This land enters tapped unless you control a basic land.
{T}: Add {B}.
{3}{B}, {T}: Create a 1/1 colorless Spirit creature token with ""This token can't block or be blocked by non-Spirit creatures.""",,B,rare,TLA,Avatar: The Last Airbender,391,,,,
