name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Sacred Foundry,,0.0,Land — Mountain Plains,"({T}: Add {R} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"R,W",rare,RVR,Ravnica Remastered,409z,,,,
Sacred Foundry,,0.0,Land — Mountain Plains,"({T}: Add {R} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"R,W",rare,GTC,Gatecrash,245,,,,
Sacred Foundry,,0.0,Land — Mountain Plains,"({T}: Add {R} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"R,W",rare,RVR,Ravnica Remastered,297,,,,
Sacred Foundry,,0.0,Land — Mountain Plains,"({T}: Add {R} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"R,W",rare,EOE,Edge of Eternities,377,,,,
Sacred Foundry,,0.0,Land — Mountain Plains,"({T}: Add {R} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"R,W",rare,RAV,Ravnica: City of Guilds,280,,,,
Sacred Foundry,,0.0,Land — Mountain Plains,"({T}: Add {R} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"R,W",mythic,EXP,Zendikar Expeditions,14,,,,
Sacred Foundry,,0.0,Land — Mountain Plains,"({T}: Add {R} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"R,W",rare,SLD,Secret Lair Drop,131,,,,
Sacred Foundry,,0.0,Land — Mountain Plains,"({T}: Add {R} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"R,W",rare,PGRN,Guilds of Ravnica Promos,254p,,,,
Sacred Foundry,,0.0,Land — Mountain Plains,"({T}: Add {R} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"R,W",rare,UNF,Unfinity,536,,,,
Sacred Foundry,,0.0,Land — Mountain Plains,"({T}: Add {R} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"R,W",rare,RVR,Ravnica Remastered,285,,,,
Sacred Foundry,,0.0,Land — Mountain Plains,"({T}: Add {R} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"R,W",rare,CLU,Ravnica: Clue Edition,279,,,,
Sacred Foundry,,0.0,Land — Mountain Plains,"({T}: Add {R} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"R,W",rare,EOE,Edge of Eternities,256,,,,
Sacred Foundry,,0.0,Land — Mountain Plains,"({T}: Add {R} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"R,W",rare,EOE,Edge of Eternities,282,,,,
Sacred Foundry,,0.0,Land — Mountain Plains,"({T}: Add {R} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"R,W",rare,RVR,Ravnica Remastered,409,,,,
Sacred Foundry,,0.0,Land — Mountain Plains,"({T}: Add {R} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"R,W",rare,PEOE,Edge of Eternities Promos,256p,,,,
Sacred Foundry,,0.0,Land — Mountain Plains,"({T}: Add {R} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"R,W",rare,PEOE,Edge of Eternities Promos,256s,,,,
Sacred Foundry,,0.0,Land — Mountain Plains,"({T}: Add {R} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"R,W",rare,GRN,Guilds of Ravnica,254,,,,
Sacred Foundry,,0.0,Land — Mountain Plains,"({T}: Add {R} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"R,W",rare,UNF,Unfinity,285,,,,
Sacred Foundry,,0.0,Land — Mountain Plains,"({T}: Add {R} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"R,W",rare,PRM,Magic Online Promos,72309,,,,
Sandsteppe Citadel,,0.0,Land,"This land enters tapped.
{T}: Add {W}, {B}, or {G}.",,"B,G,W",uncommon,PLST,The List,KTK-241,,,,
Sandsteppe Citadel,,0.0,Land,"This land enters tapped.
{T}: Add {W}, {B}, or {G}.",,"B,G,W",uncommon,PRM,Magic Online Promos,57606,,,,
Sandsteppe Citadel,,0.0,Land,"This land enters tapped.
{T}: Add {W}, {B}, or {G}.",,"B,G,W",uncommon,LTC,Tales of Middle-earth Commander,327,,,,
Sandsteppe Citadel,,0.0,Land,"This land enters tapped.
{T}: Add {W}, {B}, or {G}.",,"B,G,W",uncommon,KTK,Khans of Tarkir,241,,,,
Sandsteppe Citadel,,0.0,Land,"This land enters tapped.
{T}: Add {W}, {B}, or {G}.",,"B,G,W",uncommon,CMM,Commander Masters,1024,,,,
Sandsteppe Citadel,,0.0,Land,"This land enters tapped.
{T}: Add {W}, {B}, or {G}.",,"B,G,W",uncommon,TDM,Tarkir: Dragonstorm,266,,,,
Sandsteppe Citadel,,0.0,Land,"This land enters tapped.
{T}: Add {W}, {B}, or {G}.",,"B,G,W",uncommon,C20,Commander 2020,305,,,,
Sandsteppe Citadel,,0.0,Land,"This land enters tapped.
{T}: Add {W}, {B}, or {G}.",,"B,G,W",uncommon,CM2,Commander Anthology Volume II,264,,,,
Sandsteppe Citadel,,0.0,Land,"This land enters tapped.
{T}: Add {W}, {B}, or {G}.",,"B,G,W",uncommon,CP3,Magic Origins Clash Pack,6,,,,
Sandsteppe Citadel,,0.0,Land,"This land enters tapped.
{T}: Add {W}, {B}, or {G}.",,"B,G,W",uncommon,C16,Commander 2016,320,,,,
Sandsteppe Citadel,,0.0,Land,"This land enters tapped.
{T}: Add {W}, {B}, or {G}.",,"B,G,W",uncommon,C17,Commander 2017,274,,,,
Sandsteppe Citadel,,0.0,Land,"This land enters tapped.
{T}: Add {W}, {B}, or {G}.",,"B,G,W",uncommon,DMC,Dominaria United Commander,229,,,,
Sandsteppe Citadel,,0.0,Land,"This land enters tapped.
{T}: Add {W}, {B}, or {G}.",,"B,G,W",uncommon,PLST,The List,CM2-264,,,,
Sandsteppe Citadel,,0.0,Land,"This land enters tapped.
{T}: Add {W}, {B}, or {G}.",,"B,G,W",uncommon,ECC,Lorwyn Eclipsed Commander,164,,,,
Sandsteppe Citadel,,0.0,Land,"This land enters tapped.
{T}: Add {W}, {B}, or {G}.",,"B,G,W",uncommon,ONC,Phyrexia: All Will Be One Commander,162,,,,
Sandstorm Verge,,0.0,Land — Desert,"{T}: Add {C}.
{3}, {T}: Target creature can't block this turn. Activate only as a sorcery.",,,uncommon,OTJ,Outlaws of Thunder Junction,263,,,,
