name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Wastes,,0.0,Basic Land,{T}: Add {C}.,,,common,PLST,The List,OGW-183,,,,
Wastes,,0.0,Basic Land,{T}: Add {C}.,,,rare,SLD,Secret Lair Drop,704,,,,
Wastes,,0.0,Basic Land,{T}: Add {C}.,,,common,CMM,Commander Masters,1056,,,,
Wastes,,0.0,Basic Land,{T}: Add {C}.,,,common,M3C,Modern Horizons 3 Commander,408,,,,
Wastes,,0.0,Basic Land,{T}: Add {C}.,,,common,J22,Jumpstart 2022,834,,,,
Wastes,,0.0,Basic Land,{T}: Add {C}.,,,common,OGW,Oath of the Gatewatch,184a,,,,
Wastes,,0.0,Basic Land,{T}: Add {C}.,,,rare,PLG25,Love Your LGS 2025,2,,,,
Wastes,,0.0,Basic Land,{T}: Add {C}.,,,common,OGW,Oath of the Gatewatch,184,,,,
Wastes,,0.0,Basic Land,{T}: Add {C}.,,,common,OGW,Oath of the Gatewatch,183,,,,
Wastes,,0.0,Basic Land,{T}: Add {C}.,,,common,EA2,Explorer Anthology 2,25,,,,
Wastes,,0.0,Basic Land,{T}: Add {C}.,,,rare,SLD,Secret Lair Drop,795★,,,,
Wastes,,0.0,Basic Land,{T}: Add {C}.,,,common,CMM,Commander Masters,1055,,,,
Wastes,,0.0,Basic Land,{T}: Add {C}.,,,common,OGW,Oath of the Gatewatch,183a,,,,
Wastes,,0.0,Basic Land,{T}: Add {C}.,,,common,EOC,Edge of Eternities Commander,191,,,,
Wastes,,0.0,Basic Land,{T}: Add {C}.,,,special,TSR,Time Spiral Remastered,410,,,,
Wastes,,0.0,Basic Land,{T}: Add {C}.,,,rare,SLD,Secret Lair Drop,706,,,,
Wastes,,0.0,Basic Land,{T}: Add {C}.,,,common,FIN,Final Fantasy,309,,,,
Wastes,,0.0,Basic Land,{T}: Add {C}.,,,rare,SLD,Secret Lair Drop,705,,,,
Wastewood Verge,,0.0,Land,"{T}: Add {G}.
{T}: Add {B}. Activate only if you control a Swamp or a Forest.",,"B,G",rare,PDFT,Aetherdrift Promos,268p,,,,
Wastewood Verge,,0.0,Land,"{T}: Add {G}.
{T}: Add {B}. Activate only if you control a Swamp or a Forest.",,"B,G",rare,DFT,Aetherdrift,268,,,,
Wastewood Verge,,0.0,Land,"{T}: Add {G}.
{T}: Add {B}. Activate only if you control a Swamp or a Forest.",,"B,G",rare,DFT,Aetherdrift,374,,,,
Wastewood Verge,,0.0,Land,"{T}: Add {G}.
{T}: Add {B}. Activate only if you control a Swamp or a Forest.",,"B,G",rare,DFT,Aetherdrift,505,,,,
Wastewood Verge,,0.0,Land,"{T}: Add {G}.
{T}: Add {B}. Activate only if you control a Swamp or a Forest.",,"B,G",rare,PDFT,Aetherdrift Promos,268s,,,,
Watery Grave,,0.0,Land — Island Swamp,"({T}: Add {U} or {B}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"B,U",rare,CLU,Ravnica: Clue Edition,283,,,,
Watery Grave,,0.0,Land — Island Swamp,"({T}: Add {U} or {B}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"B,U",rare,RAV,Ravnica: City of Guilds,286,,,,
Watery Grave,,0.0,Land — Island Swamp,"({T}: Add {U} or {B}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"B,U",rare,PGRN,Guilds of Ravnica Promos,259p,,,,
Watery Grave,,0.0,Land — Island Swamp,"({T}: Add {U} or {B}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"B,U",rare,GTC,Gatecrash,249,,,,
Watery Grave,,0.0,Land — Island Swamp,"({T}: Add {U} or {B}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"B,U",rare,EOE,Edge of Eternities,261,,,,
