name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
"Chandra, Flameshaper",{5}{R}{R},7.0,Legendary Planeswalker — Chandra,"+2: Add {R}{R}{R}. Exile the top three cards of your library. Choose one. You may play that card this turn.
+1: Create a token that's a copy of target creature you control, except it has haste and ""At the beginning of the end step, sacrifice this token.""
−4: Chandra deals 8 damage divided as you choose among any number of target creatures and/or planeswalkers.",R,R,mythic,FDN,Foundations,360,,,6,
"Chandra, Flameshaper",{5}{R}{R},7.0,Legendary Planeswalker — Chandra,"+2: Add {R}{R}{R}. Exile the top three cards of your library. Choose one. You may play that card this turn.
+1: Create a token that's a copy of target creature you control, except it has haste and ""At the beginning of the end step, sacrifice this token.""
−4: Chandra deals 8 damage divided as you choose among any number of target creatures and/or planeswalkers.",R,R,mythic,PFDN,Foundations Promos,81s,,,6,
"Chandra, Flameshaper",{5}{R}{R},7.0,Legendary Planeswalker — Chandra,"+2: Add {R}{R}{R}. Exile the top three cards of your library. Choose one. You may play that card this turn.
+1: Create a token that's a copy of target creature you control, except it has haste and ""At the beginning of the end step, sacrifice this token.""
−4: Chandra deals 8 damage divided as you choose among any number of target creatures and/or planeswalkers.",R,R,mythic,FDN,Foundations,81,,,6,
"Chandra, Flameshaper",{5}{R}{R},7.0,Legendary Planeswalker — Chandra,"+2: Add {R}{R}{R}. Exile the top three cards of your library. Choose one. You may play that card this turn.
+1: Create a token that's a copy of target creature you control, except it has haste and ""At the beginning of the end step, sacrifice this token.""
−4: Chandra deals 8 damage divided as you choose among any number of target creatures and/or planeswalkers.",R,R,mythic,FDN,Foundations,420,,,6,
"Chandra, Spark Hunter",{3}{R},4.0,Legendary Planeswalker — Chandra,"At the beginning of combat on your turn, choose up to one target Vehicle you control. Until end of turn, it becomes an artifact creature and gains haste.
+2: You may sacrifice an artifact or discard a card. If you do, draw a card.
0: Create a 3/2 colorless Vehicle artifact token with crew 1.
−7: You get an emblem with ""Whenever an artifact you control enters, this emblem deals 3 damage to any target.""",R,R,mythic,DFT,Aetherdrift,116,,,4,
"Chandra, Spark Hunter",{3}{R},4.0,Legendary Planeswalker — Chandra,"At the beginning of combat on your turn, choose up to one target Vehicle you control. Until end of turn, it becomes an artifact creature and gains haste.
+2: You may sacrifice an artifact or discard a card. If you do, draw a card.
0: Create a 3/2 colorless Vehicle artifact token with crew 1.
−7: You get an emblem with ""Whenever an artifact you control enters, this emblem deals 3 damage to any target.""",R,R,mythic,DFT,Aetherdrift,456,,,4,
"Chandra, Spark Hunter",{3}{R},4.0,Legendary Planeswalker — Chandra,"At the beginning of combat on your turn, choose up to one target Vehicle you control. Until end of turn, it becomes an artifact creature and gains haste.
+2: You may sacrifice an artifact or discard a card. If you do, draw a card.
0: Create a 3/2 colorless Vehicle artifact token with crew 1.
−7: You get an emblem with ""Whenever an artifact you control enters, this emblem deals 3 damage to any target.""",R,R,mythic,PDFT,Aetherdrift Promos,116p,,,4,
"Chandra, Spark Hunter",{3}{R},4.0,Legendary Planeswalker — Chandra,"At the beginning of combat on your turn, choose up to one target Vehicle you control. Until end of turn, it becomes an artifact creature and gains haste.
+2: You may sacrifice an artifact or discard a card. If you do, draw a card.
0: Create a 3/2 colorless Vehicle artifact token with crew 1.
−7: You get an emblem with ""Whenever an artifact you control enters, this emblem deals 3 damage to any target.""",R,R,mythic,DFT,Aetherdrift,401,,,4,
"Chandra, Spark Hunter",{3}{R},4.0,Legendary Planeswalker — Chandra,"At the beginning of combat on your turn, choose up to one target Vehicle you control. Until end of turn, it becomes an artifact creature and gains haste.
+2: You may sacrifice an artifact or discard a card. If you do, draw a card.
0: Create a 3/2 colorless Vehicle artifact token with crew 1.
−7: You get an emblem with ""Whenever an artifact you control enters, this emblem deals 3 damage to any target.""",R,R,mythic,PDFT,Aetherdrift Promos,116s,,,4,
"Chandra, Spark Hunter",{3}{R},4.0,Legendary Planeswalker — Chandra,"At the beginning of combat on your turn, choose up to one target Vehicle you control. Until end of turn, it becomes an artifact creature and gains haste.
+2: You may sacrifice an artifact or discard a card. If you do, draw a card.
0: Create a 3/2 colorless Vehicle artifact token with crew 1.
−7: You get an emblem with ""Whenever an artifact you control enters, this emblem deals 3 damage to any target.""",R,R,mythic,DFT,Aetherdrift,411,,,4,
