name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Faerie Slumber Party,{4}{U}{U},6.0,Sorcery,"Return all creatures to their owners' hands. For each opponent who controlled a creature returned this way, you create two 1/1 blue Faerie creature tokens with flying and ""This token can block only creatures with flying.""",U,U,rare,WOE,Wilds of Eldraine,371,,,,
Faerie Slumber Party,{4}{U}{U},6.0,Sorcery,"Return all creatures to their owners' hands. For each opponent who controlled a creature returned this way, you create two 1/1 blue Faerie creature tokens with flying and ""This token can block only creatures with flying.""",U,U,rare,WOE,Wilds of Eldraine,311,,,,
Feed the Swarm,{1}{B},2.0,Sorcery,Destroy target creature or enchantment an opponent controls. You lose life equal to that permanent's mana value.,B,B,common,LTC,Tales of Middle-earth Commander,200,,,,
Feed the Swarm,{1}{B},2.0,Sorcery,Destroy target creature or enchantment an opponent controls. You lose life equal to that permanent's mana value.,B,B,common,OTC,Outlaws of Thunder Junction Commander,134,,,,
Feed the Swarm,{1}{B},2.0,Sorcery,Destroy target creature or enchantment an opponent controls. You lose life equal to that permanent's mana value.,B,B,common,NCC,New Capenna Commander,250,,,,
Feed the Swarm,{1}{B},2.0,Sorcery,Destroy target creature or enchantment an opponent controls. You lose life equal to that permanent's mana value.,B,B,common,OMB,Through the Omenpaths Bonus Sheet,16,,,,
Feed the Swarm,{1}{B},2.0,Sorcery,Destroy target creature or enchantment an opponent controls. You lose life equal to that permanent's mana value.,B,B,common,WHO,Doctor Who,812,,,,
Feed the Swarm,{1}{B},2.0,Sorcery,Destroy target creature or enchantment an opponent controls. You lose life equal to that permanent's mana value.,B,B,rare,SLD,Secret Lair Drop,7001,,,,
Feed the Swarm,{1}{B},2.0,Sorcery,Destroy target creature or enchantment an opponent controls. You lose life equal to that permanent's mana value.,B,B,common,TLE,Avatar: The Last Airbender Eternal,257,,,,
Feed the Swarm,{1}{B},2.0,Sorcery,Destroy target creature or enchantment an opponent controls. You lose life equal to that permanent's mana value.,B,B,common,PLST,The List,SCD-77,,,,
Feed the Swarm,{1}{B},2.0,Sorcery,Destroy target creature or enchantment an opponent controls. You lose life equal to that permanent's mana value.,B,B,common,SCD,Starter Commander Decks,77,,,,
Feed the Swarm,{1}{B},2.0,Sorcery,Destroy target creature or enchantment an opponent controls. You lose life equal to that permanent's mana value.,B,B,common,VOC,Crimson Vow Commander,129,,,,
Feed the Swarm,{1}{B},2.0,Sorcery,Destroy target creature or enchantment an opponent controls. You lose life equal to that permanent's mana value.,B,B,common,BRC,The Brothers' War Commander,106,,,,
Feed the Swarm,{1}{B},2.0,Sorcery,Destroy target creature or enchantment an opponent controls. You lose life equal to that permanent's mana value.,B,B,common,CMM,Commander Masters,159,,,,
Feed the Swarm,{1}{B},2.0,Sorcery,Destroy target creature or enchantment an opponent controls. You lose life equal to that permanent's mana value.,B,B,common,C21,Commander 2021,144,,,,
Feed the Swarm,{1}{B},2.0,Sorcery,Destroy target creature or enchantment an opponent controls. You lose life equal to that permanent's mana value.,B,B,common,LCC,The Lost Caverns of Ixalan Commander,198,,,,
Feed the Swarm,{1}{B},2.0,Sorcery,Destroy target creature or enchantment an opponent controls. You lose life equal to that permanent's mana value.,B,B,common,DSC,Duskmourn: House of Horror Commander,78,,,,
Feed the Swarm,{1}{B},2.0,Sorcery,Destroy target creature or enchantment an opponent controls. You lose life equal to that permanent's mana value.,B,B,common,TDC,Tarkir: Dragonstorm Commander,180,,,,
Feed the Swarm,{1}{B},2.0,Sorcery,Destroy target creature or enchantment an opponent controls. You lose life equal to that permanent's mana value.,B,B,common,WHO,Doctor Who,221,,,,
