name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Hard-Hitting Question,{G},1.0,Sorcery,Target creature you control deals damage equal to its power to target creature or planeswalker you don't control.,G,G,uncommon,MKM,Murders at Karlov Manor,164,,,,
Harmless Offering,{2}{R},3.0,Sorcery,Target opponent gains control of target permanent you control.,R,R,rare,PEMN,Eldritch Moon Promos,131s,,,,
Harmless Offering,{2}{R},3.0,Sorcery,Target opponent gains control of target permanent you control.,R,R,rare,SLD,Secret Lair Drop,868,,,,
Harmless Offering,{2}{R},3.0,Sorcery,Target opponent gains control of target permanent you control.,R,R,rare,FDN,Foundations,625,,,,
Harmless Offering,{2}{R},3.0,Sorcery,Target opponent gains control of target permanent you control.,R,R,rare,HA4,Historic Anthology 4,14,,,,
Harmless Offering,{2}{R},3.0,Sorcery,Target opponent gains control of target permanent you control.,R,R,rare,EMN,Eldritch Moon,131,,,,
Haunt the Network,{3}{U}{B},5.0,Sorcery,"Choose target opponent. Create two 1/1 colorless Thopter artifact creature tokens with flying. Then the chosen player loses X life and you gain X life, where X is the number of artifacts you control.","B,U","B,U",uncommon,DFT,Aetherdrift,207,,,,
Hell to Pay,{X}{R},1.0,Sorcery,Hell to Pay deals X damage to target creature. Create a number of tapped Treasure tokens equal to the amount of excess damage dealt to that creature this way.,R,R,rare,POTJ,Outlaws of Thunder Junction Promos,126s,,,,Treasure
Hell to Pay,{X}{R},1.0,Sorcery,Hell to Pay deals X damage to target creature. Create a number of tapped Treasure tokens equal to the amount of excess damage dealt to that creature this way.,R,R,rare,OTJ,Outlaws of Thunder Junction,126,,,,Treasure
Hell to Pay,{X}{R},1.0,Sorcery,Hell to Pay deals X damage to target creature. Create a number of tapped Treasure tokens equal to the amount of excess damage dealt to that creature this way.,R,R,rare,POTJ,Outlaws of Thunder Junction Promos,126p,,,,Treasure
