name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Nature's Rhythm,{X}{G}{G},2.0,Sorcery,"Search your library for a creature card with mana value X or less, put it onto the battlefield, then shuffle.
Harmonize {X}{G}{G}{G}{G} (You may cast this card from your graveyard for its harmonize cost. You may tap a creature you control to reduce that cost by an amount of generic mana equal to its power. Then exile this spell.)",G,G,rare,PTDM,Tarkir: Dragonstorm Promos,150s,,,,Harmonize
Nature's Rhythm,{X}{G}{G},2.0,Sorcery,"Search your library for a creature card with mana value X or less, put it onto the battlefield, then shuffle.
Harmonize {X}{G}{G}{G}{G} (You may cast this card from your graveyard for its harmonize cost. You may tap a creature you control to reduce that cost by an amount of generic mana equal to its power. Then exile this spell.)",G,G,rare,TDM,Tarkir: Dragonstorm,150,,,,Harmonize
Nature's Rhythm,{X}{G}{G},2.0,Sorcery,"Search your library for a creature card with mana value X or less, put it onto the battlefield, then shuffle.
Harmonize {X}{G}{G}{G}{G} (You may cast this card from your graveyard for its harmonize cost. You may tap a creature you control to reduce that cost by an amount of generic mana equal to its power. Then exile this spell.)",G,G,rare,PTDM,Tarkir: Dragonstorm Promos,150p,,,,Harmonize
Nature's Rhythm,{X}{G}{G},2.0,Sorcery,"Search your library for a creature card with mana value X or less, put it onto the battlefield, then shuffle.
Harmonize {X}{G}{G}{G}{G} (You may cast this card from your graveyard for its harmonize cost. You may tap a creature you control to reduce that cost by an amount of generic mana equal to its power. Then exile this spell.)",G,G,rare,TDM,Tarkir: Dragonstorm,349,,,,Harmonize
New Generation's Technique,{3}{G},4.0,Sorcery,"Sneak {2}{G} (You may cast this spell for {2}{G} if you also return an unblocked attacker you control to hand during the declare blockers step.)
Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.",G,G,uncommon,TMT,Teenage Mutant Ninja Turtles,240,,,,Sneak
New Generation's Technique,{3}{G},4.0,Sorcery,"Sneak {2}{G} (You may cast this spell for {2}{G} if you also return an unblocked attacker you control to hand during the declare blockers step.)
Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.",G,G,uncommon,TMT,Teenage Mutant Ninja Turtles,126,,,,Sneak
Nibelheim Aflame,{2}{R}{R},4.0,Sorcery,"Choose target creature you control. It deals damage equal to its power to each other creature. If this spell was cast from a graveyard, discard your hand and draw four cards.
Flashback {5}{R}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",R,R,mythic,FIN,Final Fantasy,146,,,,Flashback
Nibelheim Aflame,{2}{R}{R},4.0,Sorcery,"Choose target creature you control. It deals damage equal to its power to each other creature. If this spell was cast from a graveyard, discard your hand and draw four cards.
Flashback {5}{R}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",R,R,mythic,PFIN,Final Fantasy Promos,146s,,,,Flashback
Nibelheim Aflame,{2}{R}{R},4.0,Sorcery,"Choose target creature you control. It deals damage equal to its power to each other creature. If this spell was cast from a graveyard, discard your hand and draw four cards.
Flashback {5}{R}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",R,R,mythic,FIN,Final Fantasy,339,,,,Flashback
No Witnesses,{2}{W}{W},4.0,Sorcery,"Each player who controls the most creatures investigates. Then destroy all creatures. (To investigate, create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",W,W,rare,PMKM,Murders at Karlov Manor Promos,27s,,,,Investigate
No Witnesses,{2}{W}{W},4.0,Sorcery,"Each player who controls the most creatures investigates. Then destroy all creatures. (To investigate, create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",W,W,rare,MKM,Murders at Karlov Manor,390,,,,Investigate
No Witnesses,{2}{W}{W},4.0,Sorcery,"Each player who controls the most creatures investigates. Then destroy all creatures. (To investigate, create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",W,W,rare,PMKM,Murders at Karlov Manor Promos,27p,,,,Investigate
No Witnesses,{2}{W}{W},4.0,Sorcery,"Each player who controls the most creatures investigates. Then destroy all creatures. (To investigate, create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",W,W,rare,MKM,Murders at Karlov Manor,27,,,,Investigate
