name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Ultima,{3}{W}{W},5.0,Sorcery,"Destroy all artifacts and creatures. End the turn. (Exile all spells and abilities from the stack, including this card. The player whose turn it is discards down to their maximum hand size. Damage wears off, and ""this turn"" and ""until end of turn"" effects end.)",W,W,rare,PFIN,Final Fantasy Promos,38s,,,,
Ultima,{3}{W}{W},5.0,Sorcery,"Destroy all artifacts and creatures. End the turn. (Exile all spells and abilities from the stack, including this card. The player whose turn it is discards down to their maximum hand size. Damage wears off, and ""this turn"" and ""until end of turn"" effects end.)",W,W,rare,FIN,Final Fantasy,38,,,,
Ultima,{3}{W}{W},5.0,Sorcery,"Destroy all artifacts and creatures. End the turn. (Exile all spells and abilities from the stack, including this card. The player whose turn it is discards down to their maximum hand size. Damage wears off, and ""this turn"" and ""until end of turn"" effects end.)",W,W,rare,FIN,Final Fantasy,328,,,,
Ultima,{3}{W}{W},5.0,Sorcery,"Destroy all artifacts and creatures. End the turn. (Exile all spells and abilities from the stack, including this card. The player whose turn it is discards down to their maximum hand size. Damage wears off, and ""this turn"" and ""until end of turn"" effects end.)",W,W,rare,PSS5,FIN Standard Showdown,1,,,,
Under the Skin,{2}{G},3.0,Sorcery,"Manifest dread. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.)
You may return a permanent card from your graveyard to your hand.",G,G,uncommon,DSK,Duskmourn: House of Horror,203,,,,Manifest;Manifest dread
Under the Skin,{2}{G},3.0,Sorcery,"Manifest dread. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.)
You may return a permanent card from your graveyard to your hand.",G,G,uncommon,DSK,Duskmourn: House of Horror,323,,,,Manifest;Manifest dread
Unending Whisper,{U},1.0,Sorcery,"Draw a card.
Harmonize {5}{U} (You may cast this card from your graveyard for its harmonize cost. You may tap a creature you control to reduce that cost by {X}, where X is its power. Then exile this spell.)",U,U,common,TDM,Tarkir: Dragonstorm,62,,,,Harmonize
Unexpected Request,{2}{R},3.0,Sorcery,"Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. You may attach an Equipment you control to that creature. If you do, unattach it at the beginning of the next end step.",R,R,uncommon,FIN,Final Fantasy,167,,,,
United Battlefront,{3}{W},4.0,Sorcery,"Look at the top seven cards of your library. Put up to two noncreature, nonland permanent cards with mana value 3 or less from among them onto the battlefield. Put the rest on the bottom of your library in a random order.",W,W,rare,TDM,Tarkir: Dragonstorm,330,,,,
United Battlefront,{3}{W},4.0,Sorcery,"Look at the top seven cards of your library. Put up to two noncreature, nonland permanent cards with mana value 3 or less from among them onto the battlefield. Put the rest on the bottom of your library in a random order.",W,W,rare,TDM,Tarkir: Dragonstorm,32,,,,
United Battlefront,{3}{W},4.0,Sorcery,"Look at the top seven cards of your library. Put up to two noncreature, nonland permanent cards with mana value 3 or less from among them onto the battlefield. Put the rest on the bottom of your library in a random order.",W,W,rare,PTDM,Tarkir: Dragonstorm Promos,32s,,,,
United Battlefront,{3}{W},4.0,Sorcery,"Look at the top seven cards of your library. Put up to two noncreature, nonland permanent cards with mana value 3 or less from among them onto the battlefield. Put the rest on the bottom of your library in a random order.",W,W,rare,PTDM,Tarkir: Dragonstorm Promos,32p,,,,
United Front,{X}{W}{W},2.0,Sorcery,"Create X 1/1 white Ally creature tokens, then put a +1/+1 counter on each creature you control.",W,W,mythic,PTLA,Avatar: The Last Airbender Promos,39s,,,,
United Front,{X}{W}{W},2.0,Sorcery,"Create X 1/1 white Ally creature tokens, then put a +1/+1 counter on each creature you control.",W,W,mythic,TLA,Avatar: The Last Airbender,39,,,,
United Front,{X}{W}{W},2.0,Sorcery,"Create X 1/1 white Ally creature tokens, then put a +1/+1 counter on each creature you control.",W,W,mythic,TLA,Avatar: The Last Airbender,331,,,,
Unnerving Grasp,{2}{U},3.0,Sorcery,Return up to one target nonland permanent to its owner's hand. Manifest dread. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.),U,U,uncommon,DSK,Duskmourn: House of Horror,80,,,,Manifest;Manifest dread
Ureni's Rebuff,{1}{U},2.0,Sorcery,"Return target creature to its owner's hand.
Harmonize {5}{U} (You may cast this card from your graveyard for its harmonize cost. You may tap a creature you control to reduce that cost by {X}, where X is its power. Then exile this spell.)",U,U,uncommon,TDM,Tarkir: Dragonstorm,63,,,,Harmonize
