name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Abzan Monument,{2},2.0,Artifact,"When this artifact enters, search your library for a basic Plains, Swamp, or Forest card, reveal it, put it into your hand, then shuffle.
{1}{W}{B}{G}, {T}, Sacrifice this artifact: Create an X/X white Spirit creature token, where X is the greatest toughness among creatures you control. Activate only as a sorcery.",,"B,G,W",uncommon,TDM,Tarkir: Dragonstorm,238,,,,
Adventurer's Airship,{3},3.0,Artifact — Vehicle,"Flying
Whenever this Vehicle attacks, draw a card, then discard a card.
Crew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)",,,common,FIN,Final Fantasy,252,3,2,,Flying;Crew
Adventuring Gear,{1},1.0,Artifact — Equipment,"Landfall — Whenever a land you control enters, equipped creature gets +2/+2 until end of turn.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",,,uncommon,FDN,Foundations,249,,,,Equip;Landfall
Adventuring Gear,{1},1.0,Artifact — Equipment,"Landfall — Whenever a land you control enters, equipped creature gets +2/+2 until end of turn.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",,,common,ZEN,Zendikar,195,,,,Equip;Landfall
Adventuring Gear,{1},1.0,Artifact — Equipment,"Landfall — Whenever a land you control enters, equipped creature gets +2/+2 until end of turn.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",,,common,J22,Jumpstart 2022,751,,,,Equip;Landfall
Aether Syphon,{1}{U}{U},3.0,Artifact,"Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)
{2}, {T}: Draw a card.
Max speed — Whenever you draw a card, each opponent mills two cards. (Each opponent puts the top two cards of their library into their graveyard.)",U,U,uncommon,DFT,Aetherdrift,38,,,,Max speed;Mill;Start your engines!
Aettir and Priwen,{6},6.0,Legendary Artifact — Equipment,"Equipped creature has base power and toughness X/X, where X is your life total.
Equip {5}",,,mythic,FIN,Final Fantasy,253,,,,Equip
Aettir and Priwen,{6},6.0,Legendary Artifact — Equipment,"Equipped creature has base power and toughness X/X, where X is your life total.
Equip {5}",,,mythic,FIN,Final Fantasy,350,,,,Equip
Aettir and Priwen,{6},6.0,Legendary Artifact — Equipment,"Equipped creature has base power and toughness X/X, where X is your life total.
Equip {5}",,,mythic,PFIN,Final Fantasy Promos,253s,,,,Equip
Agatha's Soul Cauldron,{2},2.0,Legendary Artifact,"You may spend mana as though it were mana of any color to activate abilities of creatures you control.
Creatures you control with +1/+1 counters on them have all activated abilities of all creature cards exiled with Agatha's Soul Cauldron.
{T}: Exile target card from a graveyard. When a creature card is exiled this way, put a +1/+1 counter on target creature you control.",,,mythic,WOE,Wilds of Eldraine,242,,,,
Agatha's Soul Cauldron,{2},2.0,Legendary Artifact,"You may spend mana as though it were mana of any color to activate abilities of creatures you control.
Creatures you control with +1/+1 counters on them have all activated abilities of all creature cards exiled with Agatha's Soul Cauldron.
{T}: Exile target card from a graveyard. When a creature card is exiled this way, put a +1/+1 counter on target creature you control.",,,mythic,PWOE,Wilds of Eldraine Promos,242s,,,,
Agatha's Soul Cauldron,{2},2.0,Legendary Artifact,"You may spend mana as though it were mana of any color to activate abilities of creatures you control.
Creatures you control with +1/+1 counters on them have all activated abilities of all creature cards exiled with Agatha's Soul Cauldron.
{T}: Exile target card from a graveyard. When a creature card is exiled this way, put a +1/+1 counter on target creature you control.",,,mythic,PWOE,Wilds of Eldraine Promos,242p,,,,
Agatha's Soul Cauldron,{2},2.0,Legendary Artifact,"You may spend mana as though it were mana of any color to activate abilities of creatures you control.
Creatures you control with +1/+1 counters on them have all activated abilities of all creature cards exiled with Agatha's Soul Cauldron.
{T}: Exile target card from a graveyard. When a creature card is exiled this way, put a +1/+1 counter on target creature you control.",,,mythic,WOE,Wilds of Eldraine,366,,,,
Air Response Unit,{2}{W},3.0,Artifact — Vehicle,"Flying, vigilance
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",W,W,uncommon,DFT,Aetherdrift,292,3,3,,Flying;Vigilance;Crew
Air Response Unit,{2}{W},3.0,Artifact — Vehicle,"Flying, vigilance
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",W,W,uncommon,DFT,Aetherdrift,1,3,3,,Flying;Vigilance;Crew
Alacrian Armory,{3}{W},4.0,Artifact,"Creatures you control get +0/+1 and have vigilance.
At the beginning of combat on your turn, choose up to one target Mount or Vehicle you control. Until end of turn, that permanent becomes saddled if it's a Mount and becomes an artifact creature if it's a Vehicle.",W,W,uncommon,DFT,Aetherdrift,2,,,,
All-Fates Scroll,{3},3.0,Artifact,"{T}: Add one mana of any color.
{7}, {T}, Sacrifice this artifact: Draw X cards, where X is the number of differently named lands you control.",,,uncommon,EOE,Edge of Eternities,234,,,,
