name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Hard-Won Jitte,{1}{R},2.0,Artifact — Equipment,"Equipped creature has double strike.
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",R,R,uncommon,TMT,Teenage Mutant Ninja Turtles,91,,,,Equip
Haunted Hellride,{1}{U}{B},3.0,Artifact — Vehicle,"Whenever you attack, target creature you control gets +1/+0 and gains deathtouch until end of turn. Untap it.
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)","B,U","B,U",uncommon,DFT,Aetherdrift,325,3,3,,Crew
Haunted Hellride,{1}{U}{B},3.0,Artifact — Vehicle,"Whenever you attack, target creature you control gets +1/+0 and gains deathtouch until end of turn. Untap it.
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)","B,U","B,U",uncommon,DFT,Aetherdrift,208,3,3,,Crew
Haunted Screen,{3},3.0,Artifact,"{T}: Add {W} or {B}.
{T}, Pay 1 life: Add {G}, {U}, or {R}.
{7}: Put seven +1/+1 counters on this artifact. It becomes a 0/0 Spirit creature in addition to its other types. Activate only once.",,"B,G,R,U,W",uncommon,DSK,Duskmourn: House of Horror,250,,,,
Heaped Harvest,{2}{G},3.0,Artifact — Food,"When this artifact enters and when you sacrifice it, you may search your library for a basic land card, put it onto the battlefield tapped, then shuffle.
{2}, {T}, Sacrifice this artifact: You gain 3 life.",G,G,common,BLB,Bloomburrow,175,,,,
Hedge Shredder,{2}{G}{G},4.0,Artifact — Vehicle,"Whenever this Vehicle attacks, you may mill two cards.
Whenever one or more land cards are put into your graveyard from your library, put them onto the battlefield tapped.
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",G,G,rare,DSK,Duskmourn: House of Horror,320,5,5,,Crew;Mill
Hedge Shredder,{2}{G}{G},4.0,Artifact — Vehicle,"Whenever this Vehicle attacks, you may mill two cards.
Whenever one or more land cards are put into your graveyard from your library, put them onto the battlefield tapped.
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",G,G,rare,DSK,Duskmourn: House of Horror,183,5,5,,Crew;Mill
Hedge Shredder,{2}{G}{G},4.0,Artifact — Vehicle,"Whenever this Vehicle attacks, you may mill two cards.
Whenever one or more land cards are put into your graveyard from your library, put them onto the battlefield tapped.
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",G,G,rare,PDSK,Duskmourn: House of Horror Promos,183p,5,5,,Crew;Mill
Hedge Shredder,{2}{G}{G},4.0,Artifact — Vehicle,"Whenever this Vehicle attacks, you may mill two cards.
Whenever one or more land cards are put into your graveyard from your library, put them onto the battlefield tapped.
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",G,G,rare,PDSK,Duskmourn: House of Horror Promos,183s,5,5,,Crew;Mill
Hedron Archive,{4},4.0,Artifact,"{T}: Add {C}{C}.
{2}, {T}, Sacrifice this artifact: Draw two cards.",,,uncommon,BLC,Bloomburrow Commander,275,,,,
Hedron Archive,{4},4.0,Artifact,"{T}: Add {C}{C}.
{2}, {T}, Sacrifice this artifact: Draw two cards.",,,uncommon,BFZ,Battle for Zendikar,223,,,,
