name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Machinist's Arsenal,{4}{W},5.0,Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.)
Equipped creature gets +2/+2 for each artifact you control and is an Artificer in addition to its other types.
Machina — Equip {4} ({4}: Attach to target creature you control. Equip only as a sorcery.)",W,W,rare,PFIN,Final Fantasy Promos,23s,,,,Machina;Job select;Equip
Machinist's Arsenal,{4}{W},5.0,Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.)
Equipped creature gets +2/+2 for each artifact you control and is an Artificer in addition to its other types.
Machina — Equip {4} ({4}: Attach to target creature you control. Equip only as a sorcery.)",W,W,rare,FIN,Final Fantasy,23,,,,Machina;Job select;Equip
Magitek Armor,{3}{W},4.0,Artifact — Vehicle,"When this Vehicle enters, create a 1/1 colorless Hero creature token.
Crew 1 (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)",W,W,uncommon,FIN,Final Fantasy,24,4,4,,Crew
Magitek Scythe,{4},4.0,Artifact — Equipment,"A Test of Your Reflexes! — When this Equipment enters, you may attach it to target creature you control. If you do, that creature gains first strike until end of turn and must be blocked this turn if able.
Equipped creature gets +2/+1.
Equip {2}",,,rare,FIN,Final Fantasy,562,,,,Equip;A Test of Your Reflexes!
Magmatic Galleon,{3}{R}{R},5.0,Artifact — Vehicle,"When this Vehicle enters, it deals 5 damage to target creature an opponent controls.
Whenever one or more creatures your opponents control are dealt excess noncombat damage, create a Treasure token.
Crew 2",R,R,rare,PLCI,The Lost Caverns of Ixalan Promos,157s,5,5,,Treasure;Crew
Magmatic Galleon,{3}{R}{R},5.0,Artifact — Vehicle,"When this Vehicle enters, it deals 5 damage to target creature an opponent controls.
Whenever one or more creatures your opponents control are dealt excess noncombat damage, create a Treasure token.
Crew 2",R,R,rare,LCI,The Lost Caverns of Ixalan,376,5,5,,Treasure;Crew
Magmatic Galleon,{3}{R}{R},5.0,Artifact — Vehicle,"When this Vehicle enters, it deals 5 damage to target creature an opponent controls.
Whenever one or more creatures your opponents control are dealt excess noncombat damage, create a Treasure token.
Crew 2",R,R,rare,LCI,The Lost Caverns of Ixalan,157,5,5,,Treasure;Crew
Magmatic Galleon,{3}{R}{R},5.0,Artifact — Vehicle,"When this Vehicle enters, it deals 5 damage to target creature an opponent controls.
Whenever one or more creatures your opponents control are dealt excess noncombat damage, create a Treasure token.
Crew 2",R,R,rare,PLCI,The Lost Caverns of Ixalan Promos,157p,5,5,,Treasure;Crew
Magnifying Glass,{3},3.0,Artifact,"{T}: Add {C}.
{4}, {T}: Investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",,,uncommon,C18,Commander 2018,208,,,,Investigate
Magnifying Glass,{3},3.0,Artifact,"{T}: Add {C}.
{4}, {T}: Investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",,,common,SIR,Shadows over Innistrad Remastered,254,,,,Investigate
