name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Paladin's Arms,{2}{W},3.0,Artifact — Equipment,"Job select (When this Equipment enters, create a 1/1 colorless Hero creature token, then attach this to it.)
Equipped creature gets +2/+1, has ward {1}, and is a Knight in addition to its other types.
Lightbringer and Hero's Shield — Equip {4} ({4}: Attach to target creature you control. Equip only as a sorcery.)",W,W,common,FIN,Final Fantasy,28,,,,Job select;Equip
Passenger Ferry,{3},3.0,Artifact — Vehicle,"Whenever this Vehicle attacks, you may pay {U}. When you do, another target attacking creature can't be blocked this turn.
Crew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)",,U,common,SPM,Marvel's Spider-Man,170,4,3,,Crew
Passenger Ferry,{3},3.0,Artifact — Vehicle,"Whenever this Vehicle attacks, you may pay {U}. When you do, another target attacking creature can't be blocked this turn.
Crew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)",,U,common,OM1,Through the Omenpaths,162,4,3,,Crew
Patchwork Banner,{3},3.0,Artifact,"As this artifact enters, choose a creature type.
Creatures you control of the chosen type get +1/+1.
{T}: Add one mana of any color.",,,rare,PMEI,Media and Collaboration Promos,2024-7,,,,
Patchwork Banner,{3},3.0,Artifact,"As this artifact enters, choose a creature type.
Creatures you control of the chosen type get +1/+1.
{T}: Add one mana of any color.",,,rare,SLD,Secret Lair Drop,2466,,,,
Patchwork Banner,{3},3.0,Artifact,"As this artifact enters, choose a creature type.
Creatures you control of the chosen type get +1/+1.
{T}: Add one mana of any color.",,,uncommon,BLB,Bloomburrow,247,,,,
Perilous Snare,{2}{W},3.0,Artifact,"Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)
When this artifact enters, exile target nonland permanent an opponent controls until this artifact leaves the battlefield.
Max speed — {T}: Put a +1/+1 counter on target creature or Vehicle you control. Activate only as a sorcery.",W,W,rare,DFT,Aetherdrift,23,,,,Max speed;Start your engines!
Perilous Snare,{2}{W},3.0,Artifact,"Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)
When this artifact enters, exile target nonland permanent an opponent controls until this artifact leaves the battlefield.
Max speed — {T}: Put a +1/+1 counter on target creature or Vehicle you control. Activate only as a sorcery.",W,W,rare,PDFT,Aetherdrift Promos,23s,,,,Max speed;Start your engines!
Perilous Snare,{2}{W},3.0,Artifact,"Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)
When this artifact enters, exile target nonland permanent an opponent controls until this artifact leaves the battlefield.
Max speed — {T}: Put a +1/+1 counter on target creature or Vehicle you control. Activate only as a sorcery.",W,W,rare,PDFT,Aetherdrift Promos,23p,,,,Max speed;Start your engines!
Perilous Snare,{2}{W},3.0,Artifact,"Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)
When this artifact enters, exile target nonland permanent an opponent controls until this artifact leaves the battlefield.
Max speed — {T}: Put a +1/+1 counter on target creature or Vehicle you control. Activate only as a sorcery.",W,W,rare,DFT,Aetherdrift,430,,,,Max speed;Start your engines!
Perilous Snare,{2}{W},3.0,Artifact,"Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)
When this artifact enters, exile target nonland permanent an opponent controls until this artifact leaves the battlefield.
Max speed — {T}: Put a +1/+1 counter on target creature or Vehicle you control. Activate only as a sorcery.",W,W,rare,DFT,Aetherdrift,377,,,,Max speed;Start your engines!
Peter Parker's Camera,{1},1.0,Artifact,"This artifact enters with three film counters on it.
{2}, {T}, Remove a film counter from this artifact: Copy target activated or triggered ability you control. You may choose new targets for the copy.",,,rare,SPM,Marvel's Spider-Man,171,,,,
Peter Parker's Camera,{1},1.0,Artifact,"This artifact enters with three film counters on it.
{2}, {T}, Remove a film counter from this artifact: Copy target activated or triggered ability you control. You may choose new targets for the copy.",,,rare,SPM,Marvel's Spider-Man,280,,,,
Peter Parker's Camera,{1},1.0,Artifact,"This artifact enters with three film counters on it.
{2}, {T}, Remove a film counter from this artifact: Copy target activated or triggered ability you control. You may choose new targets for the copy.",,,rare,PSPM,Marvel's Spider-Man Promos,171s,,,,
Peter Parker's Camera,{1},1.0,Artifact,"This artifact enters with three film counters on it.
{2}, {T}, Remove a film counter from this artifact: Copy target activated or triggered ability you control. You may choose new targets for the copy.",,,rare,OM1,Through the Omenpaths,171,,,,
