name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Tangle Tumbler,{3},3.0,Artifact — Vehicle,"Vigilance
{3}, {T}: Put a +1/+1 counter on target creature.
Tap two untapped tokens you control: This Vehicle becomes an artifact creature until end of turn.",,,uncommon,BLB,Bloomburrow,250,6,6,,Vigilance
Tarrian's Journal // The Tomb of Aclazotz,,2.0,Legendary Artifact // Legendary Land — Cave,,,B,rare,LCI,The Lost Caverns of Ixalan,371,,,,Transform
Tarrian's Journal // The Tomb of Aclazotz,,2.0,Legendary Artifact // Legendary Land — Cave,,,B,rare,LCI,The Lost Caverns of Ixalan,126,,,,Transform
Tarrian's Soulcleaver,{1},1.0,Legendary Artifact — Equipment,"Equipped creature has vigilance.
Whenever another artifact or creature is put into a graveyard from the battlefield, put a +1/+1 counter on equipped creature.
Equip {2}",,,rare,SLD,Secret Lair Drop,2224,,,,Equip
Tarrian's Soulcleaver,{1},1.0,Legendary Artifact — Equipment,"Equipped creature has vigilance.
Whenever another artifact or creature is put into a graveyard from the battlefield, put a +1/+1 counter on equipped creature.
Equip {2}",,,rare,LCI,The Lost Caverns of Ixalan,264,,,,Equip
Tarrian's Soulcleaver,{1},1.0,Legendary Artifact — Equipment,"Equipped creature has vigilance.
Whenever another artifact or creature is put into a graveyard from the battlefield, put a +1/+1 counter on equipped creature.
Equip {2}",,,rare,LCI,The Lost Caverns of Ixalan,389,,,,Equip
Tarrian's Soulcleaver,{1},1.0,Legendary Artifact — Equipment,"Equipped creature has vigilance.
Whenever another artifact or creature is put into a graveyard from the battlefield, put a +1/+1 counter on equipped creature.
Equip {2}",,,rare,PLCI,The Lost Caverns of Ixalan Promos,264p,,,,Equip
Tarrian's Soulcleaver,{1},1.0,Legendary Artifact — Equipment,"Equipped creature has vigilance.
Whenever another artifact or creature is put into a graveyard from the battlefield, put a +1/+1 counter on equipped creature.
Equip {2}",,,rare,PLCI,The Lost Caverns of Ixalan Promos,264s,,,,Equip
Temur Monument,{2},2.0,Artifact,"When this artifact enters, search your library for a basic Forest, Island, or Mountain card, reveal it, put it into your hand, then shuffle.
{3}{G}{U}{R}, {T}, Sacrifice this artifact: Create a 5/5 green Elephant creature token. Activate only as a sorcery.",,"G,R,U",uncommon,TDM,Tarkir: Dragonstorm,248,,,,
Territory Forge,{4}{R},5.0,Artifact,"When this artifact enters, if you cast it, exile target artifact or land.
This artifact has all activated abilities of the exiled card.",R,R,mythic,BIG,The Big Score,45,,,,
Territory Forge,{4}{R},5.0,Artifact,"When this artifact enters, if you cast it, exile target artifact or land.
This artifact has all activated abilities of the exiled card.",R,R,mythic,BIG,The Big Score,80,,,,
Territory Forge,{4}{R},5.0,Artifact,"When this artifact enters, if you cast it, exile target artifact or land.
This artifact has all activated abilities of the exiled card.",R,R,mythic,BIG,The Big Score,15,,,,
Thaumaton Torpedo,{1},1.0,Artifact,"{6}, {T}, Sacrifice this artifact: Destroy target nonland permanent. This ability costs {3} less to activate if you attacked with a Spacecraft this turn.",,,common,EOE,Edge of Eternities,246,,,,
