name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Daggerfang Duo,{2}{B},3.0,Creature — Rat Squirrel,"Deathtouch
When this creature enters, you may mill two cards. (You may put the top two cards of your library into your graveyard.)",B,B,common,BLB,Bloomburrow,89,3,2,,Mill;Deathtouch
Daggermaw Megalodon,{4}{U}{U},6.0,Creature — Shark,"Vigilance
Islandcycling {2} ({2}, Discard this card: Search your library for an Island card, reveal it, put it into your hand, then shuffle.)",U,U,common,DSK,Duskmourn: House of Horror,48,5,7,,Islandcycling;Vigilance;Landcycling;Typecycling;Cycling
Dai Li Agents,{3}{B}{G},5.0,Creature — Human Soldier,"When this creature enters, earthbend 1, then earthbend 1. (To earthbend 1, target land you control becomes a 0/0 creature with haste that's still a land. Put a +1/+1 counter on it. When it dies or is exiled, return it to the battlefield tapped.)
Whenever this creature attacks, each opponent loses X life and you gain X life, where X is the number of creatures you control with +1/+1 counters on them.","B,G","B,G",uncommon,TLA,Avatar: The Last Airbender,306,3,4,,Earthbend
Dai Li Agents,{3}{B}{G},5.0,Creature — Human Soldier,"When this creature enters, earthbend 1, then earthbend 1. (To earthbend 1, target land you control becomes a 0/0 creature with haste that's still a land. Put a +1/+1 counter on it. When it dies or is exiled, return it to the battlefield tapped.)
Whenever this creature attacks, each opponent loses X life and you gain X life, where X is the number of creatures you control with +1/+1 counters on them.","B,G","B,G",uncommon,TLA,Avatar: The Last Airbender,214,3,4,,Earthbend
Daily Bugle Reporters,{3}{W},4.0,Creature — Human Citizen,"When this creature enters, choose one —
• Puff Piece — Put a +1/+1 counter on each of up to two target creatures.
• Investigative Journalism — Return target creature card with mana value 2 or less from your graveyard to your hand.",W,W,common,SPM,Marvel's Spider-Man,6,2,3,,
Daily Bugle Reporters,{3}{W},4.0,Creature — Human Citizen,"When this creature enters, choose one —
• Puff Piece — Put a +1/+1 counter on each of up to two target creatures.
• Investigative Journalism — Return target creature card with mana value 2 or less from your graveyard to your hand.",W,W,common,OM1,Through the Omenpaths,16,2,3,,
Dalkovan Packbeasts,{2}{W},3.0,Creature — Ox,"Vigilance
Mobilize 3 (Whenever this creature attacks, create three tapped and attacking 1/1 red Warrior creature tokens. Sacrifice them at the beginning of the next end step.)",W,W,uncommon,TDM,Tarkir: Dragonstorm,7,0,4,,Vigilance;Mobilize
Damage Control Crew,{3}{G},4.0,Creature — Human Citizen,"When this creature enters, choose one —
• Repair — Return target card with mana value 4 or greater from your graveyard to your hand.
• Impound — Exile target artifact or enchantment.",G,G,uncommon,OM1,Through the Omenpaths,115,3,3,,
Damage Control Crew,{3}{G},4.0,Creature — Human Citizen,"When this creature enters, choose one —
• Repair — Return target card with mana value 4 or greater from your graveyard to your hand.
• Impound — Exile target artifact or enchantment.",G,G,uncommon,SPM,Marvel's Spider-Man,99,3,3,,
"Daretti, Rocketeer Engineer",{4}{R},5.0,Legendary Creature — Goblin Artificer,"Daretti's power is equal to the greatest mana value among artifacts you control.
Whenever Daretti enters or attacks, choose target artifact card in your graveyard. You may sacrifice an artifact. If you do, return the chosen card to the battlefield.",R,R,rare,DFT,Aetherdrift,458,*,5,,
"Daretti, Rocketeer Engineer",{4}{R},5.0,Legendary Creature — Goblin Artificer,"Daretti's power is equal to the greatest mana value among artifacts you control.
Whenever Daretti enters or attacks, choose target artifact card in your graveyard. You may sacrifice an artifact. If you do, return the chosen card to the battlefield.",R,R,rare,PDFT,Aetherdrift Promos,120s,*,5,,
"Daretti, Rocketeer Engineer",{4}{R},5.0,Legendary Creature — Goblin Artificer,"Daretti's power is equal to the greatest mana value among artifacts you control.
Whenever Daretti enters or attacks, choose target artifact card in your graveyard. You may sacrifice an artifact. If you do, return the chosen card to the battlefield.",R,R,rare,DFT,Aetherdrift,358,*,5,,
