name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Gleaming Geardrake,{U}{R},2.0,Artifact Creature — Drake,"Flying
When this creature enters, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Whenever you sacrifice an artifact, put a +1/+1 counter on this creature.","R,U","R,U",uncommon,MKM,Murders at Karlov Manor,205,1,1,,Flying;Investigate
Glen Elendra Guardian,{2}{U},3.0,Creature — Faerie Wizard,"Flash
Flying
This creature enters with a -1/-1 counter on it.
{1}{U}, Remove a counter from this creature: Counter target noncreature spell. Its controller draws a card.",U,U,rare,ECL,Lorwyn Eclipsed,51,3,4,,Flying;Flash
Glen Elendra Guardian,{2}{U},3.0,Creature — Faerie Wizard,"Flash
Flying
This creature enters with a -1/-1 counter on it.
{1}{U}, Remove a counter from this creature: Counter target noncreature spell. Its controller draws a card.",U,U,rare,ECL,Lorwyn Eclipsed,305,3,4,,Flying;Flash
Glen Elendra Guardian,{2}{U},3.0,Creature — Faerie Wizard,"Flash
Flying
This creature enters with a -1/-1 counter on it.
{1}{U}, Remove a counter from this creature: Counter target noncreature spell. Its controller draws a card.",U,U,mythic,ECL,Lorwyn Eclipsed,383,3,4,,Flying;Flash
Glen Elendra Guardian,{2}{U},3.0,Creature — Faerie Wizard,"Flash
Flying
This creature enters with a -1/-1 counter on it.
{1}{U}, Remove a counter from this creature: Counter target noncreature spell. Its controller draws a card.",U,U,mythic,ECL,Lorwyn Eclipsed,393,3,4,,Flying;Flash
Glen Elendra Guardian,{2}{U},3.0,Creature — Faerie Wizard,"Flash
Flying
This creature enters with a -1/-1 counter on it.
{1}{U}, Remove a counter from this creature: Counter target noncreature spell. Its controller draws a card.",U,U,rare,PECL,Lorwyn Eclipsed Promos,51p,3,4,,Flying;Flash
Glidedive Duo,{4}{B},5.0,Creature — Bat Lizard,"Flying
When this creature enters, each opponent loses 2 life and you gain 2 life.",B,B,common,BLB,Bloomburrow,96,3,3,,Flying
Glider Kids,{2}{W},3.0,Creature — Human Pilot Ally,"Flying
When this creature enters, scry 1. (Look at the top card of your library. You may put it on the bottom.)",W,W,common,TLA,Avatar: The Last Airbender,21,2,3,,Scry;Flying
Glimmer Seeker,{2}{W},3.0,Creature — Human Survivor,"Survival — At the beginning of your second main phase, if this creature is tapped, draw a card if you control a Glimmer creature. If you don't control a Glimmer creature, create a 1/1 white Glimmer enchantment creature token.",W,W,uncommon,DSK,Duskmourn: House of Horror,14,3,3,,Survival
Glint Weaver,{5}{G}{G},7.0,Creature — Spider,"Reach
When this creature enters, distribute three +1/+1 counters among one, two, or three target creatures, then you gain life equal to the greatest toughness among creatures you control.",G,G,uncommon,MKM,Murders at Karlov Manor,162,3,3,,Reach
Glister Bairn,{2}{G/U}{G/U}{G/U},5.0,Creature — Ouphe,"Vivid — At the beginning of combat on your turn, another target creature you control gets +X/+X until end of turn, where X is the number of colors among permanents you control.","G,U","G,U",uncommon,ECL,Lorwyn Eclipsed,227,1,4,,Vivid
Glitch Ghost Surveyor,{2}{U},3.0,Creature — Spirit Scout,"Flying
Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)
Max speed — {3}, Exile this card from your graveyard: Draw a card.",U,U,common,DFT,Aetherdrift,44,2,2,,Flying;Max speed;Start your engines!
Gloom Ripper,{3}{B}{B},5.0,Creature — Elf Assassin,"When this creature enters, target creature you control gets +X/+0 until end of turn and up to one target creature an opponent controls gets -0/-X until end of turn, where X is the number of Elves you control plus the number of Elf cards in your graveyard.",B,B,rare,PECL,Lorwyn Eclipsed Promos,102p,4,4,,
Gloom Ripper,{3}{B}{B},5.0,Creature — Elf Assassin,"When this creature enters, target creature you control gets +X/+0 until end of turn and up to one target creature an opponent controls gets -0/-X until end of turn, where X is the number of Elves you control plus the number of Elf cards in your graveyard.",B,B,rare,ECL,Lorwyn Eclipsed,312,4,4,,
Gloom Ripper,{3}{B}{B},5.0,Creature — Elf Assassin,"When this creature enters, target creature you control gets +X/+0 until end of turn and up to one target creature an opponent controls gets -0/-X until end of turn, where X is the number of Elves you control plus the number of Elf cards in your graveyard.",B,B,rare,ECL,Lorwyn Eclipsed,102,4,4,,
Glorifier of Suffering,{2}{W},3.0,Creature — Vampire Soldier,"When this creature enters, you may sacrifice another creature or artifact. When you do, put a +1/+1 counter on each of up to two target creatures.",W,W,common,LCI,The Lost Caverns of Ixalan,15,3,2,,
Gloryheath Lynx,{1}{W},2.0,Creature — Cat Mount,"Lifelink
Whenever this creature attacks while saddled, search your library for a basic Plains card, reveal it, put it into your hand, then shuffle.
Saddle 2 (Tap any number of other creatures you control with total power 2 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)",W,W,uncommon,DFT,Aetherdrift,14,2,3,,Lifelink;Saddle
Gnarlback Rhino,{2}{G}{G},4.0,Creature — Rhino,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Whenever you cast a spell that targets this creature, draw a card.",G,G,uncommon,M20,Core Set 2020,300,4,4,,Trample
Gnarlback Rhino,{2}{G}{G},4.0,Creature — Rhino,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Whenever you cast a spell that targets this creature, draw a card.",G,G,common,PIO,Pioneer Masters,176,4,4,,Trample
Gnarlback Rhino,{2}{G}{G},4.0,Creature — Rhino,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Whenever you cast a spell that targets this creature, draw a card.",G,G,uncommon,FDN,Foundations,638,4,4,,Trample
Gnarlback Rhino,{2}{G}{G},4.0,Creature — Rhino,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Whenever you cast a spell that targets this creature, draw a card.",G,G,common,2X2,Double Masters 2022,148,4,4,,Trample
Gnarlbark Elm,{2}{B},3.0,Creature — Treefolk Warlock,"This creature enters with two -1/-1 counters on it.
{2}{B}, Remove two counters from this creature: Target creature gets -2/-2 until end of turn. Activate only as a sorcery.",B,B,uncommon,ECL,Lorwyn Eclipsed,103,3,4,,
Gnarlid Colony,{1}{G},2.0,Creature — Beast,"Kicker {2}{G} (You may pay an additional {2}{G} as you cast this spell.)
If this creature was kicked, it enters with two +1/+1 counters on it.
Each creature you control with a +1/+1 counter on it has trample. (It can deal excess combat damage to the player or planeswalker it's attacking.)",G,G,common,FDN,Foundations,224,2,2,,Kicker
Gnarlid Colony,{1}{G},2.0,Creature — Beast,"Kicker {2}{G} (You may pay an additional {2}{G} as you cast this spell.)
If this creature was kicked, it enters with two +1/+1 counters on it.
Each creature you control with a +1/+1 counter on it has trample. (It can deal excess combat damage to the player or planeswalker it's attacking.)",G,G,common,J25,Foundations Jumpstart,664,2,2,,Kicker
Gnarlid Colony,{1}{G},2.0,Creature — Beast,"Kicker {2}{G} (You may pay an additional {2}{G} as you cast this spell.)
If this creature was kicked, it enters with two +1/+1 counters on it.
Each creature you control with a +1/+1 counter on it has trample. (It can deal excess combat damage to the player or planeswalker it's attacking.)",G,G,common,ZNR,Zendikar Rising,185,2,2,,Kicker
Goblin Boarders,{2}{R},3.0,Creature — Goblin Pirate,Raid — This creature enters with a +1/+1 counter on it if you attacked this turn.,R,R,common,FDN,Foundations,87,3,2,,Raid
Goblin Maskmaker,{R},1.0,Creature — Goblin Citizen,"Whenever this creature attacks, face-down spells you cast this turn cost {1} less to cast.",R,R,common,MKM,Murders at Karlov Manor,130,1,2,,
Goblin Smuggler,{2}{R},3.0,Creature — Goblin Rogue,"Haste (This creature can attack and {T} as soon as it comes under your control.)
{T}: Another target creature with power 2 or less can't be blocked this turn.",R,R,common,FDN,Foundations,540,2,2,,Haste
Goblin Smuggler,{2}{R},3.0,Creature — Goblin Rogue,"Haste (This creature can attack and {T} as soon as it comes under your control.)
{T}: Another target creature with power 2 or less can't be blocked this turn.",R,R,common,J25,Foundations Jumpstart,137,2,2,,Haste
Goblin Smuggler,{2}{R},3.0,Creature — Goblin Rogue,"Haste (This creature can attack and {T} as soon as it comes under your control.)
{T}: Another target creature with power 2 or less can't be blocked this turn.",R,R,common,M20,Core Set 2020,144,2,2,,Haste
Goblin Surveyor,{2}{R},3.0,Creature — Goblin Scout,"Trample
Start your engines! (If you have no speed, it starts at 1. It increases once on each of your turns when an opponent loses life. Max speed is 4.)
Max speed — {3}, Exile this card from your graveyard: Draw a card.",R,R,common,DFT,Aetherdrift,131,3,2,,Max speed;Trample;Start your engines!
Goblin Tomb Raider,{R},1.0,Creature — Goblin Pirate,"As long as you control an artifact, this creature gets +1/+0 and has haste.",R,R,common,LCI,The Lost Caverns of Ixalan,151,1,2,,
"Goddric, Cloaked Reveler",{1}{R}{R},3.0,Legendary Creature — Human Noble,"Haste
Celebration — As long as two or more nonland permanents entered the battlefield under your control this turn, Goddric is a Dragon with base power and toughness 4/4, flying, and ""{R}: Dragons you control get +1/+0 until end of turn."" (It loses all other creature types.)",R,R,rare,SCH,Store Championships,38,3,3,,Flying;Celebration;Haste
"Goddric, Cloaked Reveler",{1}{R}{R},3.0,Legendary Creature — Human Noble,"Haste
Celebration — As long as two or more nonland permanents entered the battlefield under your control this turn, Goddric is a Dragon with base power and toughness 4/4, flying, and ""{R}: Dragons you control get +1/+0 until end of turn."" (It loses all other creature types.)",R,R,rare,PWOE,Wilds of Eldraine Promos,132p,3,3,,Flying;Celebration;Haste
"Goddric, Cloaked Reveler",{1}{R}{R},3.0,Legendary Creature — Human Noble,"Haste
Celebration — As long as two or more nonland permanents entered the battlefield under your control this turn, Goddric is a Dragon with base power and toughness 4/4, flying, and ""{R}: Dragons you control get +1/+0 until end of turn."" (It loses all other creature types.)",R,R,rare,PWOE,Wilds of Eldraine Promos,132s,3,3,,Flying;Celebration;Haste
"Goddric, Cloaked Reveler",{1}{R}{R},3.0,Legendary Creature — Human Noble,"Haste
Celebration — As long as two or more nonland permanents entered the battlefield under your control this turn, Goddric is a Dragon with base power and toughness 4/4, flying, and ""{R}: Dragons you control get +1/+0 until end of turn."" (It loses all other creature types.)",R,R,rare,WOE,Wilds of Eldraine,347,3,3,,Flying;Celebration;Haste
"Goddric, Cloaked Reveler",{1}{R}{R},3.0,Legendary Creature — Human Noble,"Haste
Celebration — As long as two or more nonland permanents entered the battlefield under your control this turn, Goddric is a Dragon with base power and toughness 4/4, flying, and ""{R}: Dragons you control get +1/+0 until end of turn."" (It loses all other creature types.)",R,R,rare,WOE,Wilds of Eldraine,132,3,3,,Flying;Celebration;Haste
"Gogo, Master of Mimicry",{2}{U},3.0,Legendary Creature — Wizard,"{X}{X}, {T}: Copy target activated or triggered ability you control X times. You may choose new targets for the copies. This ability can't be copied and X can't be 0. (Mana abilities can't be targeted.)",U,U,mythic,FIN,Final Fantasy,377,2,4,,
"Gogo, Master of Mimicry",{2}{U},3.0,Legendary Creature — Wizard,"{X}{X}, {T}: Copy target activated or triggered ability you control X times. You may choose new targets for the copies. This ability can't be copied and X can't be 0. (Mana abilities can't be targeted.)",U,U,mythic,PFIN,Final Fantasy Promos,54s,2,4,,
"Gogo, Master of Mimicry",{2}{U},3.0,Legendary Creature — Wizard,"{X}{X}, {T}: Copy target activated or triggered ability you control X times. You may choose new targets for the copies. This ability can't be copied and X can't be 0. (Mana abilities can't be targeted.)",U,U,mythic,FIN,Final Fantasy,437,2,4,,
"Gogo, Master of Mimicry",{2}{U},3.0,Legendary Creature — Wizard,"{X}{X}, {T}: Copy target activated or triggered ability you control X times. You may choose new targets for the copies. This ability can't be copied and X can't be 0. (Mana abilities can't be targeted.)",U,U,mythic,FIN,Final Fantasy,522,2,4,,
"Gogo, Master of Mimicry",{2}{U},3.0,Legendary Creature — Wizard,"{X}{X}, {T}: Copy target activated or triggered ability you control X times. You may choose new targets for the copies. This ability can't be copied and X can't be 0. (Mana abilities can't be targeted.)",U,U,mythic,FIN,Final Fantasy,54,2,4,,
"Golbez, Crystal Collector",{U}{B},2.0,Legendary Creature — Human Wizard,"Whenever an artifact you control enters, surveil 1.
At the beginning of your end step, if you control four or more artifacts, return target creature card from your graveyard to your hand. Then if you control eight or more artifacts, each opponent loses life equal to that card's power.","B,U","B,U",rare,FIN,Final Fantasy,225,1,4,,Surveil
"Golbez, Crystal Collector",{U}{B},2.0,Legendary Creature — Human Wizard,"Whenever an artifact you control enters, surveil 1.
At the beginning of your end step, if you control four or more artifacts, return target creature card from your graveyard to your hand. Then if you control eight or more artifacts, each opponent loses life equal to that card's power.","B,U","B,U",rare,FIN,Final Fantasy,395,1,4,,Surveil
"Golbez, Crystal Collector",{U}{B},2.0,Legendary Creature — Human Wizard,"Whenever an artifact you control enters, surveil 1.
At the beginning of your end step, if you control four or more artifacts, return target creature card from your graveyard to your hand. Then if you control eight or more artifacts, each opponent loses life equal to that card's power.","B,U","B,U",rare,FIN,Final Fantasy,490,1,4,,Surveil
"Golbez, Crystal Collector",{U}{B},2.0,Legendary Creature — Human Wizard,"Whenever an artifact you control enters, surveil 1.
At the beginning of your end step, if you control four or more artifacts, return target creature card from your graveyard to your hand. Then if you control eight or more artifacts, each opponent loses life equal to that card's power.","B,U","B,U",rare,FIN,Final Fantasy,540,1,4,,Surveil
"Golbez, Crystal Collector",{U}{B},2.0,Legendary Creature — Human Wizard,"Whenever an artifact you control enters, surveil 1.
At the beginning of your end step, if you control four or more artifacts, return target creature card from your graveyard to your hand. Then if you control eight or more artifacts, each opponent loses life equal to that card's power.","B,U","B,U",rare,PFIN,Final Fantasy Promos,225s,1,4,,Surveil
Goldfury Strider,{4}{R},5.0,Artifact Creature — Golem,"Trample
Tap two untapped artifacts and/or creatures you control: Target creature gets +2/+0 until end of turn. Activate only as a sorcery.",R,R,uncommon,LCI,The Lost Caverns of Ixalan,152,3,5,,Trample
Goldmeadow Nomad,{W},1.0,Creature — Kithkin Scout,"{W}, Exile this card from your graveyard: Create a 1/1 green and white Kithkin creature token. Activate only as a sorcery.",W,W,common,ECL,Lorwyn Eclipsed,18,1,2,,
Goldvein Hydra,{X}{G},1.0,Creature — Hydra,"Vigilance, trample, haste
This creature enters with X +1/+1 counters on it.
When this creature dies, create a number of tapped Treasure tokens equal to its power.",G,G,mythic,POTJ,Outlaws of Thunder Junction Promos,167p,0,0,,Vigilance;Treasure;Haste;Trample
Goldvein Hydra,{X}{G},1.0,Creature — Hydra,"Vigilance, trample, haste
This creature enters with X +1/+1 counters on it.
When this creature dies, create a number of tapped Treasure tokens equal to its power.",G,G,mythic,OTJ,Outlaws of Thunder Junction,341,0,0,,Vigilance;Treasure;Haste;Trample
Goldvein Hydra,{X}{G},1.0,Creature — Hydra,"Vigilance, trample, haste
This creature enters with X +1/+1 counters on it.
When this creature dies, create a number of tapped Treasure tokens equal to its power.",G,G,mythic,OTJ,Outlaws of Thunder Junction,167,0,0,,Vigilance;Treasure;Haste;Trample
Goldvein Hydra,{X}{G},1.0,Creature — Hydra,"Vigilance, trample, haste
This creature enters with X +1/+1 counters on it.
When this creature dies, create a number of tapped Treasure tokens equal to its power.",G,G,mythic,POTJ,Outlaws of Thunder Junction Promos,167s,0,0,,Vigilance;Treasure;Haste;Trample
Goliath Daydreamer,{2}{R}{R},4.0,Creature — Giant Wizard,"Whenever you cast an instant or sorcery spell from your hand, exile that card with a dream counter on it instead of putting it into your graveyard as it resolves.
Whenever this creature attacks, you may cast a spell from among cards you own in exile with dream counters on them without paying its mana cost.",R,R,rare,ECL,Lorwyn Eclipsed,143,4,4,,
