name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Haazda Vigilante,{4}{W},5.0,Creature — Giant Soldier,"Whenever this creature enters or attacks, put a +1/+1 counter on target creature you control with power 2 or less.",W,W,common,MKM,Murders at Karlov Manor,18,4,4,,
"Hakoda, Selfless Commander",{3}{W},4.0,Legendary Creature — Human Warrior Ally,"Vigilance
You may look at the top card of your library any time.
You may cast Ally spells from the top of your library.
Sacrifice Hakoda: Creatures you control get +0/+5 and gain indestructible until end of turn.",W,W,rare,TLA,Avatar: The Last Airbender,366,3,5,,Vigilance
"Hakoda, Selfless Commander",{3}{W},4.0,Legendary Creature — Human Warrior Ally,"Vigilance
You may look at the top card of your library any time.
You may cast Ally spells from the top of your library.
Sacrifice Hakoda: Creatures you control get +0/+5 and gain indestructible until end of turn.",W,W,rare,TLA,Avatar: The Last Airbender,23,3,5,,Vigilance
"Hakoda, Selfless Commander",{3}{W},4.0,Legendary Creature — Human Warrior Ally,"Vigilance
You may look at the top card of your library any time.
You may cast Ally spells from the top of your library.
Sacrifice Hakoda: Creatures you control get +0/+5 and gain indestructible until end of turn.",W,W,rare,PTLA,Avatar: The Last Airbender Promos,23s,3,5,,Vigilance
"Halana and Alena, Partners",{2}{R}{G},4.0,Legendary Creature — Human Ranger,"First strike (This creature deals combat damage before creatures without first strike.)
Reach (This creature can block creatures with flying.)
At the beginning of combat on your turn, put X +1/+1 counters on another target creature you control, where X is Halana and Alena's power. That creature gains haste until end of turn.","G,R","G,R",rare,DBL,Innistrad: Double Feature,506,2,3,,Reach;First strike
"Halana and Alena, Partners",{2}{R}{G},4.0,Legendary Creature — Human Ranger,"First strike (This creature deals combat damage before creatures without first strike.)
Reach (This creature can block creatures with flying.)
At the beginning of combat on your turn, put X +1/+1 counters on another target creature you control, where X is Halana and Alena's power. That creature gains haste until end of turn.","G,R","G,R",rare,VOW,Innistrad: Crimson Vow,239,2,3,,Reach;First strike
"Halana and Alena, Partners",{2}{R}{G},4.0,Legendary Creature — Human Ranger,"First strike (This creature deals combat damage before creatures without first strike.)
Reach (This creature can block creatures with flying.)
At the beginning of combat on your turn, put X +1/+1 counters on another target creature you control, where X is Halana and Alena's power. That creature gains haste until end of turn.","G,R","G,R",rare,VOW,Innistrad: Crimson Vow,325,2,3,,Reach;First strike
"Halana and Alena, Partners",{2}{R}{G},4.0,Legendary Creature — Human Ranger,"First strike (This creature deals combat damage before creatures without first strike.)
Reach (This creature can block creatures with flying.)
At the beginning of combat on your turn, put X +1/+1 counters on another target creature you control, where X is Halana and Alena's power. That creature gains haste until end of turn.","G,R","G,R",rare,PVOW,Innistrad: Crimson Vow Promos,239s,2,3,,Reach;First strike
"Halana and Alena, Partners",{2}{R}{G},4.0,Legendary Creature — Human Ranger,"First strike (This creature deals combat damage before creatures without first strike.)
Reach (This creature can block creatures with flying.)
At the beginning of combat on your turn, put X +1/+1 counters on another target creature you control, where X is Halana and Alena's power. That creature gains haste until end of turn.","G,R","G,R",rare,FDN,Foundations,659,2,3,,Reach;First strike
"Haliya, Ascendant Cadet",{2}{G}{W}{W},5.0,Legendary Creature — Human Soldier,"Whenever Haliya enters or attacks, put a +1/+1 counter on target creature you control.
Whenever one or more creatures you control with +1/+1 counters on them deal combat damage to a player, draw a card.","G,W","G,W",uncommon,EOE,Edge of Eternities,218,3,3,,
