name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
"Lady Octopus, Inspired Inventor",{U},1.0,Legendary Creature — Human Scientist Villain,"Whenever you draw your first or second card each turn, put an ingenuity counter on Lady Octopus.
{T}: You may cast an artifact spell from your hand with mana value less than or equal to the number of ingenuity counters on Lady Octopus without paying its mana cost.",U,U,rare,SPM,Marvel's Spider-Man,252,0,2,,
"Lady Octopus, Inspired Inventor",{U},1.0,Legendary Creature — Human Scientist Villain,"Whenever you draw your first or second card each turn, put an ingenuity counter on Lady Octopus.
{T}: You may cast an artifact spell from your hand with mana value less than or equal to the number of ingenuity counters on Lady Octopus without paying its mana cost.",U,U,rare,PSPM,Marvel's Spider-Man Promos,35s,0,2,,
"Lady Octopus, Inspired Inventor",{U},1.0,Legendary Creature — Human Scientist Villain,"Whenever you draw your first or second card each turn, put an ingenuity counter on Lady Octopus.
{T}: You may cast an artifact spell from your hand with mana value less than or equal to the number of ingenuity counters on Lady Octopus without paying its mana cost.",U,U,rare,SPM,Marvel's Spider-Man,35,0,2,,
"Lady Octopus, Inspired Inventor",{U},1.0,Legendary Creature — Human Scientist Villain,"Whenever you draw your first or second card each turn, put an ingenuity counter on Lady Octopus.
{T}: You may cast an artifact spell from your hand with mana value less than or equal to the number of ingenuity counters on Lady Octopus without paying its mana cost.",U,U,rare,OM1,Through the Omenpaths,34,0,2,,
Lady of Laughter,{3}{W}{W},5.0,Creature — Faerie Noble,"Flying
Celebration — At the beginning of your end step, if two or more nonland permanents entered the battlefield under your control this turn, draw a card.",W,W,rare,WOE,Wilds of Eldraine,370,4,5,,Flying;Celebration
Lady of Laughter,{3}{W}{W},5.0,Creature — Faerie Noble,"Flying
Celebration — At the beginning of your end step, if two or more nonland permanents entered the battlefield under your control this turn, draw a card.",W,W,rare,WOE,Wilds of Eldraine,309,4,5,,Flying;Celebration
"Lagorin, Soul of Alacria",{G}{W},2.0,Legendary Creature — Beast Mount,"Flying
Whenever Lagorin attacks while saddled, put a +1/+1 counter on each of up to two target Mounts and/or Vehicles.
Saddle 1 (Tap any number of other creatures you control with total power 1 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)","G,W","G,W",uncommon,DFT,Aetherdrift,211,1,1,,Flying;Saddle
Lamplight Phoenix,{1}{R}{R},3.0,Creature — Phoenix,"Flying
When this creature dies, you may exile it and collect evidence 4. If you do, return this card to the battlefield tapped. (To collect evidence 4, exile cards with total mana value 4 or greater from your graveyard.)",R,R,rare,MKM,Murders at Karlov Manor,137,3,3,,Flying;Collect evidence
Lamplight Phoenix,{1}{R}{R},3.0,Creature — Phoenix,"Flying
When this creature dies, you may exile it and collect evidence 4. If you do, return this card to the battlefield tapped. (To collect evidence 4, exile cards with total mana value 4 or greater from your graveyard.)",R,R,rare,PMKM,Murders at Karlov Manor Promos,137s,3,3,,Flying;Collect evidence
Lamplight Phoenix,{1}{R}{R},3.0,Creature — Phoenix,"Flying
When this creature dies, you may exile it and collect evidence 4. If you do, return this card to the battlefield tapped. (To collect evidence 4, exile cards with total mana value 4 or greater from your graveyard.)",R,R,rare,PMKM,Murders at Karlov Manor Promos,137p,3,3,,Flying;Collect evidence
Lamplight Phoenix,{1}{R}{R},3.0,Creature — Phoenix,"Flying
When this creature dies, you may exile it and collect evidence 4. If you do, return this card to the battlefield tapped. (To collect evidence 4, exile cards with total mana value 4 or greater from your graveyard.)",R,R,rare,MKM,Murders at Karlov Manor,406,3,3,,Flying;Collect evidence
Lashwhip Predator,{4}{G}{G},6.0,Creature — Plant Beast,"This spell costs {2} less to cast if your opponents control three or more creatures.
Reach",G,G,uncommon,EOE,Edge of Eternities,195,5,7,,Reach
Lasyd Prowler,{2}{G}{G},4.0,Creature — Snake Ranger,"When this creature enters, you may mill cards equal to the number of lands you control.
Renew — {1}{G}, Exile this card from your graveyard: Put X +1/+1 counters on target creature, where X is the number of land cards in your graveyard. Activate only as a sorcery.",G,G,rare,TDM,Tarkir: Dragonstorm,348,5,5,,Renew;Mill
Lasyd Prowler,{2}{G}{G},4.0,Creature — Snake Ranger,"When this creature enters, you may mill cards equal to the number of lands you control.
Renew — {1}{G}, Exile this card from your graveyard: Put X +1/+1 counters on target creature, where X is the number of land cards in your graveyard. Activate only as a sorcery.",G,G,rare,PTDM,Tarkir: Dragonstorm Promos,149p,5,5,,Renew;Mill
Lasyd Prowler,{2}{G}{G},4.0,Creature — Snake Ranger,"When this creature enters, you may mill cards equal to the number of lands you control.
Renew — {1}{G}, Exile this card from your graveyard: Put X +1/+1 counters on target creature, where X is the number of land cards in your graveyard. Activate only as a sorcery.",G,G,rare,PTDM,Tarkir: Dragonstorm Promos,149s,5,5,,Renew;Mill
Lasyd Prowler,{2}{G}{G},4.0,Creature — Snake Ranger,"When this creature enters, you may mill cards equal to the number of lands you control.
Renew — {1}{G}, Exile this card from your graveyard: Put X +1/+1 counters on target creature, where X is the number of land cards in your graveyard. Activate only as a sorcery.",G,G,rare,TDM,Tarkir: Dragonstorm,149,5,5,,Renew;Mill
"Lathliss, Dragon Queen",{4}{R}{R},6.0,Legendary Creature — Dragon,"Flying
Whenever another nontoken Dragon you control enters, create a 5/5 red Dragon creature token with flying.
{1}{R}: Dragons you control get +1/+0 until end of turn.",R,R,rare,TDC,Tarkir: Dragonstorm Commander,219,6,6,,Flying
"Lathliss, Dragon Queen",{4}{R}{R},6.0,Legendary Creature — Dragon,"Flying
Whenever another nontoken Dragon you control enters, create a 5/5 red Dragon creature token with flying.
{1}{R}: Dragons you control get +1/+0 until end of turn.",R,R,rare,SLD,Secret Lair Drop,1145,6,6,,Flying
"Lathliss, Dragon Queen",{4}{R}{R},6.0,Legendary Creature — Dragon,"Flying
Whenever another nontoken Dragon you control enters, create a 5/5 red Dragon creature token with flying.
{1}{R}: Dragons you control get +1/+0 until end of turn.",R,R,rare,PLST,The List,GN2-41,6,6,,Flying
"Lathliss, Dragon Queen",{4}{R}{R},6.0,Legendary Creature — Dragon,"Flying
Whenever another nontoken Dragon you control enters, create a 5/5 red Dragon creature token with flying.
{1}{R}: Dragons you control get +1/+0 until end of turn.",R,R,rare,SLD,Secret Lair Drop,1146,6,6,,Flying
"Lathliss, Dragon Queen",{4}{R}{R},6.0,Legendary Creature — Dragon,"Flying
Whenever another nontoken Dragon you control enters, create a 5/5 red Dragon creature token with flying.
{1}{R}: Dragons you control get +1/+0 until end of turn.",R,R,rare,PM19,Core Set 2019 Promos,149s,6,6,,Flying
"Lathliss, Dragon Queen",{4}{R}{R},6.0,Legendary Creature — Dragon,"Flying
Whenever another nontoken Dragon you control enters, create a 5/5 red Dragon creature token with flying.
{1}{R}: Dragons you control get +1/+0 until end of turn.",R,R,rare,FDN,Foundations,627,6,6,,Flying
"Lathliss, Dragon Queen",{4}{R}{R},6.0,Legendary Creature — Dragon,"Flying
Whenever another nontoken Dragon you control enters, create a 5/5 red Dragon creature token with flying.
{1}{R}: Dragons you control get +1/+0 until end of turn.",R,R,rare,GN2,Game Night 2019,41,6,6,,Flying
"Lathliss, Dragon Queen",{4}{R}{R},6.0,Legendary Creature — Dragon,"Flying
Whenever another nontoken Dragon you control enters, create a 5/5 red Dragon creature token with flying.
{1}{R}: Dragons you control get +1/+0 until end of turn.",R,R,rare,M19,Core Set 2019,149,6,6,,Flying
"Lathliss, Dragon Queen",{4}{R}{R},6.0,Legendary Creature — Dragon,"Flying
Whenever another nontoken Dragon you control enters, create a 5/5 red Dragon creature token with flying.
{1}{R}: Dragons you control get +1/+0 until end of turn.",R,R,rare,J22,Jumpstart 2022,566,6,6,,Flying
"Lathliss, Dragon Queen",{4}{R}{R},6.0,Legendary Creature — Dragon,"Flying
Whenever another nontoken Dragon you control enters, create a 5/5 red Dragon creature token with flying.
{1}{R}: Dragons you control get +1/+0 until end of turn.",R,R,rare,JMP,Jumpstart,340,6,6,,Flying
"Lathliss, Dragon Queen",{4}{R}{R},6.0,Legendary Creature — Dragon,"Flying
Whenever another nontoken Dragon you control enters, create a 5/5 red Dragon creature token with flying.
{1}{R}: Dragons you control get +1/+0 until end of turn.",R,R,rare,J25,Foundations Jumpstart,74,6,6,,Flying
"Lathliss, Dragon Queen",{4}{R}{R},6.0,Legendary Creature — Dragon,"Flying
Whenever another nontoken Dragon you control enters, create a 5/5 red Dragon creature token with flying.
{1}{R}: Dragons you control get +1/+0 until end of turn.",R,R,rare,PM19,Core Set 2019 Promos,149★,6,6,,Flying
"Lathril, Blade of the Elves",{2}{B}{G},4.0,Legendary Creature — Elf Noble,"Menace (This creature can't be blocked except by two or more creatures.)
Whenever Lathril deals combat damage to a player, create that many 1/1 green Elf Warrior creature tokens.
{T}, Tap ten untapped Elves you control: Each opponent loses 10 life and you gain 10 life.","B,G","B,G",rare,PFDN,Foundations Promos,242s,2,3,,Menace
"Lathril, Blade of the Elves",{2}{B}{G},4.0,Legendary Creature — Elf Noble,"Menace (This creature can't be blocked except by two or more creatures.)
Whenever Lathril deals combat damage to a player, create that many 1/1 green Elf Warrior creature tokens.
{T}, Tap ten untapped Elves you control: Each opponent loses 10 life and you gain 10 life.","B,G","B,G",mythic,PKHM,Kaldheim Promos,2★,2,3,,Menace
"Lathril, Blade of the Elves",{2}{B}{G},4.0,Legendary Creature — Elf Noble,"Menace (This creature can't be blocked except by two or more creatures.)
Whenever Lathril deals combat damage to a player, create that many 1/1 green Elf Warrior creature tokens.
{T}, Tap ten untapped Elves you control: Each opponent loses 10 life and you gain 10 life.","B,G","B,G",mythic,KHC,Kaldheim Commander,1,2,3,,Menace
"Lathril, Blade of the Elves",{2}{B}{G},4.0,Legendary Creature — Elf Noble,"Menace (This creature can't be blocked except by two or more creatures.)
Whenever Lathril deals combat damage to a player, create that many 1/1 green Elf Warrior creature tokens.
{T}, Tap ten untapped Elves you control: Each opponent loses 10 life and you gain 10 life.","B,G","B,G",rare,FDN,Foundations,349,2,3,,Menace
"Lathril, Blade of the Elves",{2}{B}{G},4.0,Legendary Creature — Elf Noble,"Menace (This creature can't be blocked except by two or more creatures.)
Whenever Lathril deals combat damage to a player, create that many 1/1 green Elf Warrior creature tokens.
{T}, Tap ten untapped Elves you control: Each opponent loses 10 life and you gain 10 life.","B,G","B,G",rare,FDN,Foundations,242,2,3,,Menace
"Lathril, Blade of the Elves",{2}{B}{G},4.0,Legendary Creature — Elf Noble,"Menace (This creature can't be blocked except by two or more creatures.)
Whenever Lathril deals combat damage to a player, create that many 1/1 green Elf Warrior creature tokens.
{T}, Tap ten untapped Elves you control: Each opponent loses 10 life and you gain 10 life.","B,G","B,G",rare,FDN,Foundations,410,2,3,,Menace
Laughing Jasper Flint,{1}{B}{R},3.0,Legendary Creature — Lizard Rogue,"Creatures you control but don't own are Mercenaries in addition to their other types.
At the beginning of your upkeep, exile the top X cards of target opponent's library, where X is the number of outlaws you control. Until end of turn, you may cast spells from among those cards, and mana of any type can be spent to cast those spells.","B,R","B,R",rare,SLP,Secret Lair Promo,44,4,3,,
Laughing Jasper Flint,{1}{B}{R},3.0,Legendary Creature — Lizard Rogue,"Creatures you control but don't own are Mercenaries in addition to their other types.
At the beginning of your upkeep, exile the top X cards of target opponent's library, where X is the number of outlaws you control. Until end of turn, you may cast spells from among those cards, and mana of any type can be spent to cast those spells.","B,R","B,R",rare,OTJ,Outlaws of Thunder Junction,355,4,3,,
Laughing Jasper Flint,{1}{B}{R},3.0,Legendary Creature — Lizard Rogue,"Creatures you control but don't own are Mercenaries in addition to their other types.
At the beginning of your upkeep, exile the top X cards of target opponent's library, where X is the number of outlaws you control. Until end of turn, you may cast spells from among those cards, and mana of any type can be spent to cast those spells.","B,R","B,R",rare,OTJ,Outlaws of Thunder Junction,215,4,3,,
Laughing Jasper Flint,{1}{B}{R},3.0,Legendary Creature — Lizard Rogue,"Creatures you control but don't own are Mercenaries in addition to their other types.
At the beginning of your upkeep, exile the top X cards of target opponent's library, where X is the number of outlaws you control. Until end of turn, you may cast spells from among those cards, and mana of any type can be spent to cast those spells.","B,R","B,R",rare,POTJ,Outlaws of Thunder Junction Promos,215s,4,3,,
Laughing Jasper Flint,{1}{B}{R},3.0,Legendary Creature — Lizard Rogue,"Creatures you control but don't own are Mercenaries in addition to their other types.
At the beginning of your upkeep, exile the top X cards of target opponent's library, where X is the number of outlaws you control. Until end of turn, you may cast spells from among those cards, and mana of any type can be spent to cast those spells.","B,R","B,R",rare,POTJ,Outlaws of Thunder Junction Promos,215p,4,3,,
Lavaleaper,{3}{R},4.0,Creature — Elemental,"All creatures have haste.
Whenever a player taps a basic land for mana, that player adds one mana of any type that land produced.",R,R,rare,ECL,Lorwyn Eclipsed,318,4,4,,
Lavaleaper,{3}{R},4.0,Creature — Elemental,"All creatures have haste.
Whenever a player taps a basic land for mana, that player adds one mana of any type that land produced.",R,R,rare,ECL,Lorwyn Eclipsed,150,4,4,,
Lavaleaper,{3}{R},4.0,Creature — Elemental,"All creatures have haste.
Whenever a player taps a basic land for mana, that player adds one mana of any type that land produced.",R,R,rare,PECL,Lorwyn Eclipsed Promos,150p,4,4,,
"Lazav, Familiar Stranger",{1}{U}{B},3.0,Legendary Creature — Shapeshifter,"Whenever you commit a crime, put a +1/+1 counter on Lazav. Then you may exile a card from a graveyard. If a creature card was exiled this way, you may have Lazav become a copy of that card until end of turn. This ability triggers only once each turn. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)","B,U","B,U",uncommon,OTJ,Outlaws of Thunder Junction,216,1,4,,
"Lazav, Wearer of Faces",{U}{B},2.0,Legendary Creature — Shapeshifter Detective,"Whenever Lazav attacks, exile target card from a graveyard, then investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Whenever you sacrifice a Clue, you may have Lazav become a copy of a creature card exiled with it until end of turn.","B,U","B,U",rare,PMKM,Murders at Karlov Manor Promos,216p,2,3,,Investigate
"Lazav, Wearer of Faces",{U}{B},2.0,Legendary Creature — Shapeshifter Detective,"Whenever Lazav attacks, exile target card from a graveyard, then investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Whenever you sacrifice a Clue, you may have Lazav become a copy of a creature card exiled with it until end of turn.","B,U","B,U",rare,MKM,Murders at Karlov Manor,318z,2,3,,Investigate
"Lazav, Wearer of Faces",{U}{B},2.0,Legendary Creature — Shapeshifter Detective,"Whenever Lazav attacks, exile target card from a graveyard, then investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Whenever you sacrifice a Clue, you may have Lazav become a copy of a creature card exiled with it until end of turn.","B,U","B,U",rare,MKM,Murders at Karlov Manor,318,2,3,,Investigate
"Lazav, Wearer of Faces",{U}{B},2.0,Legendary Creature — Shapeshifter Detective,"Whenever Lazav attacks, exile target card from a graveyard, then investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Whenever you sacrifice a Clue, you may have Lazav become a copy of a creature card exiled with it until end of turn.","B,U","B,U",rare,MKM,Murders at Karlov Manor,366,2,3,,Investigate
"Lazav, Wearer of Faces",{U}{B},2.0,Legendary Creature — Shapeshifter Detective,"Whenever Lazav attacks, exile target card from a graveyard, then investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Whenever you sacrifice a Clue, you may have Lazav become a copy of a creature card exiled with it until end of turn.","B,U","B,U",rare,MKM,Murders at Karlov Manor,216,2,3,,Investigate
"Lazav, Wearer of Faces",{U}{B},2.0,Legendary Creature — Shapeshifter Detective,"Whenever Lazav attacks, exile target card from a graveyard, then investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Whenever you sacrifice a Clue, you may have Lazav become a copy of a creature card exiled with it until end of turn.","B,U","B,U",rare,PMKM,Murders at Karlov Manor Promos,216s,2,3,,Investigate
"Leatherhead, Swamp Stalker",{2}{G}{G},4.0,Legendary Creature — Crocodile Mutant Rogue,"Trample
Leatherhead enters with a hexproof counter on her.
Whenever Leatherhead deals combat damage to a player, you may remove a counter from her. When you do, destroy target artifact or enchantment that player controls.",G,G,rare,TMT,Teenage Mutant Ninja Turtles,272,5,4,,Trample
"Leatherhead, Swamp Stalker",{2}{G}{G},4.0,Legendary Creature — Crocodile Mutant Rogue,"Trample
Leatherhead enters with a hexproof counter on her.
Whenever Leatherhead deals combat damage to a player, you may remove a counter from her. When you do, destroy target artifact or enchantment that player controls.",G,G,rare,TMT,Teenage Mutant Ninja Turtles,117,5,4,,Trample
Leering Onlooker,{1}{B},2.0,Creature — Vampire,"Flying
{2}{B}{B}, Exile this card from your graveyard: Create two tapped 1/1 black Bat creature tokens with flying.",B,B,uncommon,MKM,Murders at Karlov Manor,91,1,3,,Flying
"Leonardo, Big Brother",{2}{W},3.0,Legendary Creature — Mutant Ninja Turtle,"Sneak {W} (You may cast this spell for {W} if you also return an unblocked attacker you control to hand during the declare blockers step. He enters tapped and attacking.)
Leonardo gets +1/+0 for each other creature you control.",W,W,common,TMT,Teenage Mutant Ninja Turtles,14,1,3,,Sneak
"Leonardo, Cutting Edge",{1}{W},2.0,Legendary Creature — Mutant Ninja Turtle,"Sneak {W} (You may cast this spell for {W} if you also return an unblocked attacker you control to hand during the declare blockers step. He enters tapped and attacking.)
Lifelink
Whenever you gain life, put a +1/+1 counter on Leonardo.",W,W,mythic,TMT,Teenage Mutant Ninja Turtles,281,1,1,,Lifelink;Sneak
"Leonardo, Cutting Edge",{1}{W},2.0,Legendary Creature — Mutant Ninja Turtle,"Sneak {W} (You may cast this spell for {W} if you also return an unblocked attacker you control to hand during the declare blockers step. He enters tapped and attacking.)
Lifelink
Whenever you gain life, put a +1/+1 counter on Leonardo.",W,W,mythic,TMT,Teenage Mutant Ninja Turtles,291,1,1,,Lifelink;Sneak
"Leonardo, Cutting Edge",{1}{W},2.0,Legendary Creature — Mutant Ninja Turtle,"Sneak {W} (You may cast this spell for {W} if you also return an unblocked attacker you control to hand during the declare blockers step. He enters tapped and attacking.)
Lifelink
Whenever you gain life, put a +1/+1 counter on Leonardo.",W,W,rare,TMT,Teenage Mutant Ninja Turtles,15,1,1,,Lifelink;Sneak
"Leonardo, Cutting Edge",{1}{W},2.0,Legendary Creature — Mutant Ninja Turtle,"Sneak {W} (You may cast this spell for {W} if you also return an unblocked attacker you control to hand during the declare blockers step. He enters tapped and attacking.)
Lifelink
Whenever you gain life, put a +1/+1 counter on Leonardo.",W,W,rare,TMT,Teenage Mutant Ninja Turtles,211,1,1,,Lifelink;Sneak
"Leonardo, Leader in Blue",{W},1.0,Legendary Creature — Mutant Ninja Turtle,"Sneak {3}{W}{W} (You may cast this spell for {3}{W}{W} if you also return an unblocked attacker you control to hand during the declare blockers step. He enters tapped and attacking.)
When Leonardo enters, if his sneak cost was paid, creatures you control get +2/+0 until end of turn.
{1}{W}: Leonardo gains first strike until end of turn.",W,W,uncommon,TMT,Teenage Mutant Ninja Turtles,196,2,1,,Sneak
"Leonardo, Leader in Blue",{W},1.0,Legendary Creature — Mutant Ninja Turtle,"Sneak {3}{W}{W} (You may cast this spell for {3}{W}{W} if you also return an unblocked attacker you control to hand during the declare blockers step. He enters tapped and attacking.)
When Leonardo enters, if his sneak cost was paid, creatures you control get +2/+0 until end of turn.
{1}{W}: Leonardo gains first strike until end of turn.",W,W,uncommon,TMT,Teenage Mutant Ninja Turtles,16,2,1,,Sneak
"Leonardo, Sewer Samurai",{3}{W},4.0,Legendary Creature — Mutant Ninja Turtle Samurai,"Sneak {2}{W}{W}
Double strike
During your turn, you may cast creature spells with power or toughness 1 or less from your graveyard. If you cast a spell this way, that creature enters with a finality counter on it. (If a creature with a finality counter on it would die, exile it instead.)",W,W,mythic,TMT,Teenage Mutant Ninja Turtles,17,3,3,,Double strike;Sneak
"Leonardo, Sewer Samurai",{3}{W},4.0,Legendary Creature — Mutant Ninja Turtle Samurai,"Sneak {2}{W}{W}
Double strike
During your turn, you may cast creature spells with power or toughness 1 or less from your graveyard. If you cast a spell this way, that creature enters with a finality counter on it. (If a creature with a finality counter on it would die, exile it instead.)",W,W,mythic,TMT,Teenage Mutant Ninja Turtles,215,3,3,,Double strike;Sneak
"Leonardo, Sewer Samurai",{3}{W},4.0,Legendary Creature — Mutant Ninja Turtle Samurai,"Sneak {2}{W}{W}
Double strike
During your turn, you may cast creature spells with power or toughness 1 or less from your graveyard. If you cast a spell this way, that creature enters with a finality counter on it. (If a creature with a finality counter on it would die, exile it instead.)",W,W,mythic,TMT,Teenage Mutant Ninja Turtles,301,3,3,,Double strike;Sneak
Leonin Skyhunter,{W}{W},2.0,Creature — Cat Knight,Flying,W,W,uncommon,9ED,Ninth Edition,25,2,2,,Flying
Leonin Skyhunter,{W}{W},2.0,Creature — Cat Knight,Flying,W,W,uncommon,DDG,Duel Decks: Knights vs. Dragons,7,2,2,,Flying
Leonin Skyhunter,{W}{W},2.0,Creature — Cat Knight,Flying,W,W,uncommon,FDN,Foundations,498,2,2,,Flying
Leonin Skyhunter,{W}{W},2.0,Creature — Cat Knight,Flying,W,W,uncommon,MRD,Mirrodin,11,2,2,,Flying
Leonin Skyhunter,{W}{W},2.0,Creature — Cat Knight,Flying,W,W,uncommon,9ED,Ninth Edition,25★,2,2,,Flying
