name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Stalactite Stalker,{B},1.0,Creature — Goblin Rogue,"Menace
At the beginning of your end step, if you descended this turn, put a +1/+1 counter on this creature. (You descended if a permanent card was put into your graveyard from anywhere.)
{2}{B}, Sacrifice this creature: Target creature gets -X/-X until end of turn, where X is this creature's power.",B,B,rare,LCI,The Lost Caverns of Ixalan,370,1,1,,Menace
Stalactite Stalker,{B},1.0,Creature — Goblin Rogue,"Menace
At the beginning of your end step, if you descended this turn, put a +1/+1 counter on this creature. (You descended if a permanent card was put into your graveyard from anywhere.)
{2}{B}, Sacrifice this creature: Target creature gets -X/-X until end of turn, where X is this creature's power.",B,B,rare,PLCI,The Lost Caverns of Ixalan Promos,122s,1,1,,Menace
Stalked Researcher,{1}{U},2.0,Creature — Human Wizard,"Defender
Eerie — Whenever an enchantment you control enters and whenever you fully unlock a Room, this creature can attack this turn as though it didn't have defender.",U,U,common,DSK,Duskmourn: House of Horror,73,3,3,,Defender;Eerie
Stalwart Successor,{1}{B}{G},3.0,Creature — Human Warrior,"Menace (This creature can't be blocked except by two or more creatures.)
Whenever one or more counters are put on a creature you control, if it's the first time counters have been put on that creature this turn, put a +1/+1 counter on that creature.","B,G","B,G",uncommon,TDM,Tarkir: Dragonstorm,227,3,2,,Menace
Stampeding Scurryfoot,{G},1.0,Creature — Mouse,Exhaust — {3}{G}: Put a +1/+1 counter on this creature. Create a 3/3 green Elephant creature token. (Activate each exhaust ability only once.),G,G,common,DFT,Aetherdrift,181,1,1,,Exhaust
Star Charter,{3}{W},4.0,Creature — Bat Cleric,"Flying
At the beginning of your end step, if you gained or lost life this turn, look at the top four cards of your library. You may reveal a creature card with power 3 or less from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",W,W,uncommon,BLB,Bloomburrow,33,3,1,,Flying
Starbreach Whale,{4}{U},5.0,Creature — Whale,"Flying
When this creature enters, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)
Warp {1}{U} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",U,U,common,EOE,Edge of Eternities,77,3,5,,Flying;Surveil;Warp
Starfield Shepherd,{3}{W}{W},5.0,Creature — Angel,"Flying
When this creature enters, search your library for a basic Plains card or a creature card with mana value 1 or less, reveal it, put it into your hand, then shuffle.
Warp {1}{W} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",W,W,uncommon,EOE,Edge of Eternities,37,3,2,,Flying;Warp
Starfield Shepherd,{3}{W}{W},5.0,Creature — Angel,"Flying
When this creature enters, search your library for a basic Plains card or a creature card with mana value 1 or less, reveal it, put it into your hand, then shuffle.
Warp {1}{W} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",W,W,uncommon,EOE,Edge of Eternities,393,3,2,,Flying;Warp
Starfield Vocalist,{3}{U},4.0,Creature — Human Bard,"If a permanent entering the battlefield causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.
Warp {1}{U} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",U,U,rare,PEOE,Edge of Eternities Promos,78s,3,4,,Warp
Starfield Vocalist,{3}{U},4.0,Creature — Human Bard,"If a permanent entering the battlefield causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.
Warp {1}{U} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",U,U,rare,EOE,Edge of Eternities,328,3,4,,Warp
Starfield Vocalist,{3}{U},4.0,Creature — Human Bard,"If a permanent entering the battlefield causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.
Warp {1}{U} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",U,U,rare,PEOE,Edge of Eternities Promos,78p,3,4,,Warp
Starfield Vocalist,{3}{U},4.0,Creature — Human Bard,"If a permanent entering the battlefield causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.
Warp {1}{U} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",U,U,mythic,EOE,Edge of Eternities,385,3,4,,Warp
Starfield Vocalist,{3}{U},4.0,Creature — Human Bard,"If a permanent entering the battlefield causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.
Warp {1}{U} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",U,U,rare,EOE,Edge of Eternities,78,3,4,,Warp
Starfield Vocalist,{3}{U},4.0,Creature — Human Bard,"If a permanent entering the battlefield causes a triggered ability of a permanent you control to trigger, that ability triggers an additional time.
Warp {1}{U} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)",U,U,mythic,EOE,Edge of Eternities,359,3,4,,Warp
Starfighter Pilot,{1}{W},2.0,Creature — Human Pilot,"Whenever this creature becomes tapped, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",W,W,common,EOE,Edge of Eternities,38,2,2,,Surveil
