name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
"Taigam, Master Opportunist",{1}{U},2.0,Legendary Creature — Human Monk,"Flurry — Whenever you cast your second spell each turn, copy it, then exile the spell you cast with four time counters on it. If it doesn't have suspend, it gains suspend. (At the beginning of its owner's upkeep, they remove a time counter. When the last is removed, they may play it without paying its mana cost. If it's a creature, it has haste.)",U,U,mythic,TDM,Tarkir: Dragonstorm,335,2,2,,Flurry
"Taigam, Master Opportunist",{1}{U},2.0,Legendary Creature — Human Monk,"Flurry — Whenever you cast your second spell each turn, copy it, then exile the spell you cast with four time counters on it. If it doesn't have suspend, it gains suspend. (At the beginning of its owner's upkeep, they remove a time counter. When the last is removed, they may play it without paying its mana cost. If it's a creature, it has haste.)",U,U,mythic,PTDM,Tarkir: Dragonstorm Promos,60p,2,2,,Flurry
"Taigam, Master Opportunist",{1}{U},2.0,Legendary Creature — Human Monk,"Flurry — Whenever you cast your second spell each turn, copy it, then exile the spell you cast with four time counters on it. If it doesn't have suspend, it gains suspend. (At the beginning of its owner's upkeep, they remove a time counter. When the last is removed, they may play it without paying its mana cost. If it's a creature, it has haste.)",U,U,mythic,TDM,Tarkir: Dragonstorm,60,2,2,,Flurry
"Taigam, Master Opportunist",{1}{U},2.0,Legendary Creature — Human Monk,"Flurry — Whenever you cast your second spell each turn, copy it, then exile the spell you cast with four time counters on it. If it doesn't have suspend, it gains suspend. (At the beginning of its owner's upkeep, they remove a time counter. When the last is removed, they may play it without paying its mana cost. If it's a creature, it has haste.)",U,U,mythic,PTDM,Tarkir: Dragonstorm Promos,60s,2,2,,Flurry
"Taii Wakeen, Perfect Shot",{R}{W},2.0,Legendary Creature — Human Mercenary,"Whenever a source you control deals noncombat damage to a creature equal to that creature's toughness, draw a card.
{X}, {T}: If a source you control would deal noncombat damage to a permanent or player this turn, it deals that much damage plus X instead.","R,W","R,W",rare,OTJ,Outlaws of Thunder Junction,234,2,3,,
"Taii Wakeen, Perfect Shot",{R}{W},2.0,Legendary Creature — Human Mercenary,"Whenever a source you control deals noncombat damage to a creature equal to that creature's toughness, draw a card.
{X}, {T}: If a source you control would deal noncombat damage to a permanent or player this turn, it deals that much damage plus X instead.","R,W","R,W",rare,OTJ,Outlaws of Thunder Junction,365,2,3,,
"Taii Wakeen, Perfect Shot",{R}{W},2.0,Legendary Creature — Human Mercenary,"Whenever a source you control deals noncombat damage to a creature equal to that creature's toughness, draw a card.
{X}, {T}: If a source you control would deal noncombat damage to a permanent or player this turn, it deals that much damage plus X instead.","R,W","R,W",rare,POTJ,Outlaws of Thunder Junction Promos,234s,2,3,,
"Taii Wakeen, Perfect Shot",{R}{W},2.0,Legendary Creature — Human Mercenary,"Whenever a source you control deals noncombat damage to a creature equal to that creature's toughness, draw a card.
{X}, {T}: If a source you control would deal noncombat damage to a permanent or player this turn, it deals that much damage plus X instead.","R,W","R,W",rare,POTJ,Outlaws of Thunder Junction Promos,234p,2,3,,
Tajuru Pathwarden,{4}{G},5.0,Creature — Elf Warrior Ally,"Vigilance (Attacking doesn't cause this creature to tap.)
Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)",G,G,common,J21,Jumpstart: Historic Horizons,650,5,4,,Vigilance;Trample
Tajuru Pathwarden,{4}{G},5.0,Creature — Elf Warrior Ally,"Vigilance (Attacking doesn't cause this creature to tap.)
Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)",G,G,common,PLST,The List,OGW-145,5,4,,Vigilance;Trample
Tajuru Pathwarden,{4}{G},5.0,Creature — Elf Warrior Ally,"Vigilance (Attacking doesn't cause this creature to tap.)
Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)",G,G,common,J25,Foundations Jumpstart,722,5,4,,Vigilance;Trample
Tajuru Pathwarden,{4}{G},5.0,Creature — Elf Warrior Ally,"Vigilance (Attacking doesn't cause this creature to tap.)
Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)",G,G,common,OGW,Oath of the Gatewatch,145,5,4,,Vigilance;Trample
Tajuru Pathwarden,{4}{G},5.0,Creature — Elf Warrior Ally,"Vigilance (Attacking doesn't cause this creature to tap.)
Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)",G,G,common,FDN,Foundations,558,5,4,,Vigilance;Trample
Talion's Messenger,{2}{U},3.0,Creature — Faerie Noble,"Flying
Whenever you attack with one or more Faeries, draw a card, then discard a card. When you discard a card this way, put a +1/+1 counter on target Faerie you control.",U,U,rare,WOE,Wilds of Eldraine,73,1,3,,Flying
Talion's Messenger,{2}{U},3.0,Creature — Faerie Noble,"Flying
Whenever you attack with one or more Faeries, draw a card, then discard a card. When you discard a card this way, put a +1/+1 counter on target Faerie you control.",U,U,rare,PWOE,Wilds of Eldraine Promos,73p,1,3,,Flying
Talion's Messenger,{2}{U},3.0,Creature — Faerie Noble,"Flying
Whenever you attack with one or more Faeries, draw a card, then discard a card. When you discard a card this way, put a +1/+1 counter on target Faerie you control.",U,U,rare,WOE,Wilds of Eldraine,335,1,3,,Flying
Talion's Messenger,{2}{U},3.0,Creature — Faerie Noble,"Flying
Whenever you attack with one or more Faeries, draw a card, then discard a card. When you discard a card this way, put a +1/+1 counter on target Faerie you control.",U,U,rare,PWOE,Wilds of Eldraine Promos,73s,1,3,,Flying
"Talion, the Kindly Lord",{2}{U}{B},4.0,Legendary Creature — Faerie Noble,"Flying
As Talion enters, choose a number between 1 and 10.
Whenever an opponent casts a spell with mana value, power, or toughness equal to the chosen number, that player loses 2 life and you draw a card.","B,U","B,U",mythic,PWOE,Wilds of Eldraine Promos,215s,3,4,,Flying
"Talion, the Kindly Lord",{2}{U}{B},4.0,Legendary Creature — Faerie Noble,"Flying
As Talion enters, choose a number between 1 and 10.
Whenever an opponent casts a spell with mana value, power, or toughness equal to the chosen number, that player loses 2 life and you draw a card.","B,U","B,U",mythic,WOE,Wilds of Eldraine,215,3,4,,Flying
"Talion, the Kindly Lord",{2}{U}{B},4.0,Legendary Creature — Faerie Noble,"Flying
As Talion enters, choose a number between 1 and 10.
Whenever an opponent casts a spell with mana value, power, or toughness equal to the chosen number, that player loses 2 life and you draw a card.","B,U","B,U",mythic,PWOE,Wilds of Eldraine Promos,215p,3,4,,Flying
"Talion, the Kindly Lord",{2}{U}{B},4.0,Legendary Creature — Faerie Noble,"Flying
As Talion enters, choose a number between 1 and 10.
Whenever an opponent casts a spell with mana value, power, or toughness equal to the chosen number, that player loses 2 life and you draw a card.","B,U","B,U",mythic,WOE,Wilds of Eldraine,301,3,4,,Flying
"Tam, Mindful First-Year",{1}{G/U},2.0,Legendary Creature — Gorgon Wizard,"Each other creature you control has hexproof from each of its colors.
{T}: Target creature you control becomes all colors until end of turn.","G,U","G,U",rare,PECL,Lorwyn Eclipsed Promos,245p,2,2,,
