name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Y'shtola Rhul,{4}{U}{U},6.0,Legendary Creature — Cat Druid,"At the beginning of your end step, exile target creature you control, then return it to the battlefield under its owner's control. Then if it's the first end step of the turn, there is an additional end step after this step.",U,U,mythic,PFIN,Final Fantasy Promos,86s,3,5,,
Y'shtola Rhul,{4}{U}{U},6.0,Legendary Creature — Cat Druid,"At the beginning of your end step, exile target creature you control, then return it to the battlefield under its owner's control. Then if it's the first end step of the turn, there is an additional end step after this step.",U,U,mythic,FIN,Final Fantasy,577,3,5,,
Y'shtola Rhul,{4}{U}{U},6.0,Legendary Creature — Cat Druid,"At the beginning of your end step, exile target creature you control, then return it to the battlefield under its owner's control. Then if it's the first end step of the turn, there is an additional end step after this step.",U,U,mythic,FIN,Final Fantasy,443,3,5,,
Y'shtola Rhul,{4}{U}{U},6.0,Legendary Creature — Cat Druid,"At the beginning of your end step, exile target creature you control, then return it to the battlefield under its owner's control. Then if it's the first end step of the turn, there is an additional end step after this step.",U,U,mythic,FIN,Final Fantasy,86,3,5,,
"Yarus, Roar of the Old Gods",{2}{R}{G},4.0,Legendary Creature — Centaur Druid,"Other creatures you control have haste.
Whenever one or more face-down creatures you control deal combat damage to a player, draw a card.
Whenever a face-down creature you control dies, return it to the battlefield face down under its owner's control if it's a permanent card, then turn it face up.","G,R","G,R",rare,PMKM,Murders at Karlov Manor Promos,245s,4,4,,
"Yarus, Roar of the Old Gods",{2}{R}{G},4.0,Legendary Creature — Centaur Druid,"Other creatures you control have haste.
Whenever one or more face-down creatures you control deal combat damage to a player, draw a card.
Whenever a face-down creature you control dies, return it to the battlefield face down under its owner's control if it's a permanent card, then turn it face up.","G,R","G,R",rare,MKM,Murders at Karlov Manor,375,4,4,,
"Yarus, Roar of the Old Gods",{2}{R}{G},4.0,Legendary Creature — Centaur Druid,"Other creatures you control have haste.
Whenever one or more face-down creatures you control deal combat damage to a player, draw a card.
Whenever a face-down creature you control dies, return it to the battlefield face down under its owner's control if it's a permanent card, then turn it face up.","G,R","G,R",rare,PMKM,Murders at Karlov Manor Promos,245p,4,4,,
"Yarus, Roar of the Old Gods",{2}{R}{G},4.0,Legendary Creature — Centaur Druid,"Other creatures you control have haste.
Whenever one or more face-down creatures you control deal combat damage to a player, draw a card.
Whenever a face-down creature you control dies, return it to the battlefield face down under its owner's control if it's a permanent card, then turn it face up.","G,R","G,R",rare,MKM,Murders at Karlov Manor,245,4,4,,
Yathan Roadwatcher,{1}{W}{B}{G},4.0,Creature — Human Scout,"When this creature enters, if you cast it, mill four cards. When you do, return target creature card with mana value 3 or less from your graveyard to the battlefield.","B,G,W","B,G,W",rare,TDM,Tarkir: Dragonstorm,375,3,3,,Mill
Yathan Roadwatcher,{1}{W}{B}{G},4.0,Creature — Human Scout,"When this creature enters, if you cast it, mill four cards. When you do, return target creature card with mana value 3 or less from your graveyard to the battlefield.","B,G,W","B,G,W",rare,TDM,Tarkir: Dragonstorm,236,3,3,,Mill
Yathan Roadwatcher,{1}{W}{B}{G},4.0,Creature — Human Scout,"When this creature enters, if you cast it, mill four cards. When you do, return target creature card with mana value 3 or less from your graveyard to the battlefield.","B,G,W","B,G,W",rare,PTDM,Tarkir: Dragonstorm Promos,236s,3,3,,Mill
Yathan Roadwatcher,{1}{W}{B}{G},4.0,Creature — Human Scout,"When this creature enters, if you cast it, mill four cards. When you do, return target creature card with mana value 3 or less from your graveyard to the battlefield.","B,G,W","B,G,W",rare,PTDM,Tarkir: Dragonstorm Promos,236p,3,3,,Mill
Yathan Tombguard,{2}{B},3.0,Creature — Human Warrior,"Menace (This creature can't be blocked except by two or more creatures.)
Whenever a creature you control with a counter on it deals combat damage to a player, you draw a card and you lose 1 life.",B,B,uncommon,TDM,Tarkir: Dragonstorm,100,2,3,,Menace
