name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Dazzling Theater // Prop Room,{3}{W} // {2}{W},7.0,Enchantment — Room // Enchantment — Room,,W,W,rare,PDSK,Duskmourn: House of Horror Promos,3s,,,,
Dazzling Theater // Prop Room,{3}{W} // {2}{W},7.0,Enchantment — Room // Enchantment — Room,,W,W,rare,DSK,Duskmourn: House of Horror,3,,,,
Dazzling Theater // Prop Room,{3}{W} // {2}{W},7.0,Enchantment — Room // Enchantment — Room,,W,W,rare,DSK,Duskmourn: House of Horror,334,,,,
Dazzling Theater // Prop Room,{3}{W} // {2}{W},7.0,Enchantment — Room // Enchantment — Room,,W,W,rare,PDSK,Duskmourn: House of Horror Promos,3p,,,,
Dead Weight,{B},1.0,Enchantment — Aura,"Enchant creature
Enchanted creature gets -2/-2.",B,B,common,PLST,The List,GRN-67,,,,Enchant
Dead Weight,{B},1.0,Enchantment — Aura,"Enchant creature
Enchanted creature gets -2/-2.",B,B,common,J22,Jumpstart 2022,393,,,,Enchant
Dead Weight,{B},1.0,Enchantment — Aura,"Enchant creature
Enchanted creature gets -2/-2.",B,B,common,ISD,Innistrad,96,,,,Enchant
Dead Weight,{B},1.0,Enchantment — Aura,"Enchant creature
Enchanted creature gets -2/-2.",B,B,common,LCI,The Lost Caverns of Ixalan,99,,,,Enchant
Dead Weight,{B},1.0,Enchantment — Aura,"Enchant creature
Enchanted creature gets -2/-2.",B,B,common,GRN,Guilds of Ravnica,67,,,,Enchant
Dead Weight,{B},1.0,Enchantment — Aura,"Enchant creature
Enchanted creature gets -2/-2.",B,B,common,SIR,Shadows over Innistrad Remastered,106,,,,Enchant
Dead Weight,{B},1.0,Enchantment — Aura,"Enchant creature
Enchanted creature gets -2/-2.",B,B,common,IKO,Ikoria: Lair of Behemoths,83,,,,Enchant
Dead Weight,{B},1.0,Enchantment — Aura,"Enchant creature
Enchanted creature gets -2/-2.",B,B,common,SOI,Shadows over Innistrad,106,,,,Enchant
Deeproot Pilgrimage,{1}{U},2.0,Enchantment,"Whenever one or more nontoken Merfolk you control become tapped, create a 1/1 blue Merfolk creature token with hexproof.",U,U,rare,PLCI,The Lost Caverns of Ixalan Promos,52p,,,,
Deeproot Pilgrimage,{1}{U},2.0,Enchantment,"Whenever one or more nontoken Merfolk you control become tapped, create a 1/1 blue Merfolk creature token with hexproof.",U,U,rare,LCI,The Lost Caverns of Ixalan,361,,,,
Deeproot Pilgrimage,{1}{U},2.0,Enchantment,"Whenever one or more nontoken Merfolk you control become tapped, create a 1/1 blue Merfolk creature token with hexproof.",U,U,rare,PLCI,The Lost Caverns of Ixalan Promos,52s,,,,
Deeproot Pilgrimage,{1}{U},2.0,Enchantment,"Whenever one or more nontoken Merfolk you control become tapped, create a 1/1 blue Merfolk creature token with hexproof.",U,U,rare,LCI,The Lost Caverns of Ixalan,52,,,,
Defiled Crypt // Cadaver Lab,{3}{B} // {B},5.0,Enchantment — Room // Enchantment — Room,,B,B,uncommon,DSK,Duskmourn: House of Horror,91,,,,
Demonic Pact,{2}{B}{B},4.0,Enchantment,"At the beginning of your upkeep, choose one that hasn't been chosen —
• This enchantment deals 4 damage to any target and you gain 4 life.
• Target opponent discards two cards.
• Draw two cards.
• You lose the game.",B,B,mythic,FDN,Foundations,602,,,,
Demonic Pact,{2}{B}{B},4.0,Enchantment,"At the beginning of your upkeep, choose one that hasn't been chosen —
• This enchantment deals 4 damage to any target and you gain 4 life.
• Target opponent discards two cards.
• Draw two cards.
• You lose the game.",B,B,mythic,ORI,Magic Origins,92,,,,
Demonic Pact,{2}{B}{B},4.0,Enchantment,"At the beginning of your upkeep, choose one that hasn't been chosen —
• This enchantment deals 4 damage to any target and you gain 4 life.
• Target opponent discards two cards.
• Draw two cards.
• You lose the game.",B,B,mythic,AKR,Amonkhet Remastered,99,,,,
Demonic Ruckus,{1}{R},2.0,Enchantment — Aura,"Enchant creature
Enchanted creature gets +1/+1 and has menace and trample.
When this Aura is put into a graveyard from the battlefield, draw a card.
Plot {R} (You may pay {R} and exile this card from your hand. Cast it as a sorcery on a later turn without paying its mana cost. Plot only as a sorcery.)",R,R,uncommon,OTJ,Outlaws of Thunder Junction,120,,,,Plot;Enchant
Derelict Attic // Widow's Walk,{2}{B} // {3}{B},7.0,Enchantment — Room // Enchantment — Room,,B,B,common,DSK,Duskmourn: House of Horror,93,,,,
