name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Gadwick's First Duel,{1}{U},2.0,Enchantment — Saga,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Create a Cursed Role token attached to up to one target creature. (If you control another Role on it, put that one into the graveyard. Enchanted creature is 1/1.)
II — Scry 2.
III — When you next cast an instant or sorcery spell with mana value 3 or less this turn, copy that spell. You may choose new targets for the copy.",U,U,uncommon,WOE,Wilds of Eldraine,51,,,,Role token;Scry
Garruk's Uprising,{2}{G},3.0,Enchantment,"When this enchantment enters, if you control a creature with power 4 or greater, draw a card.
Creatures you control have trample. (Each of those creatures can deal excess combat damage to the player or planeswalker it's attacking.)
Whenever a creature you control with power 4 or greater enters, draw a card.",G,G,uncommon,BLC,Bloomburrow Commander,219,,,,
Garruk's Uprising,{2}{G},3.0,Enchantment,"When this enchantment enters, if you control a creature with power 4 or greater, draw a card.
Creatures you control have trample. (Each of those creatures can deal excess combat damage to the player or planeswalker it's attacking.)
Whenever a creature you control with power 4 or greater enters, draw a card.",G,G,uncommon,SCD,Starter Commander Decks,185,,,,
Garruk's Uprising,{2}{G},3.0,Enchantment,"When this enchantment enters, if you control a creature with power 4 or greater, draw a card.
Creatures you control have trample. (Each of those creatures can deal excess combat damage to the player or planeswalker it's attacking.)
Whenever a creature you control with power 4 or greater enters, draw a card.",G,G,uncommon,FDN,Foundations,220,,,,
Garruk's Uprising,{2}{G},3.0,Enchantment,"When this enchantment enters, if you control a creature with power 4 or greater, draw a card.
Creatures you control have trample. (Each of those creatures can deal excess combat damage to the player or planeswalker it's attacking.)
Whenever a creature you control with power 4 or greater enters, draw a card.",G,G,uncommon,M21,Core Set 2021,186,,,,
Garruk's Uprising,{2}{G},3.0,Enchantment,"When this enchantment enters, if you control a creature with power 4 or greater, draw a card.
Creatures you control have trample. (Each of those creatures can deal excess combat damage to the player or planeswalker it's attacking.)
Whenever a creature you control with power 4 or greater enters, draw a card.",G,G,uncommon,WOT,Wilds of Eldraine: Enchanting Tales,53,,,,
Garruk's Uprising,{2}{G},3.0,Enchantment,"When this enchantment enters, if you control a creature with power 4 or greater, draw a card.
Creatures you control have trample. (Each of those creatures can deal excess combat damage to the player or planeswalker it's attacking.)
Whenever a creature you control with power 4 or greater enters, draw a card.",G,G,uncommon,AFC,Forgotten Realms Commander,159,,,,
Garruk's Uprising,{2}{G},3.0,Enchantment,"When this enchantment enters, if you control a creature with power 4 or greater, draw a card.
Creatures you control have trample. (Each of those creatures can deal excess combat damage to the player or planeswalker it's attacking.)
Whenever a creature you control with power 4 or greater enters, draw a card.",G,G,uncommon,PLST,The List,M21-186,,,,
Garruk's Uprising,{2}{G},3.0,Enchantment,"When this enchantment enters, if you control a creature with power 4 or greater, draw a card.
Creatures you control have trample. (Each of those creatures can deal excess combat damage to the player or planeswalker it's attacking.)
Whenever a creature you control with power 4 or greater enters, draw a card.",G,G,uncommon,M21,Core Set 2021,308,,,,
Garruk's Uprising,{2}{G},3.0,Enchantment,"When this enchantment enters, if you control a creature with power 4 or greater, draw a card.
Creatures you control have trample. (Each of those creatures can deal excess combat damage to the player or planeswalker it's attacking.)
Whenever a creature you control with power 4 or greater enters, draw a card.",G,G,uncommon,NCC,New Capenna Commander,292,,,,
