name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Illicit Masquerade,{3}{B},4.0,Enchantment,"Flash
When this enchantment enters, put an impostor counter on each creature you control.
Whenever a creature you control with an impostor counter on it dies, exile it. Return up to one other target creature card from your graveyard to the battlefield.",B,B,rare,MKM,Murders at Karlov Manor,88,,,,Flash
Illicit Masquerade,{3}{B},4.0,Enchantment,"Flash
When this enchantment enters, put an impostor counter on each creature you control.
Whenever a creature you control with an impostor counter on it dies, exile it. Return up to one other target creature card from your graveyard to the battlefield.",B,B,rare,PMKM,Murders at Karlov Manor Promos,88p,,,,Flash
Illicit Masquerade,{3}{B},4.0,Enchantment,"Flash
When this enchantment enters, put an impostor counter on each creature you control.
Whenever a creature you control with an impostor counter on it dies, exile it. Return up to one other target creature card from your graveyard to the battlefield.",B,B,rare,PMKM,Murders at Karlov Manor Promos,88s,,,,Flash
Illicit Masquerade,{3}{B},4.0,Enchantment,"Flash
When this enchantment enters, put an impostor counter on each creature you control.
Whenever a creature you control with an impostor counter on it dies, exile it. Return up to one other target creature card from your graveyard to the battlefield.",B,B,rare,MKM,Murders at Karlov Manor,401,,,,Flash
Impact Tremors,{1}{R},2.0,Enchantment,"Whenever a creature you control enters, this enchantment deals 1 damage to each opponent.",R,R,common,MOC,March of the Machine Commander,285,,,,
Impact Tremors,{1}{R},2.0,Enchantment,"Whenever a creature you control enters, this enchantment deals 1 damage to each opponent.",R,R,rare,SLD,Secret Lair Drop,1999,,,,
Impact Tremors,{1}{R},2.0,Enchantment,"Whenever a creature you control enters, this enchantment deals 1 damage to each opponent.",R,R,common,DTK,Dragons of Tarkir,140,,,,
Impact Tremors,{1}{R},2.0,Enchantment,"Whenever a creature you control enters, this enchantment deals 1 damage to each opponent.",R,R,common,PLST,The List,DTK-140,,,,
Impact Tremors,{1}{R},2.0,Enchantment,"Whenever a creature you control enters, this enchantment deals 1 damage to each opponent.",R,R,rare,SLD,Secret Lair Drop,313,,,,
Impact Tremors,{1}{R},2.0,Enchantment,"Whenever a creature you control enters, this enchantment deals 1 damage to each opponent.",R,R,common,FDN,Foundations,717,,,,
Impact Tremors,{1}{R},2.0,Enchantment,"Whenever a creature you control enters, this enchantment deals 1 damage to each opponent.",R,R,uncommon,WOT,Wilds of Eldraine: Enchanting Tales,44,,,,
Impostor Syndrome,{4}{U}{U},6.0,Enchantment,"Whenever a nontoken creature you control deals combat damage to a player, create a token that's a copy of it, except it isn't legendary.",U,U,mythic,SPM,Marvel's Spider-Man,34,,,,
Impostor Syndrome,{4}{U}{U},6.0,Enchantment,"Whenever a nontoken creature you control deals combat damage to a player, create a token that's a copy of it, except it isn't legendary.",U,U,mythic,PSPM,Marvel's Spider-Man Promos,34s,,,,
Impostor Syndrome,{4}{U}{U},6.0,Enchantment,"Whenever a nontoken creature you control deals combat damage to a player, create a token that's a copy of it, except it isn't legendary.",U,U,mythic,SPM,Marvel's Spider-Man,251,,,,
Impostor Syndrome,{4}{U}{U},6.0,Enchantment,"Whenever a nontoken creature you control deals combat damage to a player, create a token that's a copy of it, except it isn't legendary.",U,U,mythic,OM1,Through the Omenpaths,32,,,,
Imprisoned in the Moon,{2}{U},3.0,Enchantment — Aura,"Enchant creature, land, or planeswalker
Enchanted permanent is a colorless land with ""{T}: Add {C}"" and loses all other card types and abilities.",U,U,common,INR,Innistrad Remastered,69,,,,Enchant
Imprisoned in the Moon,{2}{U},3.0,Enchantment — Aura,"Enchant creature, land, or planeswalker
Enchanted permanent is a colorless land with ""{T}: Add {C}"" and loses all other card types and abilities.",U,U,rare,AFC,Forgotten Realms Commander,85,,,,Enchant
Imprisoned in the Moon,{2}{U},3.0,Enchantment — Aura,"Enchant creature, land, or planeswalker
Enchanted permanent is a colorless land with ""{T}: Add {C}"" and loses all other card types and abilities.",U,U,common,SIR,Shadows over Innistrad Remastered,74,,,,Enchant
Imprisoned in the Moon,{2}{U},3.0,Enchantment — Aura,"Enchant creature, land, or planeswalker
Enchanted permanent is a colorless land with ""{T}: Add {C}"" and loses all other card types and abilities.",U,U,rare,VOC,Crimson Vow Commander,106,,,,Enchant
Imprisoned in the Moon,{2}{U},3.0,Enchantment — Aura,"Enchant creature, land, or planeswalker
Enchanted permanent is a colorless land with ""{T}: Add {C}"" and loses all other card types and abilities.",U,U,rare,PEMN,Eldritch Moon Promos,65s,,,,Enchant
Imprisoned in the Moon,{2}{U},3.0,Enchantment — Aura,"Enchant creature, land, or planeswalker
Enchanted permanent is a colorless land with ""{T}: Add {C}"" and loses all other card types and abilities.",U,U,mythic,TLE,Avatar: The Last Airbender Eternal,14,,,,Enchant
Imprisoned in the Moon,{2}{U},3.0,Enchantment — Aura,"Enchant creature, land, or planeswalker
Enchanted permanent is a colorless land with ""{T}: Add {C}"" and loses all other card types and abilities.",U,U,rare,EMN,Eldritch Moon,65,,,,Enchant
Imprisoned in the Moon,{2}{U},3.0,Enchantment — Aura,"Enchant creature, land, or planeswalker
Enchanted permanent is a colorless land with ""{T}: Add {C}"" and loses all other card types and abilities.",U,U,rare,MOC,March of the Machine Commander,224,,,,Enchant
Imprisoned in the Moon,{2}{U},3.0,Enchantment — Aura,"Enchant creature, land, or planeswalker
Enchanted permanent is a colorless land with ""{T}: Add {C}"" and loses all other card types and abilities.",U,U,rare,M3C,Modern Horizons 3 Commander,188,,,,Enchant
Imprisoned in the Moon,{2}{U},3.0,Enchantment — Aura,"Enchant creature, land, or planeswalker
Enchanted permanent is a colorless land with ""{T}: Add {C}"" and loses all other card types and abilities.",U,U,rare,PEMN,Eldritch Moon Promos,65p,,,,Enchant
Imprisoned in the Moon,{2}{U},3.0,Enchantment — Aura,"Enchant creature, land, or planeswalker
Enchanted permanent is a colorless land with ""{T}: Add {C}"" and loses all other card types and abilities.",U,U,rare,SLD,Secret Lair Drop,1102,,,,Enchant
Imprisoned in the Moon,{2}{U},3.0,Enchantment — Aura,"Enchant creature, land, or planeswalker
Enchanted permanent is a colorless land with ""{T}: Add {C}"" and loses all other card types and abilities.",U,U,uncommon,FDN,Foundations,156,,,,Enchant
Imprisoned in the Moon,{2}{U},3.0,Enchantment — Aura,"Enchant creature, land, or planeswalker
Enchanted permanent is a colorless land with ""{T}: Add {C}"" and loses all other card types and abilities.",U,U,common,INR,Innistrad Remastered,358,,,,Enchant
Innkeeper's Talent,{1}{G},2.0,Enchantment — Class,"(Gain the next level as a sorcery to add its ability.)
At the beginning of combat on your turn, put a +1/+1 counter on target creature you control.
{G}: Level 2
Permanents you control with counters on them have ward {1}.
{3}{G}: Level 3
If you would put one or more counters on a permanent or player, put twice that many of each of those kinds of counters on that permanent or player instead.",G,G,rare,SLP,Secret Lair Promo,45,,,,
Innkeeper's Talent,{1}{G},2.0,Enchantment — Class,"(Gain the next level as a sorcery to add its ability.)
At the beginning of combat on your turn, put a +1/+1 counter on target creature you control.
{G}: Level 2
Permanents you control with counters on them have ward {1}.
{3}{G}: Level 3
If you would put one or more counters on a permanent or player, put twice that many of each of those kinds of counters on that permanent or player instead.",G,G,rare,BLB,Bloomburrow,180,,,,
Innkeeper's Talent,{1}{G},2.0,Enchantment — Class,"(Gain the next level as a sorcery to add its ability.)
At the beginning of combat on your turn, put a +1/+1 counter on target creature you control.
{G}: Level 2
Permanents you control with counters on them have ward {1}.
{3}{G}: Level 3
If you would put one or more counters on a permanent or player, put twice that many of each of those kinds of counters on that permanent or player instead.",G,G,rare,PBLB,Bloomburrow Promos,180s,,,,
Innkeeper's Talent,{1}{G},2.0,Enchantment — Class,"(Gain the next level as a sorcery to add its ability.)
At the beginning of combat on your turn, put a +1/+1 counter on target creature you control.
{G}: Level 2
Permanents you control with counters on them have ward {1}.
{3}{G}: Level 3
If you would put one or more counters on a permanent or player, put twice that many of each of those kinds of counters on that permanent or player instead.",G,G,rare,PBLB,Bloomburrow Promos,180p,,,,
Insidious Roots,{B}{G},2.0,Enchantment,"Creature tokens you control have ""{T}: Add one mana of any color.""
Whenever one or more creature cards leave your graveyard, create a 0/1 green Plant creature token, then put a +1/+1 counter on each Plant you control.","B,G","B,G",uncommon,MKM,Murders at Karlov Manor,208,,,,
Insidious Roots,{B}{G},2.0,Enchantment,"Creature tokens you control have ""{T}: Add one mana of any color.""
Whenever one or more creature cards leave your graveyard, create a 0/1 green Plant creature token, then put a +1/+1 counter on each Plant you control.","B,G","B,G",uncommon,MKM,Murders at Karlov Manor,313,,,,
Intimidation Campaign,{1}{U}{B},3.0,Enchantment,"When this enchantment enters, each opponent loses 1 life, you gain 1 life, and you draw a card.
Whenever you commit a crime, you may return this enchantment to its owner's hand. (It returns only from the battlefield. Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)","B,U","B,U",uncommon,OTJ,Outlaws of Thunder Junction,208,,,,
Invasion Tactics,{4}{G},5.0,Enchantment,"When this enchantment enters, creatures you control get +2/+2 until end of turn.
Whenever one or more Allies you control deal combat damage to a player, draw a card.",G,G,uncommon,TLA,Avatar: The Last Airbender,183,,,,
