name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Lassoed by the Law,{3}{W},4.0,Enchantment,"When this enchantment enters, exile target nonland permanent an opponent controls until this enchantment leaves the battlefield.
When this enchantment enters, create a 1/1 red Mercenary creature token with ""{T}: Target creature you control gets +1/+0 until end of turn. Activate only as a sorcery.""",W,W,uncommon,OTJ,Outlaws of Thunder Junction,18,,,,
Lasting Tarfire,{1}{R},2.0,Enchantment,"At the beginning of each end step, if you put a counter on a creature this turn, this enchantment deals 2 damage to each opponent.",R,R,uncommon,ECL,Lorwyn Eclipsed,149,,,,
Leader's Talent,{1}{W},2.0,Enchantment — Class,"(Gain the next level as a sorcery to add its ability.)
Whenever you attack, put a +1/+1 counter on target attacking creature.
{2}{W}: Level 2
Whenever a creature you control leaves the battlefield, if it had a counter on it, you gain 2 life.
{3}{W}: Level 3
Whenever you cast a spell, put a +1/+1 counter on each creature you control.",W,W,rare,TMT,Teenage Mutant Ninja Turtles,13,,,,
Leaves from the Vine,{1}{G},2.0,Enchantment — Saga,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Mill three cards, then create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
II — Put a +1/+1 counter on each of up to two target creatures you control.
III — Draw a card if there's a creature or Lesson card in your graveyard.",G,G,uncommon,TLA,Avatar: The Last Airbender,185,,,,Food;Mill
Leyline of Hope,{2}{W}{W},4.0,Enchantment,"If this card is in your opening hand, you may begin the game with it on the battlefield.
If you would gain life, you gain that much life plus 1 instead.
As long as you have at least 7 life more than your starting life total, creatures you control get +2/+2.",W,W,rare,DSK,Duskmourn: House of Horror,18,,,,
Leyline of Hope,{2}{W}{W},4.0,Enchantment,"If this card is in your opening hand, you may begin the game with it on the battlefield.
If you would gain life, you gain that much life plus 1 instead.
As long as you have at least 7 life more than your starting life total, creatures you control get +2/+2.",W,W,rare,PDSK,Duskmourn: House of Horror Promos,18p,,,,
Leyline of Hope,{2}{W}{W},4.0,Enchantment,"If this card is in your opening hand, you may begin the game with it on the battlefield.
If you would gain life, you gain that much life plus 1 instead.
As long as you have at least 7 life more than your starting life total, creatures you control get +2/+2.",W,W,rare,PDSK,Duskmourn: House of Horror Promos,18s,,,,
Leyline of Hope,{2}{W}{W},4.0,Enchantment,"If this card is in your opening hand, you may begin the game with it on the battlefield.
If you would gain life, you gain that much life plus 1 instead.
As long as you have at least 7 life more than your starting life total, creatures you control get +2/+2.",W,W,rare,DSK,Duskmourn: House of Horror,369,,,,
Leyline of Mutation,{2}{G}{G},4.0,Enchantment,"If this card is in your opening hand, you may begin the game with it on the battlefield.
You may pay {W}{U}{B}{R}{G} rather than pay the mana cost for spells you cast.",G,"B,G,R,U,W",rare,DSK,Duskmourn: House of Horror,188,,,,
Leyline of Mutation,{2}{G}{G},4.0,Enchantment,"If this card is in your opening hand, you may begin the game with it on the battlefield.
You may pay {W}{U}{B}{R}{G} rather than pay the mana cost for spells you cast.",G,"B,G,R,U,W",rare,PDSK,Duskmourn: House of Horror Promos,188s,,,,
Leyline of Mutation,{2}{G}{G},4.0,Enchantment,"If this card is in your opening hand, you may begin the game with it on the battlefield.
You may pay {W}{U}{B}{R}{G} rather than pay the mana cost for spells you cast.",G,"B,G,R,U,W",rare,DSK,Duskmourn: House of Horror,382,,,,
Leyline of Mutation,{2}{G}{G},4.0,Enchantment,"If this card is in your opening hand, you may begin the game with it on the battlefield.
You may pay {W}{U}{B}{R}{G} rather than pay the mana cost for spells you cast.",G,"B,G,R,U,W",rare,PDSK,Duskmourn: House of Horror Promos,188p,,,,
Leyline of Resonance,{2}{R}{R},4.0,Enchantment,"If this card is in your opening hand, you may begin the game with it on the battlefield.
Whenever you cast an instant or sorcery spell that targets only a single creature you control, copy that spell. You may choose new targets for the copy.",R,R,rare,PDSK,Duskmourn: House of Horror Promos,143s,,,,
Leyline of Resonance,{2}{R}{R},4.0,Enchantment,"If this card is in your opening hand, you may begin the game with it on the battlefield.
Whenever you cast an instant or sorcery spell that targets only a single creature you control, copy that spell. You may choose new targets for the copy.",R,R,rare,DSK,Duskmourn: House of Horror,143,,,,
Leyline of Resonance,{2}{R}{R},4.0,Enchantment,"If this card is in your opening hand, you may begin the game with it on the battlefield.
Whenever you cast an instant or sorcery spell that targets only a single creature you control, copy that spell. You may choose new targets for the copy.",R,R,rare,PDSK,Duskmourn: House of Horror Promos,143p,,,,
Leyline of Resonance,{2}{R}{R},4.0,Enchantment,"If this card is in your opening hand, you may begin the game with it on the battlefield.
Whenever you cast an instant or sorcery spell that targets only a single creature you control, copy that spell. You may choose new targets for the copy.",R,R,rare,DSK,Duskmourn: House of Horror,379,,,,
Leyline of the Guildpact,{G/W}{G/U}{B/G}{R/G},4.0,Enchantment,"If this card is in your opening hand, you may begin the game with it on the battlefield.
Each nonland permanent you control is all colors.
Lands you control are every basic land type in addition to their other types.","B,G,R,U,W","B,G,R,U,W",rare,PMKM,Murders at Karlov Manor Promos,217s,,,,
Leyline of the Guildpact,{G/W}{G/U}{B/G}{R/G},4.0,Enchantment,"If this card is in your opening hand, you may begin the game with it on the battlefield.
Each nonland permanent you control is all colors.
Lands you control are every basic land type in addition to their other types.","B,G,R,U,W","B,G,R,U,W",rare,PMKM,Murders at Karlov Manor Promos,217p,,,,
Leyline of the Guildpact,{G/W}{G/U}{B/G}{R/G},4.0,Enchantment,"If this card is in your opening hand, you may begin the game with it on the battlefield.
Each nonland permanent you control is all colors.
Lands you control are every basic land type in addition to their other types.","B,G,R,U,W","B,G,R,U,W",rare,MKM,Murders at Karlov Manor,217,,,,
Leyline of the Guildpact,{G/W}{G/U}{B/G}{R/G},4.0,Enchantment,"If this card is in your opening hand, you may begin the game with it on the battlefield.
Each nonland permanent you control is all colors.
Lands you control are every basic land type in addition to their other types.","B,G,R,U,W","B,G,R,U,W",rare,MKM,Murders at Karlov Manor,418,,,,
Leyline of the Void,{2}{B}{B},4.0,Enchantment,"If this card is in your opening hand, you may begin the game with it on the battlefield.
If a card would be put into an opponent's graveyard from anywhere, exile it instead.",B,B,rare,WOT,Wilds of Eldraine: Enchanting Tales,30,,,,
