name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Makeshift Binding,{2}{W},3.0,Enchantment,"When this enchantment enters, exile target creature an opponent controls until this enchantment leaves the battlefield. You gain 2 life.",W,W,common,MKM,Murders at Karlov Manor,23,,,,
Makeshift Binding,{2}{W},3.0,Enchantment,"When this enchantment enters, exile target creature an opponent controls until this enchantment leaves the battlefield. You gain 2 life.",W,W,common,MKM,Murders at Karlov Manor,290,,,,
March of the World Ooze,{3}{G}{G}{G},6.0,Enchantment,"Creatures you control have base power and toughness 6/6 and are Oozes in addition to their other types.
Whenever an opponent casts a spell, if it's not their turn, you create a 3/3 green Elephant creature token.",G,G,mythic,DFT,Aetherdrift,412,,,,
March of the World Ooze,{3}{G}{G}{G},6.0,Enchantment,"Creatures you control have base power and toughness 6/6 and are Oozes in addition to their other types.
Whenever an opponent casts a spell, if it's not their turn, you create a 3/3 green Elephant creature token.",G,G,mythic,DFT,Aetherdrift,402,,,,
March of the World Ooze,{3}{G}{G}{G},6.0,Enchantment,"Creatures you control have base power and toughness 6/6 and are Oozes in addition to their other types.
Whenever an opponent casts a spell, if it's not their turn, you create a 3/3 green Elephant creature token.",G,G,mythic,DFT,Aetherdrift,388,,,,
March of the World Ooze,{3}{G}{G}{G},6.0,Enchantment,"Creatures you control have base power and toughness 6/6 and are Oozes in addition to their other types.
Whenever an opponent casts a spell, if it's not their turn, you create a 3/3 green Elephant creature token.",G,G,mythic,PDFT,Aetherdrift Promos,169s,,,,
March of the World Ooze,{3}{G}{G}{G},6.0,Enchantment,"Creatures you control have base power and toughness 6/6 and are Oozes in addition to their other types.
Whenever an opponent casts a spell, if it's not their turn, you create a 3/3 green Elephant creature token.",G,G,mythic,PDFT,Aetherdrift Promos,169p,,,,
March of the World Ooze,{3}{G}{G}{G},6.0,Enchantment,"Creatures you control have base power and toughness 6/6 and are Oozes in addition to their other types.
Whenever an opponent casts a spell, if it's not their turn, you create a 3/3 green Elephant creature token.",G,G,mythic,DFT,Aetherdrift,169,,,,
March of the World Ooze,{3}{G}{G}{G},6.0,Enchantment,"Creatures you control have base power and toughness 6/6 and are Oozes in addition to their other types.
Whenever an opponent casts a spell, if it's not their turn, you create a 3/3 green Elephant creature token.",G,G,mythic,DFT,Aetherdrift,468,,,,
Maximum Carnage,{4}{R},5.0,Enchantment — Saga,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Until your next turn, each creature attacks each combat if able and attacks a player other than you if able.
II — Add {R}{R}{R}.
III — This Saga deals 5 damage to each opponent.",R,R,rare,SPM,Marvel's Spider-Man,83,,,,
