name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Obsessive Pursuit,{1}{B},2.0,Enchantment,"When this enchantment enters and at the beginning of your upkeep, you lose 1 life and create a Clue token. (It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Whenever you attack, put X +1/+1 counters on target attacking creature, where X is the number of permanents you've sacrificed this turn. If X is three or greater, that creature gains lifelink until end of turn.",B,B,rare,TLA,Avatar: The Last Airbender,340,,,,
Obsessive Pursuit,{1}{B},2.0,Enchantment,"When this enchantment enters and at the beginning of your upkeep, you lose 1 life and create a Clue token. (It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Whenever you attack, put X +1/+1 counters on target attacking creature, where X is the number of permanents you've sacrificed this turn. If X is three or greater, that creature gains lifelink until end of turn.",B,B,rare,PTLA,Avatar: The Last Airbender Promos,112s,,,,
Obsessive Pursuit,{1}{B},2.0,Enchantment,"When this enchantment enters and at the beginning of your upkeep, you lose 1 life and create a Clue token. (It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Whenever you attack, put X +1/+1 counters on target attacking creature, where X is the number of permanents you've sacrificed this turn. If X is three or greater, that creature gains lifelink until end of turn.",B,B,rare,TLA,Avatar: The Last Airbender,112,,,,
Omenpath Journey,{3}{G},4.0,Enchantment,"When this enchantment enters, search your library for up to five land cards that have different names, exile them, then shuffle.
At the beginning of your end step, choose a card at random exiled with this enchantment and put it onto the battlefield tapped.",G,G,mythic,BIG,The Big Score,48,,,,
Omenpath Journey,{3}{G},4.0,Enchantment,"When this enchantment enters, search your library for up to five land cards that have different names, exile them, then shuffle.
At the beginning of your end step, choose a card at random exiled with this enchantment and put it onto the battlefield tapped.",G,G,mythic,BIG,The Big Score,83,,,,
Omenpath Journey,{3}{G},4.0,Enchantment,"When this enchantment enters, search your library for up to five land cards that have different names, exile them, then shuffle.
At the beginning of your end step, choose a card at random exiled with this enchantment and put it onto the battlefield tapped.",G,G,mythic,BIG,The Big Score,18,,,,
Omniscience,{7}{U}{U}{U},10.0,Enchantment,You may cast spells from your hand without paying their mana costs.,U,U,mythic,M13,Magic 2013,63,,,,
Omniscience,{7}{U}{U}{U},10.0,Enchantment,You may cast spells from your hand without paying their mana costs.,U,U,mythic,WOT,Wilds of Eldraine: Enchanting Tales,70,,,,
Omniscience,{7}{U}{U}{U},10.0,Enchantment,You may cast spells from your hand without paying their mana costs.,U,U,special,MP2,Amonkhet Invocations,34,,,,
Omniscience,{7}{U}{U}{U},10.0,Enchantment,You may cast spells from your hand without paying their mana costs.,U,U,mythic,FDN,Foundations,312,,,,
