name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Raiding Schemes,{3}{R}{G},5.0,Enchantment,"Each noncreature spell you cast has conspire. (As you cast a noncreature spell, you may tap two untapped creatures you control that share a color with it. When you do, copy it and you may choose new targets for the copy. A copy of a permanent spell becomes a token.)","G,R","G,R",rare,ECL,Lorwyn Eclipsed,239,,,,
Raiding Schemes,{3}{R}{G},5.0,Enchantment,"Each noncreature spell you cast has conspire. (As you cast a noncreature spell, you may tap two untapped creatures you control that share a color with it. When you do, copy it and you may choose new targets for the copy. A copy of a permanent spell becomes a token.)","G,R","G,R",rare,ECL,Lorwyn Eclipsed,377,,,,
Raiding Schemes,{3}{R}{G},5.0,Enchantment,"Each noncreature spell you cast has conspire. (As you cast a noncreature spell, you may tap two untapped creatures you control that share a color with it. When you do, copy it and you may choose new targets for the copy. A copy of a permanent spell becomes a token.)","G,R","G,R",rare,PECL,Lorwyn Eclipsed Promos,239p,,,,
Rakdos Joins Up,{3}{B}{R},5.0,Legendary Enchantment,"When Rakdos Joins Up enters, return target creature card from your graveyard to the battlefield with two additional +1/+1 counters on it.
Whenever a legendary creature you control dies, Rakdos Joins Up deals damage equal to that creature's power to target opponent.","B,R","B,R",rare,POTJ,Outlaws of Thunder Junction Promos,225s,,,,
Rakdos Joins Up,{3}{B}{R},5.0,Legendary Enchantment,"When Rakdos Joins Up enters, return target creature card from your graveyard to the battlefield with two additional +1/+1 counters on it.
Whenever a legendary creature you control dies, Rakdos Joins Up deals damage equal to that creature's power to target opponent.","B,R","B,R",rare,OTJ,Outlaws of Thunder Junction,360,,,,
Rakdos Joins Up,{3}{B}{R},5.0,Legendary Enchantment,"When Rakdos Joins Up enters, return target creature card from your graveyard to the battlefield with two additional +1/+1 counters on it.
Whenever a legendary creature you control dies, Rakdos Joins Up deals damage equal to that creature's power to target opponent.","B,R","B,R",rare,OTJ,Outlaws of Thunder Junction,225,,,,
Rakdos Joins Up,{3}{B}{R},5.0,Legendary Enchantment,"When Rakdos Joins Up enters, return target creature card from your graveyard to the battlefield with two additional +1/+1 counters on it.
Whenever a legendary creature you control dies, Rakdos Joins Up deals damage equal to that creature's power to target opponent.","B,R","B,R",rare,POTJ,Outlaws of Thunder Junction Promos,225p,,,,
Rakish Crew,{2}{B},3.0,Enchantment,"When this enchantment enters, create a 1/1 red Mercenary creature token with ""{T}: Target creature you control gets +1/+0 until end of turn. Activate only as a sorcery.""
Whenever an outlaw you control dies, each opponent loses 1 life and you gain 1 life. (Assassins, Mercenaries, Pirates, Rogues, and Warlocks are outlaws.)",B,B,uncommon,OTJ,Outlaws of Thunder Junction,99,,,,
Reach for the Sky,{3}{G},4.0,Enchantment — Aura,"Flash
Enchant creature
Enchanted creature gets +3/+2 and has reach.
When this Aura is put into a graveyard from the battlefield, draw a card.",G,G,common,OTJ,Outlaws of Thunder Junction,178,,,,Enchant;Flash
Rediscover the Way,{U}{R}{W},3.0,Enchantment — Saga,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I, II — Look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.
III — Whenever you cast a noncreature spell this turn, target creature you control gains double strike until end of turn.","R,U,W","R,U,W",rare,PTDM,Tarkir: Dragonstorm Promos,215s,,,,
Rediscover the Way,{U}{R}{W},3.0,Enchantment — Saga,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I, II — Look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.
III — Whenever you cast a noncreature spell this turn, target creature you control gains double strike until end of turn.","R,U,W","R,U,W",rare,TDM,Tarkir: Dragonstorm,215,,,,
Rediscover the Way,{U}{R}{W},3.0,Enchantment — Saga,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I, II — Look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.
III — Whenever you cast a noncreature spell this turn, target creature you control gains double strike until end of turn.","R,U,W","R,U,W",rare,PTDM,Tarkir: Dragonstorm Promos,215p,,,,
Rediscover the Way,{U}{R}{W},3.0,Enchantment — Saga,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I, II — Look at the top three cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.
III — Whenever you cast a noncreature spell this turn, target creature you control gains double strike until end of turn.","R,U,W","R,U,W",rare,TDM,Tarkir: Dragonstorm,388,,,,
Rent Is Due,{W},1.0,Enchantment,"At the beginning of your end step, you may tap two untapped creatures and/or Treasures you control. If you do, draw a card. Otherwise, sacrifice this enchantment.",W,W,rare,SPM,Marvel's Spider-Man,11,,,,
Rent Is Due,{W},1.0,Enchantment,"At the beginning of your end step, you may tap two untapped creatures and/or Treasures you control. If you do, draw a card. Otherwise, sacrifice this enchantment.",W,W,rare,SPM,Marvel's Spider-Man,247,,,,
Rent Is Due,{W},1.0,Enchantment,"At the beginning of your end step, you may tap two untapped creatures and/or Treasures you control. If you do, draw a card. Otherwise, sacrifice this enchantment.",W,W,rare,OM1,Through the Omenpaths,6,,,,
Rent Is Due,{W},1.0,Enchantment,"At the beginning of your end step, you may tap two untapped creatures and/or Treasures you control. If you do, draw a card. Otherwise, sacrifice this enchantment.",W,W,rare,PSPM,Marvel's Spider-Man Promos,11s,,,,
Rest in Peace,{1}{W},2.0,Enchantment,"When this enchantment enters, exile all graveyards.
If a card or token would be put into a graveyard from anywhere, exile it instead.",W,W,rare,PRM,Magic Online Promos,77943,,,,
Rest in Peace,{1}{W},2.0,Enchantment,"When this enchantment enters, exile all graveyards.
If a card or token would be put into a graveyard from anywhere, exile it instead.",W,W,rare,RTR,Return to Ravnica,18,,,,
Rest in Peace,{1}{W},2.0,Enchantment,"When this enchantment enters, exile all graveyards.
If a card or token would be put into a graveyard from anywhere, exile it instead.",W,W,mythic,BIG,The Big Score,69,,,,
Rest in Peace,{1}{W},2.0,Enchantment,"When this enchantment enters, exile all graveyards.
If a card or token would be put into a graveyard from anywhere, exile it instead.",W,W,mythic,MAR,Marvel Universe,6,,,,
Rest in Peace,{1}{W},2.0,Enchantment,"When this enchantment enters, exile all graveyards.
If a card or token would be put into a graveyard from anywhere, exile it instead.",W,W,rare,WOT,Wilds of Eldraine: Enchanting Tales,12,,,,
