name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Abandon Attachments,{1}{U/R},2.0,Instant — Lesson,"You may discard a card. If you do, draw two cards.","R,U","R,U",common,TLA,Avatar: The Last Airbender,205,,,,
Abrade,{1}{R},2.0,Instant,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",R,R,common,2XM,Double Masters,114,,,,
Abrade,{1}{R},2.0,Instant,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",R,R,common,INR,Innistrad Remastered,311,,,,
Abrade,{1}{R},2.0,Instant,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",R,R,uncommon,PRM,Magic Online Promos,65001,,,,
Abrade,{1}{R},2.0,Instant,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",R,R,common,LCI,The Lost Caverns of Ixalan,131,,,,
Abrade,{1}{R},2.0,Instant,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",R,R,uncommon,PHOU,Hour of Devastation Promos,83,,,,
Abrade,{1}{R},2.0,Instant,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",R,R,uncommon,TDC,Tarkir: Dragonstorm Commander,203,,,,
Abrade,{1}{R},2.0,Instant,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",R,R,uncommon,CMR,Commander Legends,659,,,,
Abrade,{1}{R},2.0,Instant,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",R,R,uncommon,FDN,Foundations,188,,,,
Abrade,{1}{R},2.0,Instant,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",R,R,rare,SLD,Secret Lair Drop,1425,,,,
Abrade,{1}{R},2.0,Instant,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",R,R,uncommon,PLST,The List,HOU-83,,,,
Abrade,{1}{R},2.0,Instant,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",R,R,uncommon,PRM,Magic Online Promos,86136,,,,
Abrade,{1}{R},2.0,Instant,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",R,R,common,PLST,The List,2XM-114,,,,
Abrade,{1}{R},2.0,Instant,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",R,R,uncommon,AKR,Amonkhet Remastered,136,,,,
Abrade,{1}{R},2.0,Instant,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",R,R,uncommon,SCD,Starter Commander Decks,122,,,,
Abrade,{1}{R},2.0,Instant,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",R,R,rare,SLD,Secret Lair Drop,2179,,,,
Abrade,{1}{R},2.0,Instant,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",R,R,common,GN3,Game Night: Free-for-All,67,,,,
Abrade,{1}{R},2.0,Instant,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",R,R,uncommon,HOU,Hour of Devastation,83,,,,
Abrade,{1}{R},2.0,Instant,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",R,R,common,VOW,Innistrad: Crimson Vow,139,,,,
Abrade,{1}{R},2.0,Instant,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",R,R,uncommon,FDN,Foundations,327,,,,
Abrade,{1}{R},2.0,Instant,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",R,R,common,BLC,Bloomburrow Commander,191,,,,
Abrade,{1}{R},2.0,Instant,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",R,R,common,CMM,Commander Masters,203,,,,
Abrade,{1}{R},2.0,Instant,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",R,R,common,DBL,Innistrad: Double Feature,406,,,,
Abrade,{1}{R},2.0,Instant,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",R,R,uncommon,BRC,The Brothers' War Commander,111,,,,
Abrade,{1}{R},2.0,Instant,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",R,R,uncommon,CMR,Commander Legends,410,,,,
Abrade,{1}{R},2.0,Instant,"Choose one —
• Abrade deals 3 damage to target creature.
• Destroy target artifact.",R,R,common,INR,Innistrad Remastered,139,,,,
Accumulate Wisdom,{1}{U},2.0,Instant — Lesson,Look at the top three cards of your library. Put one of those cards into your hand and the rest on the bottom of your library in any order. Put each of those cards into your hand instead if there are three or more Lesson cards in your graveyard.,U,U,uncommon,TLA,Avatar: The Last Airbender,44,,,,
Acrobatic Leap,{W},1.0,Instant,Target creature gets +1/+3 and gains flying until end of turn. Untap it.,W,W,common,LCI,The Lost Caverns of Ixalan,2,,,,
Acrobatic Leap,{W},1.0,Instant,Target creature gets +1/+3 and gains flying until end of turn. Untap it.,W,W,common,TLE,Avatar: The Last Airbender Eternal,151,,,,
Adamant Will,{1}{W},2.0,Instant,"Target creature gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",W,W,common,FDN,Foundations,488,,,,
Adamant Will,{1}{W},2.0,Instant,"Target creature gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",W,W,common,DOM,Dominaria,2,,,,
Adamant Will,{1}{W},2.0,Instant,"Target creature gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",W,W,common,DBL,Innistrad: Double Feature,268,,,,
Adamant Will,{1}{W},2.0,Instant,"Target creature gets +2/+2 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",W,W,common,VOW,Innistrad: Crimson Vow,1,,,,
