name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Faebloom Trick,{2}{U},3.0,Instant,"Create two 1/1 blue Faerie creature tokens with flying. When you do, tap target creature an opponent controls.",U,U,uncommon,FDN,Foundations,38,,,,
Faerie Fencing,{X}{B},1.0,Instant,Target creature gets -X/-X until end of turn. That creature gets an additional -3/-3 until end of turn if you controlled a Faerie as you cast this spell.,B,B,uncommon,WOE,Wilds of Eldraine,90,,,,
Failed Fording,{1}{U},2.0,Instant,"Return target nonland permanent to its owner's hand. If you control a Desert, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",U,U,common,OTJ,Outlaws of Thunder Junction,47,,,,Surveil
Fake Your Own Death,{1}{B},2.0,Instant,"Until end of turn, target creature gets +2/+0 and gains ""When this creature dies, return it to the battlefield tapped under its owner's control and you create a Treasure token."" (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",B,B,common,J25,Foundations Jumpstart,440,,,,Treasure
Fake Your Own Death,{1}{B},2.0,Instant,"Until end of turn, target creature gets +2/+0 and gains ""When this creature dies, return it to the battlefield tapped under its owner's control and you create a Treasure token."" (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",B,B,common,FDN,Foundations,174,,,,Treasure
Fake Your Own Death,{1}{B},2.0,Instant,"Until end of turn, target creature gets +2/+0 and gains ""When this creature dies, return it to the battlefield tapped under its owner's control and you create a Treasure token."" (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",B,B,common,OTJ,Outlaws of Thunder Junction,87,,,,Treasure
Fake Your Own Death,{1}{B},2.0,Instant,"Until end of turn, target creature gets +2/+0 and gains ""When this creature dies, return it to the battlefield tapped under its owner's control and you create a Treasure token."" (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",B,B,common,SNC,Streets of New Capenna,79,,,,Treasure
Family Reunion,{1}{W},2.0,Instant,"Choose one —
• Creatures you control get +1/+1 until end of turn.
• Creatures you control gain hexproof until end of turn. (They can't be the targets of spells or abilities your opponents control.)",W,W,common,LCI,The Lost Caverns of Ixalan,13,,,,
Fanatical Offering,{1}{B},2.0,Instant,"As an additional cost to cast this spell, sacrifice an artifact or creature.
Draw two cards and create a Map token. (It's an artifact with ""{1}, {T}, Sacrifice this token: Target creature you control explores. Activate only as a sorcery."")",B,B,common,LCI,The Lost Caverns of Ixalan,105,,,,Explore
Fanatical Strength,{1}{G},2.0,Instant,Target creature gets +3/+3 and gains trample until end of turn.,G,G,common,MKM,Murders at Karlov Manor,310,,,,
