name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Nameless Inversion,{1}{B},2.0,Kindred Instant — Shapeshifter,"Changeling (This card is every creature type.)
Target creature gets +3/-3 and loses all creature types until end of turn.",B,B,common,PRM,Magic Online Promos,35126,,,,Changeling
Nameless Inversion,{1}{B},2.0,Kindred Instant — Shapeshifter,"Changeling (This card is every creature type.)
Target creature gets +3/-3 and loses all creature types until end of turn.",B,B,common,MM2,Modern Masters 2015,87,,,,Changeling
Nameless Inversion,{1}{B},2.0,Kindred Instant — Shapeshifter,"Changeling (This card is every creature type.)
Target creature gets +3/-3 and loses all creature types until end of turn.",B,B,uncommon,ECL,Lorwyn Eclipsed,113,,,,Changeling
Nameless Inversion,{1}{B},2.0,Kindred Instant — Shapeshifter,"Changeling (This card is every creature type.)
Target creature gets +3/-3 and loses all creature types until end of turn.",B,B,common,LRW,Lorwyn,128,,,,Changeling
Nameless Inversion,{1}{B},2.0,Kindred Instant — Shapeshifter,"Changeling (This card is every creature type.)
Target creature gets +3/-3 and loses all creature types until end of turn.",B,B,rare,P09,Magic Player Rewards 2009,4,,,,Changeling
Nameless Inversion,{1}{B},2.0,Kindred Instant — Shapeshifter,"Changeling (This card is every creature type.)
Target creature gets +3/-3 and loses all creature types until end of turn.",B,B,common,PLST,The List,MM2-87,,,,Changeling
Narset's Rebuke,{4}{R},5.0,Instant,"Narset's Rebuke deals 5 damage to target creature. Add {U}{R}{W}. If that creature would die this turn, exile it instead.",R,"R,U,W",common,TDM,Tarkir: Dragonstorm,114,,,,
Negate,{1}{U},2.0,Instant,Counter target noncreature spell.,U,U,common,OGW,Oath of the Gatewatch,59,,,,
Negate,{1}{U},2.0,Instant,Counter target noncreature spell.,U,U,common,PM20,Core Set 2020 Promos,69,,,,
Negate,{1}{U},2.0,Instant,Counter target noncreature spell.,U,U,common,PLST,The List,ZNR-71,,,,
Negate,{1}{U},2.0,Instant,Counter target noncreature spell.,U,U,rare,P09,Magic Player Rewards 2009,8,,,,
