name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Pain 101,{1}{B},2.0,Instant,"Until end of turn, target creature gains deathtouch and ""When this creature dies, return it to the battlefield tapped under its owner's control.""",B,B,common,TMT,Teenage Mutant Ninja Turtles,69,,,,
Parting Gust,{W}{W},2.0,Instant,"Gift a tapped Fish (You may promise an opponent a gift as you cast this spell. If you do, they create a tapped 1/1 blue Fish creature token before its other effects.)
Exile target nontoken creature. If the gift wasn't promised, return that card to the battlefield under its owner's control with a +1/+1 counter on it at the beginning of the next end step.",W,W,uncommon,BLB,Bloomburrow,24,,,,Gift
Pawpatch Formation,{1}{G},2.0,Instant,"Choose one —
• Destroy target creature with flying.
• Destroy target enchantment.
• Draw a card. Create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")",G,G,uncommon,BLB,Bloomburrow,186,,,,Food
Pedal to the Metal,{X}{R},1.0,Instant,Target creature gets +X/+0 and gains first strike until end of turn.,R,R,common,DFT,Aetherdrift,141,,,,
Peer Past the Veil,{2}{R}{G},4.0,Instant,"Discard your hand. Then draw X cards, where X is the number of card types among cards in your graveyard.","G,R","G,R",rare,PDSK,Duskmourn: House of Horror Promos,226s,,,,
Peer Past the Veil,{2}{R}{G},4.0,Instant,"Discard your hand. Then draw X cards, where X is the number of card types among cards in your graveyard.","G,R","G,R",rare,PDSK,Duskmourn: House of Horror Promos,226p,,,,
Peer Past the Veil,{2}{R}{G},4.0,Instant,"Discard your hand. Then draw X cards, where X is the number of card types among cards in your graveyard.","G,R","G,R",rare,DSK,Duskmourn: House of Horror,226,,,,
Peer Past the Veil,{2}{R}{G},4.0,Instant,"Discard your hand. Then draw X cards, where X is the number of card types among cards in your graveyard.","G,R","G,R",rare,DSK,Duskmourn: House of Horror,325,,,,
Peerless Recycling,{1}{G},2.0,Instant,"Gift a card (You may promise an opponent a gift as you cast this spell. If you do, they draw a card before its other effects.)
Return target permanent card from your graveyard to your hand. If the gift was promised, instead return two target permanent cards from your graveyard to your hand.",G,G,uncommon,BLB,Bloomburrow,188,,,,Gift
Personify,{1}{W},2.0,Instant,"Exile target creature you control, then return that card to the battlefield under its owner's control. Create a 1/1 colorless Shapeshifter creature token with changeling. (It's every creature type.)",W,W,uncommon,ECL,Lorwyn Eclipsed,402,,,,
Personify,{1}{W},2.0,Instant,"Exile target creature you control, then return that card to the battlefield under its owner's control. Create a 1/1 colorless Shapeshifter creature token with changeling. (It's every creature type.)",W,W,uncommon,ECL,Lorwyn Eclipsed,28,,,,
Phantom Interference,{U},1.0,Instant,"Spree (Choose one or more additional costs.)
+ {3} — Create a 2/2 white Spirit creature token with flying.
+ {1} — Counter target spell unless its controller pays {2}.",U,U,common,OTJ,Outlaws of Thunder Junction,61,,,,Spree
Piercing Exhale,{1}{G},2.0,Instant,"As an additional cost to cast this spell, you may behold a Dragon. (You may choose a Dragon you control or reveal a Dragon card from your hand.)
Target creature you control deals damage equal to its power to target creature or planeswalker. If a Dragon was beheld, surveil 2.",G,G,common,TDM,Tarkir: Dragonstorm,151,,,,Surveil;Behold
Pillar Launch,{G},1.0,Instant,Target creature gets +2/+2 and gains reach until end of turn. Untap it.,G,G,common,TLA,Avatar: The Last Airbender,189,,,,
Plunge into Winter,{1}{W},2.0,Instant,"Tap up to one target creature. Scry 1, then draw a card.",W,W,common,WOE,Wilds of Eldraine,22,,,,Scry
Polliwallop,{3}{G},4.0,Instant,"Affinity for Frogs (This spell costs {1} less to cast for each Frog you control.)
Target creature you control deals damage equal to twice its power to target creature you don't control.",G,G,common,BLB,Bloomburrow,189,,,,Affinity
Presumed Dead,{1}{B},2.0,Instant,"Until end of turn, target creature gets +2/+0 and gains ""When this creature dies, return it to the battlefield under its owner's control and suspect it."" (A suspected creature has menace and can't block.)",B,B,uncommon,MKM,Murders at Karlov Manor,100,,,,Suspect
Prishe's Wanderings,{2}{G},3.0,Instant,"Search your library for a basic land card or Town card, put it onto the battlefield tapped, then shuffle. When you search your library this way, put a +1/+1 counter on target creature you control.",G,G,common,FIN,Final Fantasy,193,,,,
Protective Response,{2}{W},3.0,Instant,"Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Destroy target attacking or blocking creature.",W,W,uncommon,ECL,Lorwyn Eclipsed,29,,,,Convoke
Pyrrhic Strike,{2}{W},3.0,Instant,"As an additional cost to cast this spell, you may blight 2. (You may put two -1/-1 counters on a creature you control.)
Choose one. If this spell's additional cost was paid, choose both instead.
• Destroy target artifact or enchantment.
• Destroy target creature with mana value 3 or greater.",W,W,uncommon,ECL,Lorwyn Eclipsed,30,,,,Blight
