name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Rabbit Response,{2}{W}{W},4.0,Instant,"Creatures you control get +2/+1 until end of turn. If you control a Rabbit, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)",W,W,common,BLB,Bloomburrow,26,,,,Scry
Rabid Gnaw,{1}{R},2.0,Instant,Target creature you control gets +1/+0 until end of turn. Then it deals damage equal to its power to target creature you don't control.,R,R,uncommon,BLB,Bloomburrow,147,,,,
Radiant Strike,{3}{W},4.0,Instant,Destroy target artifact or tapped creature. You gain 3 life.,W,W,common,EOE,Edge of Eternities,29,,,,
Rakshasa's Bargain,{2/B}{2/G}{2/U},6.0,Instant,Look at the top four cards of your library. Put two of them into your hand and the rest into your graveyard.,"B,G,U","B,G,U",uncommon,TDM,Tarkir: Dragonstorm,214,,,,
Rally the Monastery,{3}{W},4.0,Instant,"This spell costs {2} less to cast if you've cast another spell this turn.
Choose one —
• Create two 1/1 white Monk creature tokens with prowess.
• Up to two target creatures you control each get +2/+2 until end of turn.
• Destroy target creature with power 4 or greater.",W,W,uncommon,TDM,Tarkir: Dragonstorm,19,,,,
Raphael's Technique,{4}{R}{R},6.0,Instant,"Sneak {2}{R} (You may cast this spell for {2}{R} if you also return an unblocked attacker you control to hand during the declare blockers step.)
Each player may discard their hand and draw seven cards.",R,R,rare,TMT,Teenage Mutant Ninja Turtles,237,,,,Sneak
Raphael's Technique,{4}{R}{R},6.0,Instant,"Sneak {2}{R} (You may cast this spell for {2}{R} if you also return an unblocked attacker you control to hand during the declare blockers step.)
Each player may discard their hand and draw seven cards.",R,R,rare,TMT,Teenage Mutant Ninja Turtles,105,,,,Sneak
Rat Out,{B},1.0,Instant,"Up to one target creature gets -1/-1 until end of turn. You create a 1/1 black Rat creature token with ""This token can't block.""",B,B,common,WOE,Wilds of Eldraine,103,,,,
Razor Rings,{1}{W},2.0,Instant,Razor Rings deals 4 damage to target attacking or blocking creature. You gain life equal to the excess damage dealt this way.,W,W,common,TLE,Avatar: The Last Airbender Eternal,272,,,,
Razor Rings,{1}{W},2.0,Instant,Razor Rings deals 4 damage to target attacking or blocking creature. You gain life equal to the excess damage dealt this way.,W,W,common,TLA,Avatar: The Last Airbender,33,,,,
Reasonable Doubt,{1}{U},2.0,Instant,"Counter target spell unless its controller pays {2}.
Suspect up to one target creature. (A suspected creature has menace and can't block.)",U,U,common,MKM,Murders at Karlov Manor,69,,,,
Rebellious Strike,{1}{W},2.0,Instant,"Target creature gets +3/+0 until end of turn.
Draw a card.",W,W,common,TDM,Tarkir: Dragonstorm,20,,,,
Reckless Ransacking,{1}{R},2.0,Instant,"Target creature gets +3/+2 until end of turn. Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",R,R,common,ECL,Lorwyn Eclipsed,152,,,,Treasure
Redirect Lightning,{R},1.0,Instant — Lesson,"As an additional cost to cast this spell, pay 5 life or pay {2}.
Change the target of target spell or ability with a single target.",R,R,rare,TLA,Avatar: The Last Airbender,151,,,,
Redirect Lightning,{R},1.0,Instant — Lesson,"As an additional cost to cast this spell, pay 5 life or pay {2}.
Change the target of target spell or ability with a single target.",R,R,rare,TLA,Avatar: The Last Airbender,343,,,,
