name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Ba Sing Se,,0.0,Land,"This land enters tapped unless you control a basic land.
{T}: Add {G}.
{2}{G}, {T}: Earthbend 2. Activate only as a sorcery. (Target land you control becomes a 0/0 creature with haste that's still a land. Put two +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",,G,rare,PTLA,Avatar: The Last Airbender Promos,266s,,,,Earthbend
Ba Sing Se,,0.0,Land,"This land enters tapped unless you control a basic land.
{T}: Add {G}.
{2}{G}, {T}: Earthbend 2. Activate only as a sorcery. (Target land you control becomes a 0/0 creature with haste that's still a land. Put two +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",,G,rare,TLA,Avatar: The Last Airbender,388,,,,Earthbend
Ba Sing Se,,0.0,Land,"This land enters tapped unless you control a basic land.
{T}: Add {G}.
{2}{G}, {T}: Earthbend 2. Activate only as a sorcery. (Target land you control becomes a 0/0 creature with haste that's still a land. Put two +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",,G,rare,TLA,Avatar: The Last Airbender,266,,,,Earthbend
"Baron, Airship Kingdom",,0.0,Land — Town,"This land enters tapped.
{T}: Add {U} or {R}.",,"R,U",common,FIN,Final Fantasy,273,,,,
Blazemire Verge,,0.0,Land,"{T}: Add {B}.
{T}: Add {R}. Activate only if you control a Swamp or a Mountain.",,"B,R",rare,DSK,Duskmourn: House of Horror,329,,,,
Blazemire Verge,,0.0,Land,"{T}: Add {B}.
{T}: Add {R}. Activate only if you control a Swamp or a Mountain.",,"B,R",rare,DSK,Duskmourn: House of Horror,256,,,,
Blazemire Verge,,0.0,Land,"{T}: Add {B}.
{T}: Add {R}. Activate only if you control a Swamp or a Mountain.",,"B,R",rare,PDSK,Duskmourn: House of Horror Promos,256p,,,,
Blazemire Verge,,0.0,Land,"{T}: Add {B}.
{T}: Add {R}. Activate only if you control a Swamp or a Mountain.",,"B,R",rare,PDSK,Duskmourn: House of Horror Promos,256s,,,,
Bleachbone Verge,,0.0,Land,"{T}: Add {B}.
{T}: Add {W}. Activate only if you control a Plains or a Swamp.",,"B,W",rare,PDFT,Aetherdrift Promos,250s,,,,
Bleachbone Verge,,0.0,Land,"{T}: Add {B}.
{T}: Add {W}. Activate only if you control a Plains or a Swamp.",,"B,W",rare,DFT,Aetherdrift,250,,,,
Bleachbone Verge,,0.0,Land,"{T}: Add {B}.
{T}: Add {W}. Activate only if you control a Plains or a Swamp.",,"B,W",rare,DFT,Aetherdrift,371,,,,
Bleachbone Verge,,0.0,Land,"{T}: Add {B}.
{T}: Add {W}. Activate only if you control a Plains or a Swamp.",,"B,W",rare,DFT,Aetherdrift,501,,,,
Bleachbone Verge,,0.0,Land,"{T}: Add {B}.
{T}: Add {W}. Activate only if you control a Plains or a Swamp.",,"B,W",rare,PDFT,Aetherdrift Promos,250p,,,,
Bleeding Woods,,0.0,Land,"This land enters tapped unless a player has 13 or less life.
{T}: Add {R} or {G}.",,"G,R",common,DSK,Duskmourn: House of Horror,257,,,,
Blood Crypt,,0.0,Land — Swamp Mountain,"({T}: Add {B} or {R}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"B,R",rare,RVR,Ravnica Remastered,397z,,,,
Blood Crypt,,0.0,Land — Swamp Mountain,"({T}: Add {B} or {R}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"B,R",rare,RVR,Ravnica Remastered,273,,,,
Blood Crypt,,0.0,Land — Swamp Mountain,"({T}: Add {B} or {R}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"B,R",rare,RVR,Ravnica Remastered,397,,,,
Blood Crypt,,0.0,Land — Swamp Mountain,"({T}: Add {B} or {R}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"B,R",rare,UNF,Unfinity,279,,,,
Blood Crypt,,0.0,Land — Swamp Mountain,"({T}: Add {B} or {R}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"B,R",rare,SLD,Secret Lair Drop,125,,,,
Blood Crypt,,0.0,Land — Swamp Mountain,"({T}: Add {B} or {R}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"B,R",rare,PRM,Magic Online Promos,72301,,,,
Blood Crypt,,0.0,Land — Swamp Mountain,"({T}: Add {B} or {R}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"B,R",mythic,EXP,Zendikar Expeditions,8,,,,
Blood Crypt,,0.0,Land — Swamp Mountain,"({T}: Add {B} or {R}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"B,R",rare,PRNA,Ravnica Allegiance Promos,245p,,,,
