name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Capital City,,0.0,Land — Town,"{T}: Add {C}.
{1}, {T}: Add one mana of any color.
Cycling {2} ({2}, Discard this card: Draw a card.)",,,uncommon,FIN,Final Fantasy,274,,,,Cycling
Captivating Cave,,0.0,Land — Cave,"{T}: Add {C}.
{1}, {T}: Add one mana of any color.
{4}, {T}, Sacrifice this land: Put two +1/+1 counters on target creature. Activate only as a sorcery.",,,common,LCI,The Lost Caverns of Ixalan,268,,,,
Cavern of Souls,,0.0,Land,"As this land enters, choose a creature type.
{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered.",,,mythic,LCI,The Lost Caverns of Ixalan,410c,,,,
Cavern of Souls,,0.0,Land,"As this land enters, choose a creature type.
{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered.",,,mythic,LCI,The Lost Caverns of Ixalan,410e,,,,
Cavern of Souls,,0.0,Land,"As this land enters, choose a creature type.
{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered.",,,mythic,MM3,Modern Masters 2017,232,,,,
Cavern of Souls,,0.0,Land,"As this land enters, choose a creature type.
{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered.",,,rare,AVR,Avacyn Restored,226,,,,
Cavern of Souls,,0.0,Land,"As this land enters, choose a creature type.
{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered.",,,mythic,PLCI,The Lost Caverns of Ixalan Promos,269p,,,,
Cavern of Souls,,0.0,Land,"As this land enters, choose a creature type.
{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered.",,,mythic,PLCI,The Lost Caverns of Ixalan Promos,269s,,,,
Cavern of Souls,,0.0,Land,"As this land enters, choose a creature type.
{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered.",,,mythic,LCI,The Lost Caverns of Ixalan,345,,,,
Cavern of Souls,,0.0,Land,"As this land enters, choose a creature type.
{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered.",,,mythic,UMA,Ultimate Masters,237,,,,
Cavern of Souls,,0.0,Land,"As this land enters, choose a creature type.
{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered.",,,mythic,LCI,The Lost Caverns of Ixalan,269,,,,
Cavern of Souls,,0.0,Land,"As this land enters, choose a creature type.
{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered.",,,mythic,2X2,Double Masters 2022,402,,,,
Cavern of Souls,,0.0,Land,"As this land enters, choose a creature type.
{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered.",,,mythic,ZNE,Zendikar Rising Expeditions,22,,,,
Cavern of Souls,,0.0,Land,"As this land enters, choose a creature type.
{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered.",,,mythic,2X2,Double Masters 2022,569,,,,
Cavern of Souls,,0.0,Land,"As this land enters, choose a creature type.
{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered.",,,mythic,LTC,Tales of Middle-earth Commander,362,,,,
Cavern of Souls,,0.0,Land,"As this land enters, choose a creature type.
{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered.",,,mythic,LTC,Tales of Middle-earth Commander,392z,,,,
Cavern of Souls,,0.0,Land,"As this land enters, choose a creature type.
{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered.",,,mythic,PRM,Magic Online Promos,102375,,,,
Cavern of Souls,,0.0,Land,"As this land enters, choose a creature type.
{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered.",,,mythic,LCI,The Lost Caverns of Ixalan,410a,,,,
Cavern of Souls,,0.0,Land,"As this land enters, choose a creature type.
{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered.",,,mythic,PUMA,Ultimate Box Topper,U32,,,,
Cavern of Souls,,0.0,Land,"As this land enters, choose a creature type.
{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered.",,,mythic,LTC,Tales of Middle-earth Commander,392,,,,
Cavern of Souls,,0.0,Land,"As this land enters, choose a creature type.
{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered.",,,rare,PLST,The List,AVR-226,,,,
Cavern of Souls,,0.0,Land,"As this land enters, choose a creature type.
{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered.",,,mythic,LCI,The Lost Caverns of Ixalan,410d,,,,
Cavern of Souls,,0.0,Land,"As this land enters, choose a creature type.
{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type, and that spell can't be countered.",,,mythic,2X2,Double Masters 2022,320,,,,
