name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Daily Bugle Building,,0.0,Land,"{T}: Add {C}.
{1}, {T}: Add one mana of any color.
Smear Campaign — {1}, {T}: Target legendary creature gains menace until end of turn. Activate only as a sorcery.",,,uncommon,SPM,Marvel's Spider-Man,179,,,,
Daily Bugle Building,,0.0,Land,"{T}: Add {C}.
{1}, {T}: Add one mana of any color.
Smear Campaign — {1}, {T}: Target legendary creature gains menace until end of turn. Activate only as a sorcery.",,,uncommon,OM1,Through the Omenpaths,180,,,,
Dalkovan Encampment,,0.0,Land,"This land enters tapped unless you control a Swamp or a Mountain.
{T}: Add {W}.
{2}{W}, {T}: Whenever you attack this turn, create two 1/1 red Warrior creature tokens that are tapped and attacking. Sacrifice them at the beginning of the next end step.",,W,rare,PTDM,Tarkir: Dragonstorm Promos,253s,,,,
Dalkovan Encampment,,0.0,Land,"This land enters tapped unless you control a Swamp or a Mountain.
{T}: Add {W}.
{2}{W}, {T}: Whenever you attack this turn, create two 1/1 red Warrior creature tokens that are tapped and attacking. Sacrifice them at the beginning of the next end step.",,W,rare,TDM,Tarkir: Dragonstorm,394,,,,
Dalkovan Encampment,,0.0,Land,"This land enters tapped unless you control a Swamp or a Mountain.
{T}: Add {W}.
{2}{W}, {T}: Whenever you attack this turn, create two 1/1 red Warrior creature tokens that are tapped and attacking. Sacrifice them at the beginning of the next end step.",,W,rare,TDM,Tarkir: Dragonstorm,253,,,,
Dalkovan Encampment,,0.0,Land,"This land enters tapped unless you control a Swamp or a Mountain.
{T}: Add {W}.
{2}{W}, {T}: Whenever you attack this turn, create two 1/1 red Warrior creature tokens that are tapped and attacking. Sacrifice them at the beginning of the next end step.",,W,rare,PTDM,Tarkir: Dragonstorm Promos,253p,,,,
Demolition Field,,0.0,Land,"{T}: Add {C}.
{2}, {T}, Sacrifice this land: Destroy target nonbasic land an opponent controls. That land's controller may search their library for a basic land card, put it onto the battlefield, then shuffle. You may search your library for a basic land card, put it onto the battlefield, then shuffle.",,,uncommon,FDN,Foundations,687,,,,
Demolition Field,,0.0,Land,"{T}: Add {C}.
{2}, {T}, Sacrifice this land: Destroy target nonbasic land an opponent controls. That land's controller may search their library for a basic land card, put it onto the battlefield, then shuffle. You may search your library for a basic land card, put it onto the battlefield, then shuffle.",,,uncommon,OTC,Outlaws of Thunder Junction Commander,283,,,,
Demolition Field,,0.0,Land,"{T}: Add {C}.
{2}, {T}, Sacrifice this land: Destroy target nonbasic land an opponent controls. That land's controller may search their library for a basic land card, put it onto the battlefield, then shuffle. You may search your library for a basic land card, put it onto the battlefield, then shuffle.",,,uncommon,FIC,Final Fantasy Commander,385,,,,
Demolition Field,,0.0,Land,"{T}: Add {C}.
{2}, {T}, Sacrifice this land: Destroy target nonbasic land an opponent controls. That land's controller may search their library for a basic land card, put it onto the battlefield, then shuffle. You may search your library for a basic land card, put it onto the battlefield, then shuffle.",,,uncommon,BRO,The Brothers' War,260,,,,
Demolition Field,,0.0,Land,"{T}: Add {C}.
{2}, {T}, Sacrifice this land: Destroy target nonbasic land an opponent controls. That land's controller may search their library for a basic land card, put it onto the battlefield, then shuffle. You may search your library for a basic land card, put it onto the battlefield, then shuffle.",,,uncommon,M3C,Modern Horizons 3 Commander,335,,,,
Dimension X,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {R} or {W}.",,"R,W",common,TMT,Teenage Mutant Ninja Turtles,183,,,,
Dimir Guildgate,,0.0,Land — Gate,"This land enters tapped.
{T}: Add {U} or {B}.",,"B,U",common,RVR,Ravnica Remastered,400,,,,
Dimir Guildgate,,0.0,Land — Gate,"This land enters tapped.
{T}: Add {U} or {B}.",,"B,U",common,ZNC,Zendikar Rising Commander,127,,,,
Dimir Guildgate,,0.0,Land — Gate,"This land enters tapped.
{T}: Add {U} or {B}.",,"B,U",common,GRN,Guilds of Ravnica,246,,,,
Dimir Guildgate,,0.0,Land — Gate,"This land enters tapped.
{T}: Add {U} or {B}.",,"B,U",common,MM3,Modern Masters 2017,234,,,,
Dimir Guildgate,,0.0,Land — Gate,"This land enters tapped.
{T}: Add {U} or {B}.",,"B,U",common,GTC,Gatecrash,241,,,,
Dimir Guildgate,,0.0,Land — Gate,"This land enters tapped.
{T}: Add {U} or {B}.",,"B,U",common,CLU,Ravnica: Clue Edition,234,,,,
Dimir Guildgate,,0.0,Land — Gate,"This land enters tapped.
{T}: Add {U} or {B}.",,"B,U",common,PIO,Pioneer Masters,260,,,,
Dimir Guildgate,,0.0,Land — Gate,"This land enters tapped.
{T}: Add {U} or {B}.",,"B,U",common,RVR,Ravnica Remastered,276,,,,
Dimir Guildgate,,0.0,Land — Gate,"This land enters tapped.
{T}: Add {U} or {B}.",,"B,U",common,DGM,Dragon's Maze,148,,,,
Dimir Guildgate,,0.0,Land — Gate,"This land enters tapped.
{T}: Add {U} or {B}.",,"B,U",common,GRN,Guilds of Ravnica,245,,,,
Dimir Guildgate,,0.0,Land — Gate,"This land enters tapped.
{T}: Add {U} or {B}.",,"B,U",common,C13,Commander 2013,284,,,,
Dimir Guildgate,,0.0,Land — Gate,"This land enters tapped.
{T}: Add {U} or {B}.",,"B,U",common,PLST,The List,GRN-245,,,,
Dimir Guildgate,,0.0,Land — Gate,"This land enters tapped.
{T}: Add {U} or {B}.",,"B,U",common,C18,Commander 2018,243,,,,
Dimir Guildgate,,0.0,Land — Gate,"This land enters tapped.
{T}: Add {U} or {B}.",,"B,U",common,FDN,Foundations,688,,,,
Dismal Backwater,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {U} or {B}.",,"B,U",common,TDM,Tarkir: Dragonstorm,254,,,,
Dismal Backwater,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {U} or {B}.",,"B,U",common,C16,Commander 2016,291,,,,
Dismal Backwater,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {U} or {B}.",,"B,U",common,C17,Commander 2017,246,,,,
Dismal Backwater,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {U} or {B}.",,"B,U",common,MOM,March of the Machine,269,,,,
Dismal Backwater,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {U} or {B}.",,"B,U",common,KTK,Khans of Tarkir,232,,,,
Dismal Backwater,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {U} or {B}.",,"B,U",common,EMA,Eternal Masters,238,,,,
Dismal Backwater,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {U} or {B}.",,"B,U",common,FRF,Fate Reforged,168,,,,
Dismal Backwater,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {U} or {B}.",,"B,U",common,40K,"Warhammer 40,000 Commander",276,,,,
Dismal Backwater,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {U} or {B}.",,"B,U",common,40K,"Warhammer 40,000 Commander",276★,,,,
Dismal Backwater,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {U} or {B}.",,"B,U",common,IKO,Ikoria: Lair of Behemoths,246,,,,
Dismal Backwater,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {U} or {B}.",,"B,U",common,PLST,The List,KTK-232,,,,
Dismal Backwater,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {U} or {B}.",,"B,U",common,DDQ,Duel Decks: Blessed vs. Cursed,70,,,,
Dismal Backwater,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {U} or {B}.",,"B,U",common,M20,Core Set 2020,245,,,,
Dismal Backwater,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {U} or {B}.",,"B,U",common,M21,Core Set 2021,245,,,,
Dismal Backwater,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {U} or {B}.",,"B,U",common,SCD,Starter Commander Decks,298,,,,
Dismal Backwater,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {U} or {B}.",,"B,U",common,FDN,Foundations,261,,,,
Dismal Backwater,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {U} or {B}.",,"B,U",common,ZNC,Zendikar Rising Commander,128,,,,
Dismal Backwater,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {U} or {B}.",,"B,U",common,C18,Commander 2018,244,,,,
Dismal Backwater,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {U} or {B}.",,"B,U",common,DFT,Aetherdrift,254,,,,
Dismal Backwater,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {U} or {B}.",,"B,U",common,NEO,Kamigawa: Neon Dynasty,267,,,,
