name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Jagged Barrens,,0.0,Land — Desert,"This land enters tapped.
When this land enters, it deals 1 damage to target opponent.
{T}: Add {B} or {R}.",,"B,R",common,OTJ,Outlaws of Thunder Junction,259,,,,
Jasmine Dragon Tea Shop,,0.0,Land,"{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast an Ally spell or activate an ability of an Ally source.
{5}, {T}: Create a 1/1 white Ally creature token.",,,rare,TLA,Avatar: The Last Airbender,390,,,,
Jasmine Dragon Tea Shop,,0.0,Land,"{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast an Ally spell or activate an ability of an Ally source.
{5}, {T}: Create a 1/1 white Ally creature token.",,,rare,PTLA,Avatar: The Last Airbender Promos,270s,,,,
Jasmine Dragon Tea Shop,,0.0,Land,"{T}: Add {C}.
{T}: Add one mana of any color. Spend this mana only to cast an Ally spell or activate an ability of an Ally source.
{5}, {T}: Create a 1/1 white Ally creature token.",,,rare,TLA,Avatar: The Last Airbender,270,,,,
Jungle Hollow,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {B} or {G}.",,"B,G",common,IKO,Ikoria: Lair of Behemoths,249,,,,
Jungle Hollow,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {B} or {G}.",,"B,G",common,C15,Commander 2015,292,,,,
Jungle Hollow,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {B} or {G}.",,"B,G",common,C18,Commander 2018,259,,,,
Jungle Hollow,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {B} or {G}.",,"B,G",common,C16,Commander 2016,303,,,,
Jungle Hollow,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {B} or {G}.",,"B,G",common,FRF,Fate Reforged,169,,,,
Jungle Hollow,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {B} or {G}.",,"B,G",common,CMA,Commander Anthology,259,,,,
Jungle Hollow,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {B} or {G}.",,"B,G",common,BLC,Bloomburrow Commander,313,,,,
Jungle Hollow,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {B} or {G}.",,"B,G",common,M21,Core Set 2021,247,,,,
Jungle Hollow,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {B} or {G}.",,"B,G",common,C21,Commander 2021,295,,,,
Jungle Hollow,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {B} or {G}.",,"B,G",common,DFT,Aetherdrift,256,,,,
Jungle Hollow,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {B} or {G}.",,"B,G",common,C19,Commander 2019,254,,,,
Jungle Hollow,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {B} or {G}.",,"B,G",common,M20,Core Set 2020,248,,,,
Jungle Hollow,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {B} or {G}.",,"B,G",common,KHC,Kaldheim Commander,113,,,,
Jungle Hollow,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {B} or {G}.",,"B,G",common,MOM,March of the Machine,270,,,,
Jungle Hollow,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {B} or {G}.",,"B,G",common,PLST,The List,KTK-235,,,,
Jungle Hollow,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {B} or {G}.",,"B,G",common,EMA,Eternal Masters,239,,,,
Jungle Hollow,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {B} or {G}.",,"B,G",common,FDN,Foundations,263,,,,
Jungle Hollow,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {B} or {G}.",,"B,G",common,NEO,Kamigawa: Neon Dynasty,269,,,,
Jungle Hollow,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {B} or {G}.",,"B,G",common,TDM,Tarkir: Dragonstorm,258,,,,
Jungle Hollow,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {B} or {G}.",,"B,G",common,DSC,Duskmourn: House of Horror Commander,285,,,,
Jungle Hollow,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {B} or {G}.",,"B,G",common,KTK,Khans of Tarkir,235,,,,
