name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Lakeside Shack,,0.0,Land,"This land enters tapped unless a player has 13 or less life.
{T}: Add {G} or {U}.",,"G,U",common,DSK,Duskmourn: House of Horror,262,,,,
Lilypad Village,,0.0,Land,"{T}: Add {C}.
{T}: Add {U}. Spend this mana only to cast a creature spell.
{U}, {T}: Surveil 2. Activate only if a Bird, Frog, Otter, or Rat entered the battlefield under your control this turn.",,U,uncommon,BLB,Bloomburrow,255,,,,Surveil
Lonely Arroyo,,0.0,Land — Desert,"This land enters tapped.
When this land enters, it deals 1 damage to target opponent.
{T}: Add {W} or {U}.",,"U,W",common,OTJ,Outlaws of Thunder Junction,260,,,,
Lupinflower Village,,0.0,Land,"{T}: Add {C}.
{T}: Add {W}. Spend this mana only to cast a creature spell.
{1}{W}, {T}, Sacrifice this land: Look at the top six cards of your library. You may reveal a Bat, Bird, Mouse, or Rabbit card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",,W,uncommon,BLB,Bloomburrow,256,,,,
Lush Oasis,,0.0,Land — Desert,"This land enters tapped.
When this land enters, it deals 1 damage to target opponent.
{T}: Add {G} or {U}.",,"G,U",common,OTJ,Outlaws of Thunder Junction,261,,,,
Lush Oasis,,0.0,Land — Desert,"This land enters tapped.
When this land enters, it deals 1 damage to target opponent.
{T}: Add {G} or {U}.",,"G,U",common,M3C,Modern Horizons 3 Commander,356,,,,
Lush Portico,,0.0,Land — Forest Plains,"({T}: Add {G} or {W}.)
This land enters tapped.
When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",,"G,W",rare,PMKM,Murders at Karlov Manor Promos,263p,,,,Surveil
Lush Portico,,0.0,Land — Forest Plains,"({T}: Add {G} or {W}.)
This land enters tapped.
When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",,"G,W",rare,PMKM,Murders at Karlov Manor Promos,263s,,,,Surveil
Lush Portico,,0.0,Land — Forest Plains,"({T}: Add {G} or {W}.)
This land enters tapped.
When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",,"G,W",rare,MKM,Murders at Karlov Manor,263,,,,Surveil
Lush Portico,,0.0,Land — Forest Plains,"({T}: Add {G} or {W}.)
This land enters tapped.
When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",,"G,W",rare,MKM,Murders at Karlov Manor,327,,,,Surveil
