name,mana_cost,cmc,type_line,oracle_text,colors,color_identity,rarity,set,set_name,collector_number,power,toughness,loyalty,keywords
Tarnation Vista,,0.0,Land,"This land enters tapped. As it enters, choose a color.
{T}: Add one mana of the chosen color.
{1}, {T}: For each color among monocolored permanents you control, add one mana of that color.",,,mythic,BIG,The Big Score,95,,,,
Tarnation Vista,,0.0,Land,"This land enters tapped. As it enters, choose a color.
{T}: Add one mana of the chosen color.
{1}, {T}: For each color among monocolored permanents you control, add one mana of that color.",,,mythic,BIG,The Big Score,30,,,,
Tarnation Vista,,0.0,Land,"This land enters tapped. As it enters, choose a color.
{T}: Add one mana of the chosen color.
{1}, {T}: For each color among monocolored permanents you control, add one mana of that color.",,,mythic,BIG,The Big Score,60,,,,
Tarnation Vista,,0.0,Land,"This land enters tapped. As it enters, choose a color.
{T}: Add one mana of the chosen color.
{1}, {T}: For each color among monocolored permanents you control, add one mana of that color.",,,mythic,BIG,The Big Score,65,,,,
Tarnation Vista,,0.0,Land,"This land enters tapped. As it enters, choose a color.
{T}: Add one mana of the chosen color.
{1}, {T}: For each color among monocolored permanents you control, add one mana of that color.",,,mythic,PBIG,The Big Score Promos,30p,,,,
TCRI Building,,0.0,Land,"This land enters tapped.
When this land enters, you gain 1 life.
{T}: Add {U} or {R}.",,"R,U",common,TMT,Teenage Mutant Ninja Turtles,189,,,,
Temple Garden,,0.0,Land — Forest Plains,"({T}: Add {G} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"G,W",rare,CLU,Ravnica: Clue Edition,282,,,,
Temple Garden,,0.0,Land — Forest Plains,"({T}: Add {G} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"G,W",rare,RVR,Ravnica Remastered,290,,,,
Temple Garden,,0.0,Land — Forest Plains,"({T}: Add {G} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"G,W",rare,PGRN,Guilds of Ravnica Promos,258p,,,,
Temple Garden,,0.0,Land — Forest Plains,"({T}: Add {G} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"G,W",rare,RVR,Ravnica Remastered,300,,,,
Temple Garden,,0.0,Land — Forest Plains,"({T}: Add {G} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"G,W",rare,RVR,Ravnica Remastered,414,,,,
Temple Garden,,0.0,Land — Forest Plains,"({T}: Add {G} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"G,W",rare,GRN,Guilds of Ravnica,258,,,,
Temple Garden,,0.0,Land — Forest Plains,"({T}: Add {G} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"G,W",rare,SLD,Secret Lair Drop,127,,,,
Temple Garden,,0.0,Land — Forest Plains,"({T}: Add {G} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"G,W",rare,UNF,Unfinity,281,,,,
Temple Garden,,0.0,Land — Forest Plains,"({T}: Add {G} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"G,W",rare,ECL,Lorwyn Eclipsed,268,,,,
Temple Garden,,0.0,Land — Forest Plains,"({T}: Add {G} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"G,W",rare,RVR,Ravnica Remastered,414z,,,,
Temple Garden,,0.0,Land — Forest Plains,"({T}: Add {G} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"G,W",rare,PECL,Lorwyn Eclipsed Promos,268p,,,,
Temple Garden,,0.0,Land — Forest Plains,"({T}: Add {G} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"G,W",rare,RAV,Ravnica: City of Guilds,284,,,,
Temple Garden,,0.0,Land — Forest Plains,"({T}: Add {G} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"G,W",mythic,EXP,Zendikar Expeditions,10,,,,
Temple Garden,,0.0,Land — Forest Plains,"({T}: Add {G} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"G,W",rare,PRM,Magic Online Promos,72303,,,,
Temple Garden,,0.0,Land — Forest Plains,"({T}: Add {G} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"G,W",rare,RTR,Return to Ravnica,248,,,,
Temple Garden,,0.0,Land — Forest Plains,"({T}: Add {G} or {W}.)
As this land enters, you may pay 2 life. If you don't, it enters tapped.",,"G,W",rare,UNF,Unfinity,532,,,,
Temple of Abandon,,0.0,Land,"This land enters tapped.
When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.)
{T}: Add {R} or {G}.",,"G,R",rare,MOC,March of the Machine Commander,430,,,,Scry
Temple of Abandon,,0.0,Land,"This land enters tapped.
When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.)
{T}: Add {R} or {G}.",,"G,R",rare,WHO,Doctor Who,904,,,,Scry
Temple of Abandon,,0.0,Land,"This land enters tapped.
When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.)
{T}: Add {R} or {G}.",,"G,R",rare,NEC,Neon Dynasty Commander,179,,,,Scry
